Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.95736377,0.120304026,-0.088,6.45E-05,127548.2813,336.7950745,1.288966306,1.142408973
15.95736377,0.120313413,-0.088000007,0.00019979,129064.0547,337.1430054,1.304284277,1.143589155
15.95736377,0.120324723,-0.087999992,0.000362757,131155.0469,337.460022,1.325415244,1.144664475
15.95736377,0.12033844,-0.087999985,0.0005604,132805.2969,337.6315613,1.342092197,1.145246336
15.95736377,0.120354921,-0.088,0.000797872,133946.0469,337.7238159,1.353620289,1.145559264
15.95736377,0.120374836,-0.088,0.001084836,134867.2188,337.7870483,1.362929387,1.145773749
15.95736377,0.120398797,-0.088000014,0.001430094,135702.125,337.8365479,1.37136671,1.145941651
15.95736377,0.120427698,-0.087999985,0.001846529,136501.6875,337.8767395,1.379446859,1.146077981
15.95736377,0.120462544,-0.087999992,0.002348635,137287.5313,337.9089661,1.38738837,1.146187294
15.95736377,0.120504573,-0.088,0.002954232,138072.6406,337.9327393,1.39532246,1.146267932
15.95736377,0.120555237,-0.087999985,0.003684255,138867.4844,337.9470825,1.403354923,1.146316585
15.95736377,0.120616227,-0.087999955,0.004563074,139679.125,337.9501343,1.41155713,1.146326936
15.95736377,0.120689988,-0.088000022,0.005625901,140509.4688,337.9398193,1.419948345,1.146291948
15.95736377,0.12077862,-0.088,0.006903012,141357.6406,337.9111023,1.428519727,1.14619454
15.95736377,0.120885327,-0.087999992,0.00844057,142224.5781,337.8598328,1.437280748,1.146020633
15.95736377,0.121013641,-0.088000029,0.01028946,143112.0625,337.7823486,1.446249411,1.145757807
15.95736377,0.121167712,-0.087999985,0.012509482,144027.7656,337.6741333,1.455503243,1.145390741
15.95736377,0.121352635,-0.088000014,0.015174067,144977.6406,337.5289612,1.465102407,1.144898317
15.95736377,0.121574424,-0.087999985,0.01836985,145965.2188,337.3377075,1.475082588,1.144249584
15.95736377,0.121839859,-0.088000014,0.022194527,146983.9375,337.0898743,1.485377468,1.143408934
15.95736377,0.122157298,-0.088,0.02676855,148014.4844,336.7732239,1.495791878,1.142334856
15.95736377,0.12253619,-0.087999992,0.032228049,148995.25,336.3779907,1.505703214,1.140994225
15.95736377,0.122987397,-0.088000007,0.038729548,149830.75,335.9046631,1.514146537,1.139388697
15.95736377,0.123523347,-0.088000014,0.04645212,150409.9531,335.3926392,1.519999798,1.137651912
15.95736377,0.124157928,-0.08799997,0.055595875,150675.3281,334.9301147,1.522681601,1.136083029
15.95736377,0.124906749,-0.088000022,0.066385724,150659.4688,334.5847473,1.522521331,1.134911543
15.95736377,0.125786871,-0.088000022,0.079067513,150408.7813,334.3093262,1.519987955,1.133977314
15.95736377,0.126816437,-0.087999977,0.093902655,149951.2813,334.0148621,1.515364591,1.132978492
15.95736377,0.128014281,-0.08799997,0.111162543,149360.2344,333.6830444,1.509391641,1.131852966
15.95736377,0.129399106,-0.088,0.131116658,148773.5469,333.3573303,1.503462746,1.130748144
15.95736377,0.13098748,-0.088000007,0.154003739,148319.7344,333.0955811,1.498876647,1.12986029
15.95736377,0.132793784,-0.087999977,0.180030987,148058.8594,332.9300232,1.496240319,1.129298718
15.95736377,0.13482751,-0.088000014,0.209335193,147968.0313,332.8475342,1.495322436,1.129018915
15.95736377,0.137091935,-0.087999992,0.24196358,147962.6563,332.8078613,1.495268118,1.128884345
15.95736377,0.139582381,-0.08799994,0.277848721,147974.7656,332.7744751,1.495390492,1.128771099
