Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20022.371,16.21631,99862.02,99910.14,286.5429,286.5427,125541.2,126473.8,317.2276,317.1699,1.257146611,1.107085885,1.106885291,0.632164275
20022.371,16.21429,99862.02,99910.27,286.5429,286.5431,128579.9,127617.2,317.6008,317.5204,1.287575597,1.108388308,1.108106948,0.692731156
20022.371,16.202275,99862.08,99910.42,286.5437,286.5428,134304.4,135334.6,319.6111,319.4153,1.344898885,1.115400897,1.114721082,0.77012621
20022.371,16.18643,99861.99,99910.54,286.5428,286.543,138334.2,139165.9,321.5375,321.2197,1.385253789,1.122127305,1.121017439,0.80634618
20022.371,16.161445,99862.05,99910.8,286.5427,286.5435,142487.8,143063.8,323.6411,323.2549,1.426846335,1.129469011,1.128118069,0.834374368
20022.371,16.097615,99861.96,99911.3,286.5428,286.5434,146604.6,147008,325.7929,325.424,1.468072527,1.136978141,1.135688346,0.854482697
20022.371,15.9789,99861.88,99912,286.5428,286.5427,148877.3,149256.3,327.1747,326.7793,1.490832137,1.141800457,1.140420956,0.86069222
20022.371,15.845435,99861.73,99913.05,286.5431,286.5427,150284.2,150639.8,328.2162,327.7878,1.504922857,1.145433968,1.143940502,0.860604807
20022.371,15.697815,99861.94,99913.96,286.5431,286.5428,151673.4,151995.6,329.3167,328.8645,1.518830898,1.149274577,1.147697656,0.858738895
20022.371,15.52377,99861.84,99915.4,286.5431,286.5426,153026.7,153313.3,330.4383,329.9651,1.532384142,1.153188822,1.151539422,0.855866708
20022.371,15.32449,99861.94,99917.11,286.5431,286.5427,154347.1,154600.9,331.6058,331.1164,1.545604862,1.157263253,1.15555692,0.851609354
20022.371,15.081825,99861.91,99919.28,286.5431,286.5435,155596,155820.7,332.8896,332.3726,1.558111596,1.161743556,1.159937671,0.844606602
20022.371,14.75842,99862,99922.2,286.5427,286.5429,156697.9,156903.1,334.4027,333.829,1.569144419,1.167025717,1.165022759,0.83246113
20022.371,14.5391,99861.8,99924.48,286.5428,286.5436,157139.8,157345.4,335.3286,334.7038,1.573572677,1.17025659,1.168072852,0.82280502
20022.371,14.397075,99861.8,99925.78,286.5429,286.5432,157294.6,157503.6,335.8702,335.2102,1.57512282,1.1721463,1.169841755,0.816121202
