Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,
15.9789,0.11391,-0.165526296,1.32E-05,84.234642,-148.9167,110374.7200 ,1.105273804,,,,,
15.9789,0.11392,-0.165526851,4.96E-05,84.93792,-0.67629671,139858.7200 ,1.4005216,,,,,
15.9789,0.11393,-0.165527701,0.000112763,82.592598,-2.446254,143261.0600 ,1.434592059,,,,,
15.9789,0.11395,-0.165529173,0.000222183,80.207611,-1.8247575,144701.5800 ,1.449017183,,,,,
15.9789,0.11398,-0.165531725,0.000411859,77.732224,-1.9355118,145308.7300 ,1.45509708,,,,,
15.9789,0.11405,-0.165536147,0.0007406,74.779137,-1.1383499,146061.4200 ,1.462634391,,,,,
15.9789,0.11415,-0.165543812,0.00131028,70.993874,-0.84625155,147082.5300 ,1.472859614,,,,,
15.9789,0.11434,-0.165557093,0.002297563,66.14006,0.56807971,149334.4500 ,1.49540996,,,,,
15.9789,0.11466,-0.16558011,0.004008574,59.532478,1.8480177,151888.6900 ,1.520987688,,,,,
15.9789,0.11521,-0.165619995,0.006973828,53.157032,3.0713692,154882.5900 ,1.550968097,,,,,
15.9789,0.11617,-0.165689113,0.012112748,47.28614,4.3048768,156227.6100 ,1.5644369,,,,,
15.9789,0.11784,-0.165808885,0.021018704,42.836693,5.5001235,156790.1200 ,1.57006978,,,,,
15.9789,0.11995,-0.165960848,0.032313451,40.686131,5.9992728,156413.4700 ,1.566298071,,,,,
15.9789,0.12211,-0.166116577,0.044543643,40.356735,6.2789612,155155.2000 ,1.553697968,,,,,
15.9789,0.12439,-0.16628004,0.058799725,40.417812,6.3365283,154174.3900 ,1.543876302,,,,,
15.9789,0.12677,-0.166451627,0.07541728,40.236404,6.3278399,153383.3900 ,1.535955362,,,,,
15.9789,0.12928,-0.166631744,0.094787501,39.651028,6.2540865,152962.4100 ,1.531739739,,,,,
15.9789,0.1319,-0.166820804,0.11736632,38.916481,6.2095046,152677.9800 ,1.528891505,,,,,
15.9789,0.13466,-0.16701926,0.14368528,38.156715,6.1104703,152519.7500 ,1.527307016,,,,,
15.9789,0.13756,-0.167227569,0.17436396,37.433128,5.9603267,152382.9200 ,1.525936824,,,,,
15.9789,0.1406,-0.16744623,0.21012437,36.722633,5.757329,152278.3100 ,1.524889277,,,,,
15.9789,0.14379,-0.167675749,0.25180846,36.021301,5.5194058,152194.7800 ,1.524052822,,,,,
15.9789,0.14714,-0.16791667,0.30039749,35.324192,5.2460122,152137.0900 ,1.523475124,,,,,
15.9789,0.15065,-0.168169558,0.35703492,34.657722,4.9175549,152068.5600 ,1.522788876,,,,,
15.9789,0.15425,-0.168428576,0.41800389,34.079975,4.54918,151982.3000 ,1.521925083,,,,,
15.9789,0.15785,-0.168687592,0.47897339,33.631577,4.2089005,151831.8800 ,1.520418802,,,,,
15.9789,0.16146,-0.168946604,0.53994328,33.304134,3.8594878,151636.3800 ,1.518461098,,,,,
15.9789,0.16506,-0.169205618,0.60091263,33.06485,3.5129755,151495.3800 ,1.517049148,,,,,
15.9789,0.16866,-0.16946463,0.66188169,32.775093,3.1555786,151537.2700 ,1.517468628,,,,,
15.9789,0.17226,-0.169723646,0.72285128,32.736412,2.7730856,151943.7200 ,1.521538749,,,,,
15.9789,0.17586,-0.169982661,0.78382087,33.870426,2.561667,152395.1100 ,1.526058893,,,,,
15.9789,0.17946,-0.17024168,0.84478998,37.072983,2.6549592,151823.6600 ,1.520336489,,,,,
15.9789,0.18306,-0.170500694,0.90575927,41.688675,2.7291267,149636.6200 ,1.49843584,,,,,
15.9789,0.18585,-0.170701399,0.95133567,46.649338,2.2972112,146319.2700 ,1.465216457,,,,,
15.9789,0.18738,-0.170811727,0.9738968,51.099243,2.2006786,142540.8900 ,1.427380398,,,,,
15.9789,0.18823,-0.170872374,0.98506498,54.875507,1.8586656,140053.9400 ,1.402476501,,,,,
15.9789,0.18869,-0.170905714,0.99059337,57.398685,1.3607398,138189.4100 ,1.383805412,,,,,
15.9789,0.18894,-0.170924042,0.99333006,59.796089,1.34936,137683.2500 ,1.378736811,,,,,
15.9789,0.18908,-0.170934113,0.9946847,59.932003,1.8516731,136717.5300 ,1.369066254,,,,,
15.9789,0.18916,-0.170939654,0.99535519,59.834557,1.318451,136378.1400 ,1.36566766,,,,,
15.9789,0.1892,-0.170942698,0.99568731,59.858128,1.5222892,136032.8600 ,1.362210085,,,,,
15.9789,0.18923,-0.170944371,0.99585158,59.830254,1.1487217,135889.1100 ,1.360770596,,,,,
15.9789,0.18924,-0.170945287,0.995933,59.84742,1.3728421,135767.8600 ,1.359556419,,,,,
15.9789,0.18925,-0.170945797,0.99597317,59.822449,1.0701693,135678.0800 ,1.358657378,,,,,
15.9789,0.18925,-0.170946156,0.99599981,59.86034,1.3252146,135697.5000 ,1.358851846,,,,,
15.9789,0.18926,-0.170946745,0.99604368,59.87635,1.0014008,135623.9500 ,1.358115329,,,,,
15.9789,0.18928,-0.170948092,0.99614376,59.828957,1.2617024,135463.8800 ,1.356512415,,,,,
15.9789,0.18932,-0.170951169,0.99637252,59.872478,0.70580918,135041.2500 ,1.35228027,,,,,
15.9789,0.18942,-0.170958205,0.99689537,62.434433,0.55806553,135465.8100 ,1.356531742,,,,,
15.9789,0.18956,-0.17096799,0.99762273,62.739464,0.99471819,133953.3800 ,1.341386523,,,,,
15.9789,0.18969,-0.170977771,0.9983502,63.245972,0.55273503,132565.2700 ,1.327486224,,,,,
15.9789,0.18983,-0.170987561,0.99907756,63.680614,0.57149637,130456.9500 ,1.306373864,,,,,
15.9789,0.18992,-0.170994595,0.99960041,63.670235,0.069008924,128232.2200 ,1.284095793,,,,,
15.9789,0.18997,-0.170997673,0.99982911,63.270786,0.33721089,126016.3900 ,1.261906846,,,,,
15.9789,0.18999,-0.17099902,0.99992943,62.30938,-0.22139172,124006.8200 ,1.241783351,,,,,
15.9789,0.18999,-0.171,0.99997324,60.912395,0.96625549,123286.9300 ,1.234574494,,,,,
