Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.21429,0.1201763,-0.088,0.000013,101459.2,326.437,1.015993868,1.139225575
16.21429,0.1201826,-0.088,6.51E-05,101800.7,326.5095,1.019413587,1.139478591
16.21429,0.1201921,-0.088,0.000200612,102794.4,326.6249,1.029364317,1.139881323
16.21429,0.1202063,-0.088,0.000404211,104026.9,326.6662,1.041706346,1.140025455
16.21429,0.1202277,-0.088,0.000710144,105091.7,326.7336,1.052369059,1.140260673
16.21429,0.1202599,-0.088,0.001171444,106003.3,326.757,1.061497654,1.140342336
16.21429,0.1203085,-0.088,0.001867075,107149.2,326.8703,1.072972487,1.140737739
16.21429,0.1203815,-0.088,0.002912603,108495.1,326.9047,1.086450084,1.140857791
16.21429,0.1204916,-0.088,0.004490072,110304.6,326.9958,1.104570086,1.141175719
16.21429,0.1206574,-0.088,0.006864118,112436,326.8163,1.125913535,1.140549286
16.21429,0.1209069,-0.088,0.01043821,115559.1,326.8446,1.157187688,1.14064805
16.21429,0.1212829,-0.088,0.01582313,118234.3,326.327,1.183976651,1.138841688
16.21429,0.121849,-0.088,0.02393051,123699.2,325.7868,1.23870116,1.136956456
16.21429,0.1227016,-0.088,0.03614178,129730.1,324.3394,1.299093489,1.131905205
16.21429,0.1239857,-0.088,0.05453274,134356.3,322.0335,1.34541941,1.123857894
16.21429,0.1259194,-0.088,0.08222771,134875.6,319.7729,1.350619585,1.115968673
16.21429,0.1288314,-0.088,0.1239346,131485.2,319.1432,1.31666874,1.113771097
16.21429,0.1323318,-0.088,0.1740669,128856.1,319.0554,1.290341413,1.113464685
16.21429,0.1358319,-0.088,0.2241963,129297.7,318.8479,1.294763515,1.112740536
16.21429,0.1393322,-0.088,0.2743285,131148.9,318.4885,1.313301093,1.111486273
16.21429,0.1428324,-0.088,0.3244583,133201,318.1714,1.333850447,1.110379633
16.21429,0.1463327,-0.088,0.3745899,134431.7,317.8465,1.346174452,1.109245771
16.21429,0.1498329,-0.088,0.42472,134616.7,317.4726,1.348027008,1.107940905
16.21429,0.1533331,-0.088,0.4748504,134156.7,316.9255,1.343420652,1.106031592
16.21429,0.1568333,-0.088,0.5249816,133269.4,316.3973,1.334535392,1.104188238
16.21429,0.1603335,-0.088,0.575111,131579.5,316.0007,1.317613042,1.102804153
16.21429,0.1638338,-0.088,0.6252428,129073.3,315.8088,1.292516414,1.102134445
16.21429,0.1673339,-0.088,0.6753728,127219.1,315.8163,1.273948795,1.102160619
16.21429,0.1708342,-0.088,0.7255038,126113,315.727,1.262872511,1.101848973
16.21429,0.1743343,-0.088,0.7756332,125755.9,315.6268,1.259296577,1.101499287
16.21429,0.1778345,-0.088,0.8257629,125004.5,315.6431,1.251772195,1.101556172
16.21429,0.1813347,-0.088,0.8758935,123052.5,316.3478,1.232225224,1.104015489
16.21429,0.1842468,-0.088,0.9176018,119455.7,317.5744,1.196207527,1.108296175
16.21429,0.1861805,-0.088,0.945296,115029.3,318.5536,1.151882367,1.111713464
16.21429,0.1874645,-0.088,0.9636861,110753.9,318.912,1.109069294,1.112964237
16.21429,0.1883171,-0.088,0.9758965,107969.8,319.2466,1.081189826,1.11413195
16.21429,0.1888832,-0.088,0.9840042,105707.9,319.096,1.058539573,1.113606374
16.21429,0.1892591,-0.088,0.9893879,104819.8,319.3829,1.049646302,1.114607621
16.21429,0.1895087,-0.088,0.9929628,103478.5,319.1154,1.036214769,1.113674078
16.21429,0.1896745,-0.088,0.9953375,102896.5,319.2721,1.030386728,1.114220942
16.21429,0.1897845,-0.088,0.9969138,102086.9,319.1115,1.022279541,1.113660468
16.21429,0.1898576,-0.088,0.9979604,101627.3,319.1803,1.017677191,1.113900571
16.21429,0.1899062,-0.088,0.9986559,101025.3,319.0711,1.011648873,1.113519476
16.21429,0.1899384,-0.088,0.9991169,100571,319.0951,1.007099596,1.113603234
16.21429,0.1899598,-0.088,0.9994233,99905.52,319.0129,1.000435601,1.113316366
16.21429,0.189974,-0.088,0.9996268,99318.62,319.0022,0.994558492,1.113279024
16.21429,0.1899834,-0.088,0.9997622,98912.88,318.8927,0.990495486,1.112896882
16.21429,0.1899897,-0.088,0.9998517,98801.4,318.8808,0.989379145,1.112855353
15.9789,0.1201763,-0.088,0.000013,128328.3,330.8848,1.285057922,1.154748261
15.9789,0.1201826,-0.088,6.51E-05,128752.7,330.9427,1.289307792,1.154950325
15.9789,0.1201921,-0.088,0.000200612,129870,331.0348,1.300496245,1.155271743
15.9789,0.1202063,-0.088,0.000404211,131182.7,331.0812,1.313641402,1.155433673
15.9789,0.1202277,-0.088,0.000710144,132288,331.1329,1.324709689,1.1556141
15.9789,0.1202599,-0.088,0.001171444,133260.5,331.1743,1.33444814,1.155758581
15.9789,0.1203085,-0.088,0.001867075,134346.4,331.2456,1.345322159,1.15600741
15.9789,0.1203815,-0.088,0.002912603,135581.3,331.2951,1.357688239,1.156180159
15.9789,0.1204916,-0.088,0.004490072,137016.6,331.3265,1.372061091,1.156289741
15.9789,0.1206574,-0.088,0.006864118,138569.9,331.2181,1.387615575,1.155911438
15.9789,0.1209069,-0.088,0.01043821,140518.4,331.1808,1.407127525,1.155781265
15.9789,0.1212829,-0.088,0.01582313,142105.6,330.8272,1.423021477,1.154547244
15.9789,0.121849,-0.088,0.02393051,145269.3,330.4825,1.454702235,1.153344282
15.9789,0.1227016,-0.088,0.03614178,148856.5,329.5147,1.49062385,1.149966776
15.9789,0.1239857,-0.088,0.05453274,151973.2,327.8953,1.521833957,1.144315265
15.9789,0.1259194,-0.088,0.08222771,152735.6,325.8343,1.529468502,1.137122622
15.9789,0.1288314,-0.088,0.1239346,151923.4,324.7788,1.521335268,1.133439053
15.9789,0.1323318,-0.088,0.1740669,151010.2,324.5103,1.512190638,1.132502021
15.9789,0.1358319,-0.088,0.2241963,150595.6,324.2443,1.508038903,1.131573713
15.9789,0.1393322,-0.088,0.2743285,150462.9,323.9753,1.506710068,1.130634935
15.9789,0.1428324,-0.088,0.3244583,150446.6,323.8182,1.506546842,1.130086675
15.9789,0.1463327,-0.088,0.3745899,150478.2,323.7617,1.50686328,1.129889496
15.9789,0.1498329,-0.088,0.42472,150519.4,323.7693,1.507275849,1.12991602
15.9789,0.1533331,-0.088,0.4748504,150555,323.8596,1.507632342,1.130231156
15.9789,0.1568333,-0.088,0.5249816,150523.4,324.0295,1.507315905,1.130824086
15.9789,0.1603335,-0.088,0.575111,150428.5,324.3204,1.506365592,1.131839292
15.9789,0.1638338,-0.088,0.6252428,150235.2,324.6906,1.504429919,1.133131246
15.9789,0.1673339,-0.088,0.6753728,150000,325.1335,1.502074666,1.134676914
15.9789,0.1708342,-0.088,0.7255038,149586,325.877,1.497928939,1.13727164
15.9789,0.1743343,-0.088,0.7756332,149151.4,327.2505,1.493576928,1.14206499
15.9789,0.1778345,-0.088,0.8257629,148442,329.5931,1.486473117,1.150240383
15.9789,0.1813347,-0.088,0.8758935,147368.5,332.9181,1.475723269,1.161844234
15.9789,0.1842468,-0.088,0.9176018,145502.8,335.6828,1.457040464,1.171492705
15.9789,0.1861805,-0.088,0.945296,142993.3,337.2018,1.431910755,1.176793833
15.9789,0.1874645,-0.088,0.9636861,140287.3,337.8397,1.404813328,1.179020028
15.9789,0.1883171,-0.088,0.9758965,138282.8,338.2853,1.384740604,1.180575118
