Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20022.371,16.22376,99854.62,99903.59,286.5417,286.5429,125507.9,126345.1,317.2267,317.132,1.25690629,1.10708738,1.106752252,0.63240586
20022.371,16.22193,99854.75,99903.73,286.5417,286.5433,127596.3,128449.7,317.5912,317.4664,1.277819032,1.108359446,1.107917721,0.67232332
20022.371,16.20933,99854.89,99903.83,286.5416,286.5433,134296.2,135212.9,319.5308,319.3022,1.344913604,1.115128833,1.114324432,0.77282794
20022.371,16.193815,99854.83,99904.1,286.5416,286.5432,138323.5,139048.7,321.3709,321.0512,1.385245962,1.121550588,1.120428613,0.810274032
20022.371,16.16864,99854.78,99903.97,286.5415,286.5426,142453.6,142969.7,323.4258,323.0627,1.42660772,1.128722367,1.127450857,0.838327367
20022.371,16.1096,99854.59,99904.5,286.5417,286.5422,146576.8,146927.6,325.5786,325.2496,1.467902477,1.136234621,1.135084466,0.858029156
20022.371,16.000195,99854.84,99905.59,286.5419,286.543,148869.2,149192.4,326.9425,326.5977,1.490856127,1.140993691,1.139786001,0.864638639
20022.371,15.867,99854.73,99906.45,286.542,286.5427,150277.3,150580.9,327.9869,327.6139,1.504959254,1.144638133,1.143333611,0.864302889
20022.371,15.704205,99854.52,99907.69,286.5418,286.5425,151637.2,151908.6,329.0849,328.6869,1.518581232,1.148470834,1.147079055,0.861990826
20022.371,15.5371,99854.47,99908.77,286.5418,286.5425,153001.2,153243.7,330.2113,329.7975,1.532241872,1.152401849,1.150954919,0.858982134
20022.371,15.35193,99854.45,99910.74,286.5421,286.5427,154349.3,154566.5,331.3751,330.946,1.545742829,1.156462174,1.154962245,0.855063825
20022.371,15.123145,99854.96,99912.6,286.5422,286.5434,155621.6,155818.1,332.6322,332.1794,1.558476414,1.160848908,1.159263832,0.848656843
20022.371,14.81581,99854.62,99915.46,286.5422,286.5422,156749.3,156932.5,334.0867,333.5856,1.569775139,1.165924949,1.164176167,0.837549299
20022.371,14.613785,99854.48,99917.73,286.5424,286.5435,157222.7,157403.1,334.9441,334.4015,1.574518239,1.168916363,1.167018271,0.8291702
20022.371,14.486455,99854.66,99918.92,286.5422,286.5438,157406.4,157590.7,335.4446,334.8752,1.576355074,1.170663867,1.1686702,0.823298303
20022.371,14.313095,99854.45,99920.66,286.5426,286.5427,157501.2,157697,336.0794,335.454,1.577307771,1.172877611,1.170694629,0.814685869
20022.371,14.20456,99854.51,99922.14,286.5425,286.5434,157458.1,157669.5,336.4523,335.7917,1.576875196,1.174179397,1.1718703,0.80859369
