Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.000195,0.113911,-0.165526,1.33E-05,80.121246,-168.17932,110218.95,1.103791764
16.000195,0.113918,-0.165527,4.97E-05,85.388596,-1.0312955,139133.92,1.393361804
16.000195,0.11393,-0.165528,0.000112878,83.054764,-2.2830791,142893.47,1.431011957
16.000195,0.11395,-0.165529,0.000222344,80.711296,-1.9020683,144269.44,1.44479166
16.000195,0.113986,-0.165532,0.000412001,78.165222,-1.6045903,144876.05,1.450866578
16.000195,0.114047,-0.165536,0.000740745,74.91275,-1.0105784,145548.41,1.457599952
16.000195,0.114154,-0.165544,0.001310414,70.53791,-0.38498762,146843.89,1.470573585
16.000195,0.114338,-0.165557,0.002297707,65.00515,0.56664759,149123.48,1.493402623
16.000195,0.114658,-0.16558,0.00400875,58.875496,1.7403775,152226.22,1.524475128
16.000195,0.115213,-0.16562,0.006974037,52.670841,3.1684787,154996.86,1.552221805
16.000195,0.116174,-0.165689,0.01211297,47.024509,4.3746958,156283.8,1.565109914
16.000195,0.117839,-0.165809,0.02101903,42.722565,5.4915452,156738.77,1.569666227
16.000195,0.119951,-0.165961,0.032313947,40.61982,6.0054936,156430.41,1.566578145
16.000195,0.122045,-0.166112,0.043864556,40.182064,6.2987418,155180.55,1.554061375
16.000195,0.124104,-0.16626,0.055938374,40.279484,6.3338494,154130.22,1.543542807
16.000195,0.126126,-0.166405,0.068558984,40.24144,6.3122826,153327.22,1.535501133
16.000195,0.128114,-0.166548,0.081751361,39.85564,6.2744112,152910.72,1.531330079
16.000195,0.130068,-0.166689,0.095541283,39.292408,6.2584505,152658.75,1.528806716
16.000195,0.131988,-0.166827,0.10995575,38.74052,6.2166233,152546.36,1.527681182
16.000195,0.133875,-0.166963,0.12502302,38.248219,6.1635785,152451.7,1.526733206
16.000195,0.135729,-0.167096,0.14077286,37.797798,6.0843797,152372.28,1.525937851
16.000195,0.137552,-0.167227,0.15723599,37.367199,5.9838023,152286.12,1.525074999
16.000195,0.139343,-0.167356,0.17444491,36.957668,5.8645425,152206.52,1.524277842
16.000195,0.141103,-0.167483,0.19243304,36.570747,5.7379603,152129.42,1.523505721
16.000195,0.142833,-0.167607,0.21123612,36.207355,5.6010532,152055.44,1.522764845
16.000195,0.144533,-0.167729,0.23089081,35.870438,5.4605069,151989.52,1.522104687
16.000195,0.146204,-0.167849,0.25143576,35.547989,5.3174095,151923.91,1.521447633
16.000195,0.147846,-0.167968,0.27291119,35.240223,5.1642761,151862.67,1.520834343
16.000195,0.149459,-0.168084,0.2953594,34.946476,5.0003753,151801.48,1.520221554
16.000195,0.151045,-0.168198,0.31882435,34.671833,4.8391943,151746.16,1.519667549
16.000195,0.152604,-0.16831,0.3433519,34.405891,4.6889949,151688.77,1.519092815
16.000195,0.154136,-0.16842,0.3689909,34.147232,4.5358367,151629.81,1.518502358
16.000195,0.155641,-0.168528,0.39579093,33.907692,4.3697281,151567.25,1.517875849
16.000195,0.157134,-0.168636,0.42318422,33.70192,4.2216167,151515.95,1.517362103
16.000195,0.158626,-0.168743,0.45057762,33.504177,4.0861692,151457.39,1.516775652
16.000195,0.160118,-0.16885,0.47797111,33.33503,3.9188678,151396.75,1.51616837
16.000195,0.161611,-0.168958,0.5053646,33.222744,3.7708316,151366.89,1.515869336
16.000195,0.163103,-0.169065,0.53275794,33.118832,3.6486471,151328.7,1.515486881
16.000195,0.164595,-0.169172,0.56015176,33.035404,3.4954324,151308.73,1.51528689
16.000195,0.166088,-0.16928,0.58754462,32.982971,3.352669,151320.22,1.515401957
16.000195,0.16758,-0.169387,0.61493856,32.9207,3.2338758,151337.25,1.515572505
16.000195,0.169072,-0.169495,0.64233196,32.855156,3.1050019,151363.84,1.515838792
16.000195,0.170565,-0.169602,0.66972554,32.811951,2.9767697,151390.25,1.516103276
16.000195,0.172057,-0.169709,0.69711852,32.799454,2.8733106,151405,1.51625099
16.000195,0.173549,-0.169817,0.7245121,32.824322,2.77542,151407.45,1.516275526
16.000195,0.175042,-0.169924,0.75190604,32.952908,2.6766267,151478.19,1.516983954
16.000195,0.176534,-0.170031,0.7792995,33.341103,2.5970259,151719.7,1.519402565
16.000195,0.178026,-0.170139,0.8066926,34.204102,2.6014235,152267.55,1.524889029
16.000195,0.179519,-0.170246,0.83408558,35.699997,2.5363746,152844.95,1.530671423
16.000195,0.181011,-0.170353,0.86147964,37.930393,2.6372442,153206.8,1.534295183
16.000195,0.182503,-0.170461,0.8888731,40.282745,2.6623936,152213.91,1.524351849
16.000195,0.183996,-0.170568,0.9162665,42.780617,2.5221546,150303.75,1.505222481
16.000195,0.185303,-0.170662,0.93964678,44.849548,2.5303991,147664.59,1.478792515
16.000195,0.186286,-0.170733,0.95617622,46.69593,2.3926673,145076.98,1.452878799
16.000195,0.187025,-0.170786,0.96786338,48.744431,2.0453596,142866.72,1.430744068
16.000195,0.187581,-0.170826,0.97612482,51.170959,1.8495035,141212.05,1.414173314
16.000195,0.187999,-0.170856,0.98196644,53.341454,2.0954006,139999.67,1.402031889
16.000195,0.188313,-0.170879,0.98609632,54.819401,2.0801399,139009.16,1.39211239
16.000195,0.18855,-0.170896,0.98901606,56.077335,1.98849,138388.08,1.385892562
16.000195,0.188728,-0.170908,0.99108022,57.091503,1.7693784,137766.56,1.379668327
16.000195,0.188861,-0.170918,0.99253958,58.439095,1.7623819,137725.45,1.379256629
16.000195,0.188962,-0.170925,0.9935717,58.633392,1.9161115,137130.66,1.373300082
16.000195,0.189037,-0.170931,0.99430114,58.740601,1.6428667,136746.98,1.369457705
16.000195,0.189094,-0.170935,0.99481654,58.876385,1.5884224,136289.23,1.36487355
16.000195,0.189137,-0.170938,0.9951818,59.028061,1.3309867,135901.84,1.360994019
16.000195,0.189169,-0.17094,0.99543899,60.191948,1.2091733,136513.09,1.367115405
16.000195,0.189193,-0.170942,0.99562144,60.873894,1.2270792,136866.52,1.370654843
16.000195,0.189211,-0.170943,0.99575025,60.970173,1.2723715,136644.53,1.368431715
16.000195,0.189225,-0.170944,0.99584132,61.022579,1.309346,136509.53,1.367079753
16.000195,0.189235,-0.170945,0.99590558,61.117794,1.3085309,136449.84,1.366481985
16.000195,0.189243,-0.170946,0.99595112,61.056931,1.3504038,136292.69,1.364908201
16.000195,0.189249,-0.170946,0.99598342,61.161369,1.3172482,136315.89,1.365140538
16.000195,0.189254,-0.170946,0.99601048,61.140182,1.3650378,136260.34,1.36458423
16.000195,0.18926,-0.170947,0.99604613,61.154259,1.3257155,136180.53,1.36378497
16.000195,0.189271,-0.170948,0.99610525,61.157284,1.3980561,136106.22,1.36304079
16.000195,0.18929,-0.170949,0.99620491,61.185062,1.3436055,135937.36,1.361349735
16.000195,0.189321,-0.170951,0.99637216,61.160538,1.4549495,135714.27,1.359115592
16.000195,0.189374,-0.170955,0.99665183,61.158836,1.302135,135287.84,1.354845093
16.000195,0.189461,-0.170961,0.99711943,62.045013,1.2596875,135149.2,1.353456678
16.000195,0.189571,-0.170969,0.99770457,62.4762,1.0857791,134218.62,1.34413735
16.000195,0.18968,-0.170977,0.99828959,63.501255,0.84054494,133451.12,1.336451193
16.000195,0.189789,-0.170985,0.99887449,64.009453,0.71217942,131910.48,1.321022396
16.000195,0.189877,-0.170991,0.99934238,64.669052,0.3177821,130521.82,1.307115609
16.000195,0.189929,-0.170995,0.99962181,64.703621,0.48473722,128909.22,1.290966166
16.000195,0.18996,-0.170997,0.99978834,64.204338,0.19563341,127336.7,1.275218107
16.000195,0.189979,-0.170998,0.99988788,62.927917,0.43100956,125445.01,1.256273707
16.000195,0.18999,-0.170999,0.99994779,60.247852,0.15626165,123891.06,1.240711617
16.000195,0.189997,-0.171,0.99998337,56.583523,1.0849127,123157.62,1.233366555
