Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.2219,0.1201789,-0.088,9.39E-06,101773.7,325.7836,1.019217413,1.13695005
16.2219,0.1201845,-0.088,8.94E-05,102049.6,325.8696,1.021980427,1.13725018
16.2219,0.1201915,-0.088,0.000190048,102851.3,326.0126,1.030009088,1.137749235
16.2219,0.1202,-0.088,0.000311375,104031.7,326.1272,1.041830258,1.138149177
16.2219,0.1202106,-0.088,0.000464289,105124.5,326.2055,1.052774154,1.138422436
16.2219,0.1202237,-0.088,0.000650815,105917.9,326.2465,1.060719695,1.138565521
16.2219,0.1202398,-0.088,0.000881626,106601.8,326.2994,1.067568643,1.138750137
16.2219,0.1202599,-0.088,0.001169205,107252.2,326.3384,1.074082104,1.138886242
16.2219,0.1202846,-0.088,0.001523797,107947.6,326.3944,1.08104622,1.139081676
16.2219,0.1203152,-0.088,0.001961622,108671.5,326.4317,1.08829575,1.139211849
16.2219,0.1203531,-0.088,0.002504982,109483.8,326.4875,1.096430565,1.139406585
16.2219,0.1203998,-0.088,0.003174044,110364.9,326.5264,1.105254382,1.139542342
16.2219,0.1204577,-0.088,0.004003062,111407,326.5982,1.115690541,1.139792917
16.2219,0.1205293,-0.088,0.005028958,112555.5,326.6315,1.127192247,1.13990913
16.2219,0.1206178,-0.088,0.006295588,113897.2,326.678,1.140628763,1.14007141
16.2219,0.1207273,-0.088,0.00786367,115419,326.6795,1.1558689,1.140076645
16.2219,0.1208627,-0.088,0.009802883,117342.9,326.722,1.175135885,1.140224966
16.2219,0.1210302,-0.088,0.01220265,119442.3,326.6554,1.196160423,1.139992539
16.2219,0.1212372,-0.088,0.01516712,121586.1,326.5319,1.217629607,1.139561537
16.2219,0.1214933,-0.088,0.01883469,123750.8,326.2807,1.239308095,1.138684876
16.2219,0.12181,-0.088,0.02337129,126448,325.961,1.266319329,1.137569157
16.2219,0.1222018,-0.088,0.02898192,129126.6,325.385,1.293144292,1.135558978
16.2219,0.1226862,-0.088,0.03592,131363.9,324.4751,1.315549836,1.132383524
16.2219,0.1232854,-0.088,0.04450107,133043.1,323.2196,1.332366262,1.128001963
16.2219,0.1240262,-0.088,0.0551112,134268.4,321.7288,1.344637085,1.12279923
16.2219,0.1249426,-0.088,0.06823646,134678.2,320.4709,1.348741046,1.118409293
16.2219,0.1260758,-0.088,0.08446693,133884.1,319.6437,1.340788495,1.115522453
16.2219,0.1274774,-0.088,0.1045401,132167.7,319.3961,1.323599528,1.114658355
16.2219,0.1292108,-0.088,0.1293658,130049.6,319.3615,1.302387718,1.114537605
16.2219,0.1311275,-0.088,0.156817,128518,319.3748,1.287049439,1.11458402
16.2219,0.133044,-0.088,0.1842663,127866.4,319.2836,1.280523961,1.114265742
16.2219,0.1349608,-0.088,0.2117187,128118.1,319.1605,1.283044622,1.113836136
16.2219,0.1368775,-0.088,0.2391703,128946.8,318.9911,1.291343677,1.113244948
16.2219,0.1387943,-0.088,0.2666224,130245.5,318.8048,1.304349568,1.112594781
16.2219,0.1407111,-0.088,0.2940751,131730.4,318.5943,1.319220167,1.111860159
16.2219,0.1426279,-0.088,0.3215275,133196,318.3901,1.333897486,1.111147522
16.2219,0.1445447,-0.088,0.3489804,134357.4,318.2033,1.34552838,1.11049561
16.2219,0.1464614,-0.088,0.376432,134987.6,318.0068,1.351839547,1.109809846
16.2219,0.1483782,-0.088,0.4038845,135054,317.7617,1.352504513,1.108954473
16.2219,0.1502949,-0.088,0.431337,134760.1,317.4536,1.349561238,1.107879237
16.2219,0.1522118,-0.088,0.4587899,134273.5,317.0826,1.34468816,1.106584487
16.2219,0.1541285,-0.088,0.4862417,133699.7,316.6606,1.338941813,1.105111752
16.2219,0.1560453,-0.088,0.5136942,133060,316.2096,1.332535508,1.10353781
16.2219,0.157962,-0.088,0.541146,132267.5,315.7579,1.32459898,1.101961425
16.2219,0.1598788,-0.088,0.5685987,131179.1,315.344,1.313699148,1.100516958
16.2219,0.1617956,-0.088,0.5960507,129798.5,315.0102,1.299873066,1.099352031
16.2219,0.1637123,-0.088,0.6235021,128409.1,314.7799,1.285958855,1.098548309
16.2219,0.165629,-0.088,0.6509537,127356.4,314.6418,1.275416543,1.098066355
16.2219,0.1675457,-0.088,0.6784058,126771.3,314.5774,1.269557032,1.097841606
16.2219,0.1694624,-0.088,7.06E-01,126539.1,314.6015,1.267231654,1.097925712
16.2219,0.1713789,-0.088,0.7333054,126443.9,314.7224,1.266278269,1.09834764
16.2219,0.1732957,-0.088,0.7607576,126264.9,314.92,1.264485665,1.099037243
16.2219,0.1752125,-0.088,0.7882103,125840,315.1871,1.260230485,1.099969394
16.2219,0.1771293,-0.088,0.8156628,125012,315.5006,1.251938441,1.101063475
16.2219,0.179046,-0.088,0.8431144,124319.8,315.9326,1.245006372,1.102571109
16.2219,0.1809627,-0.088,0.8705664,123495.2,316.6825,1.236748377,1.10518818
16.2219,0.1826962,-0.088,0.8953933,122246.8,317.6796,1.224246218,1.108667953
16.2219,0.1840977,-0.088,0.9154653,120561.5,318.6248,1.207368703,1.1119666
16.2219,0.1852308,-0.088,0.9316948,118584.2,319.4389,1.187566941,1.114807723
16.2219,0.186147,-0.088,0.9448164,116224,319.9526,1.163930609,1.116600481
16.2219,0.1868882,-0.088,0.9554313,114034,320.2881,1.141998753,1.11777134
16.2219,0.1874872,-0.088,0.9640108,112158.5,320.5292,1.123216472,1.118612753
16.2219,0.1879717,-0.088,0.9709492,110534.7,320.6932,1.106954852,1.119185096
16.2219,0.1883632,-0.088,0.9765572,109095.1,320.7328,1.092537911,1.119323296
16.2219,0.1886799,-0.088,0.9810932,108015.5,320.8518,1.081726207,1.119738593
16.2219,0.1889361,-0.088,9.85E-01,106816.2,320.7293,1.069715762,1.119311081
16.2219,0.1891432,-0.088,0.9877285,106198.6,320.8541,1.063530778,1.11974662
16.2219,0.1893107,-0.088,0.9901267,105376.6,320.7476,1.055298822,1.119374946
16.2219,0.189446,-0.088,0.9920656,104875.1,320.8214,1.050276527,1.1196325
16.2219,0.1895554,-0.088,0.9936314,104264.3,320.7512,1.044159642,1.11938751
16.2219,0.1896442,-0.088,0.9949031,103826.8,320.7875,1.039778278,1.119514193
