Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20022.371,16.22079,99856.62,99906.05,286.5429,286.5437,125555.1,126367.3,317.3486,317.2833,1.257353794,1.10750816,1.10727718,0.630323504
20022.371,16.219075,99856.68,99905.92,286.543,286.5433,127649.7,128484.9,317.6952,317.6148,1.278329101,1.108717365,1.108435619,0.670240163
20022.371,16.207645,99856.62,99905.88,286.5431,286.543,134310.6,135243.4,319.5954,319.4026,1.34503451,1.115348441,1.114675982,0.770702527
20022.371,16.19245,99856.59,99906.17,286.5431,286.543,138341.9,139077.2,321.4337,321.1448,1.38540581,1.121763881,1.120756047,0.808376602
20022.371,16.167725,99856.64,99906.4,286.5431,286.5434,142479.2,142988.3,323.5001,323.1535,1.426837514,1.128975362,1.12776459,0.836667481
20022.371,16.10861,99856.46,99906.52,286.5428,286.5429,146605.5,146947.7,325.6604,325.3398,1.4681624,1.136515732,1.13539648,0.856468812
20022.371,16.001235,99856.48,99907.2,286.5427,286.5426,148902.6,149219.8,327.0252,326.6857,1.491166122,1.141279118,1.140094701,0.86320868
20022.371,15.8651,99856.35,99908.36,286.5425,286.542,150302.1,150600.9,328.0628,327.6913,1.505183196,1.144901018,1.143606522,0.862993071
20022.371,15.71302,99856.44,99909.45,286.5427,286.5431,151678.8,151949.5,329.1379,328.7396,1.518968631,1.14865219,1.147260569,0.861485988
20022.371,15.54881,99856.42,99910.92,286.543,286.5444,153049.2,153287.5,330.2413,329.8274,1.53269264,1.152501719,1.151051635,0.859060687
20022.371,15.35947,99856.62,99912.38,286.5431,286.5438,154385.4,154594.9,331.378,330.9483,1.546070756,1.156468259,1.154965838,0.855486937
20022.371,15.129005,99856.7,99914.19,286.5433,286.5434,155654.4,155838.5,332.6108,332.1594,1.558777728,1.160769768,1.159194035,0.849422796
20022.371,14.80647,99856.68,99917.69,286.5434,286.5434,156750.2,156918.1,334.0653,333.5685,1.569751768,1.165845383,1.164111615,0.837849258
20022.371,14.568865,99856.31,99919.89,286.5428,286.5435,157147.7,157317.3,334.9716,334.4273,1.573738305,1.169010703,1.16710831,0.827759056
20022.371,14.38886,99856.42,99921.49,286.5425,286.5429,157221.8,157401.1,335.5609,334.9706,1.574478636,1.171068515,1.169006805,0.819365773
20022.371,14.259295,99856.35,99923.08,286.5428,286.5427,157129,157325.4,335.9294,335.3,1.573550405,1.17235331,1.170157188,0.812699039
