Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.001235,0.11391,-0.16553,1.32E-05,82.5342,-174.3098,109530.8,1.096882245
16.001235,0.11392,-0.16553,4.97E-05,-1.110641,-91.70413,106734.8,1.06888206
16.001235,0.11393,-0.16553,0.00011284,85.0126,0.5109659,134091.8,1.342845252
16.001235,0.11395,-0.16553,0.000222286,82.18057,-1.242928,139177.2,1.393772342
16.001235,0.11399,-0.16553,0.000411966,79.59019,-0.2451376,142251.8,1.424562532
16.001235,0.11405,-0.16554,0.000740678,76.26653,-0.3066611,144619.8,1.448276567
16.001235,0.11415,-0.16554,0.001310375,71.99038,0.4030709,146661.7,1.468724914
16.001235,0.11434,-0.16556,0.002297665,66.48264,0.9749911,149177.1,1.493915067
16.001235,0.11466,-0.16558,0.004008676,60.14592,1.9327,152194,1.524127428
16.001235,0.11521,-0.16562,0.006973954,53.49228,3.152252,154976.9,1.551996425
16.001235,0.11617,-0.16569,0.012112907,47.34176,4.432012,156307.9,1.565325555
16.001235,0.11784,-0.16581,0.021018937,42.71317,5.606287,156596.4,1.568214702
16.001235,0.11995,-0.16596,0.032313745,40.66111,6.214035,156192.5,1.564169897
16.001235,0.12206,-0.16611,0.044033546,40.31858,6.568793,154741.1,1.549635036
16.001235,0.12417,-0.16626,0.056634545,40.54999,6.631628,153699.8,1.53920707
16.001235,0.12627,-0.16642,0.070185058,40.49529,6.641966,152794.4,1.530140057
16.001235,0.12836,-0.16657,0.084754385,40.06989,6.559601,152382.5,1.526015137
16.001235,0.13046,-0.16672,0.1004201,39.44712,6.501837,152116.3,1.523349311
16.001235,0.13254,-0.16687,0.11726456,38.8413,6.368883,152016.3,1.522347874
16.001235,0.13463,-0.16702,0.13537645,38.33247,6.275783,151980.8,1.521992363
16.001235,0.1367,-0.16717,0.15485127,37.80663,6.156491,151892,1.521103087
16.001235,0.13878,-0.16732,0.17579149,37.33497,5.995566,151843,1.520612383
16.001235,0.14085,-0.16746,0.19830732,36.8681,5.852036,151782.1,1.520002508
16.001235,0.14291,-0.16761,0.22251754,36.41544,5.680526,151721.7,1.519397639
16.001235,0.14497,-0.16776,0.24854939,36.00266,5.519425,151696.5,1.519145277
16.001235,0.14703,-0.16791,0.27653992,35.58496,5.334358,151623.8,1.518417232
16.001235,0.14908,-0.16806,0.30663672,35.22152,5.131088,151589.9,1.518077745
16.001235,0.15113,-0.1682,0.33899817,34.85903,4.94311,151523.9,1.517416797
16.001235,0.15317,-0.16835,0.37379459,34.51773,4.718637,151456.9,1.516745834
16.001235,0.15521,-0.1685,0.40985265,34.21851,4.525865,151421.4,1.516390323
16.001235,0.15725,-0.16864,0.4459109,33.91334,4.310635,151326.6,1.515440961
16.001235,0.15929,-0.16879,0.48196888,33.68935,4.105175,151299.5,1.515169571
16.001235,0.16133,-0.16894,0.51802725,33.46424,3.925281,151211.6,1.514289308
16.001235,0.16337,-0.16908,0.55408508,33.30125,3.712454,151161.1,1.513783582
16.001235,0.16541,-0.16923,0.59014314,33.19063,3.555128,151129.9,1.513471134
16.001235,0.16745,-0.16938,0.62620139,33.1011,3.365874,151052.4,1.51269502
16.001235,0.16949,-0.16952,0.66225952,33.1244,3.217161,151051.9,1.512690013
16.001235,0.17153,-0.16967,0.69831759,33.0815,3.089292,150970.3,1.51187284
16.001235,0.17357,-0.16982,0.73437572,33.10051,2.877689,151035.5,1.512525777
16.001235,0.17561,-0.16996,0.77043384,33.36926,2.759388,151376.9,1.515944684
16.001235,0.17765,-0.17011,0.80649215,34.51609,2.702849,151959.7,1.52178106
16.001235,0.17969,-0.17026,0.84254599,36.86189,2.845159,152642.1,1.528614868
16.001235,0.18173,-0.17041,0.87860841,40.22382,2.725227,152225.7,1.524444883
16.001235,0.18377,-0.17055,0.91466671,43.74893,2.598707,150578.9,1.507953214
16.001235,0.18549,-0.17068,0.94418454,46.55606,2.786579,147349.1,1.475608794
16.001235,0.18667,-0.17076,0.96299529,48.69756,2.266977,143818,1.440247043
16.001235,0.18748,-0.17082,0.97498208,51.55834,1.885349,141498.5,1.417018705
16.001235,0.18804,-0.17086,0.98262095,53.72986,2.087737,139471.7,1.396721575
16.001235,0.18842,-0.17089,0.98748869,55.54086,1.642639,138403.2,1.386021218
16.001235,0.18869,-0.17091,0.99059075,57.09128,1.321342,137466,1.376635748
16.001235,0.18887,-0.17092,0.9925673,58.44842,1.252087,137101.9,1.372989515
16.001235,0.18899,-0.17093,0.99382681,58.70015,1.122466,136209.4,1.364051687
16.001235,0.18907,-0.17093,0.99462986,60.05252,0.8032268,136485.1,1.36681265
16.001235,0.18913,-0.17094,0.99514109,60.41272,1.093282,136122.5,1.363181438
16.001235,0.18917,-0.17094,0.99546701,60.43762,0.911763,135863.1,1.36058371
16.001235,0.1892,-0.17094,0.99567503,60.51991,1.039119,135597.8,1.357926897
16.001235,0.18922,-0.17094,0.99580735,60.51212,0.8999562,135453.4,1.356480821
16.001235,0.18923,-0.17094,0.99589175,60.58954,0.9707916,135331.8,1.355263074
16.001235,0.18924,-0.17095,0.99594522,60.5924,0.8735543,135267.4,1.354618148
16.001235,0.18925,-0.17095,0.99597979,60.59328,0.9348863,135146.1,1.353403405
16.001235,0.18925,-0.17095,0.99600619,60.58519,0.8591664,135112.1,1.353062916
16.001235,0.18926,-0.17095,0.99604177,60.63678,0.8999279,135045,1.352390951
16.001235,0.18927,-0.17095,0.99610168,60.66725,0.8144487,134959.2,1.351531718
16.001235,0.18929,-0.17095,0.99620152,61.61067,0.7165111,135655.4,1.358503725
16.001235,0.18932,-0.17095,0.99636865,61.86525,0.788781,135460.5,1.356551923
16.001235,0.18937,-0.17095,0.99664801,61.9635,0.8468636,134948,1.351419557
16.001235,0.18946,-0.17096,0.99711496,62.55653,0.7972289,134438,1.346312227
