Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.219075,0.1201777,-0.088,0.000013,101713,325.9969,1.018589843,1.137689282
16.219075,0.1201836,-0.088,7.82E-05,102056.8,326.0975,1.022032777,1.138040364
16.219075,0.1201914,-0.088,0.000189621,103053.8,326.2611,1.032017087,1.138611308
16.219075,0.1202016,-0.088,0.000336452,104434.9,326.3837,1.045847909,1.139039167
16.219075,0.1202154,-0.088,0.000533755,105608.1,326.4641,1.057596748,1.139319753
16.219075,0.1202337,-0.088,0.000795404,106501.5,326.5182,1.06654357,1.139508555
16.219075,0.120258,-0.088,0.001143273,107362.1,326.5857,1.075161922,1.139744122
16.219075,0.1202903,-0.088,0.001606174,108260.1,326.6406,1.084154811,1.139935716
16.219075,0.1203334,-0.088,0.002223269,109273.6,326.7086,1.094304357,1.140173028
16.219075,0.1203906,-0.088,0.003043536,110419.1,326.7652,1.105775798,1.140370555
16.219075,0.1204668,-0.088,0.004134523,111787,326.8366,1.119474431,1.140619732
16.219075,0.1205682,-0.088,0.005587144,113422.3,326.8866,1.135850902,1.140794226
16.219075,0.1207031,-0.088,0.007518885,115451.6,326.9334,1.156173027,1.140957553
16.219075,0.1208827,-0.088,0.0100912,117879.8,326.901,1.180489878,1.140844481
16.219075,0.1211216,-0.088,0.01351237,120766.5,326.7994,1.20939831,1.140489909
16.219075,0.1214394,-0.088,0.01806477,123971.4,326.4896,1.241493308,1.139408745
16.219075,0.1218625,-0.088,0.02412442,127536.2,325.9456,1.277192472,1.137510252
16.219075,0.1224254,-0.088,0.0321858,130532.9,324.8657,1.307202483,1.133741533
16.219075,0.1231745,-0.088,0.04291416,133234.7,323.372,1.33425926,1.128528702
16.219075,0.1241712,-0.088,0.05718886,134765.3,321.6609,1.349587228,1.122557173
16.219075,0.1254974,-0.088,0.07618401,134835.4,320.1978,1.350289235,1.117451133
16.219075,0.1272622,-0.088,0.101459,133336.5,319.5903,1.335278721,1.115331032
16.219075,0.1296106,-0.088,0.1350932,130968.2,319.4551,1.31156173,1.114859201
16.219075,0.1322921,-0.088,0.1734984,129170.5,319.3164,1.293558929,1.114375155
16.219075,0.1349736,-0.088,0.2119034,129117.1,319.1846,1.293024162,1.113915189
16.219075,0.1376551,-0.088,0.2503082,130052.9,318.9843,1.302395593,1.113216167
16.219075,0.1403367,-0.088,0.2887136,131319.9,318.7069,1.315083778,1.112248074
16.219075,0.1430182,-0.088,0.3271194,132737.1,318.4198,1.329276119,1.111246131
16.219075,0.1456998,-0.088,0.3655248,133888.3,318.1028,1.340804641,1.110139839
16.219075,0.1483813,-0.088,0.4039307,134501.5,317.7508,1.346945442,1.108911402
16.219075,0.1510628,-0.088,0.4423356,134436.3,317.282,1.346292506,1.107275348
16.219075,0.1537444,-0.088,0.4807411,133756,316.7535,1.339479742,1.105430948
16.219075,0.1564259,-0.088,0.519146,132668.6,316.2423,1.328590135,1.103646922
16.219075,0.1591074,-0.088,0.5575508,131335,315.8007,1.315234995,1.102105792
16.219075,0.1617889,-0.088,0.5959562,129957.4,315.4762,1.301439223,1.100973327
16.219075,0.1644705,-0.088,0.6343616,128687.6,315.2931,1.288722998,1.10033433
16.219075,0.167152,-0.088,0.6727668,127595.4,315.2468,1.277785322,1.100172749
16.219075,0.1698335,-0.088,0.7111722,126701.4,315.3214,1.268832491,1.100433094
16.219075,0.172515,-0.088,0.7495775,125994.3,315.4833,1.261751342,1.100998105
16.219075,0.1751966,-0.088,0.7879833,125266.8,315.6856,1.254465901,1.101704107
16.219075,0.1778781,-0.088,0.8263882,124334.3,316.0263,1.245127517,1.102893109
16.219075,0.1805597,-0.088,0.8647935,123170.3,316.5913,1.23347081,1.104864889
16.219075,0.1829079,-0.088,0.8984252,121326,317.4682,1.21500134,1.107925163
16.219075,0.1846726,-0.088,0.9236999,119268,318.3591,1.194391802,1.111034295
16.219075,0.1859989,-0.088,0.9426959,116637.9,319.0404,1.168053054,1.113411949
16.219075,0.1869955,-0.088,0.9569692,114011.1,319.4606,1.141747352,1.114878395
16.219075,0.1877446,-0.088,0.9676981,111689.8,319.6802,1.118501036,1.115644772
16.219075,0.1883075,-0.088,0.9757595,109748.2,319.7998,1.099057169,1.116062162
16.219075,0.1887305,-0.088,0.9818182,108033.7,319.7497,1.081887561,1.115887319
16.219075,0.1890484,-0.088,9.86E-01,106895.5,319.8226,1.070489225,1.116141731
16.219075,0.1892873,-0.088,0.9897923,105879.1,319.7867,1.060310637,1.116016444
16.219075,0.1894669,-0.088,0.9923642,105077.4,319.7849,1.052282131,1.116010163
16.219075,0.1896018,-0.088,0.9942964,104335.3,319.7296,1.04485048,1.115817172
16.219075,0.1897032,-0.088,0.9957488,103722.2,319.7173,1.03871068,1.115774247
16.219075,0.1897794,-0.088,0.9968402,103147.5,319.6776,1.032955432,1.115635699
16.219075,0.1898367,-0.088,0.9976605,102654.8,319.6647,1.02802136,1.115590679
16.219075,0.1898796,-0.088,0.9982745,102184.8,319.6419,1.023314615,1.11551111
16.219075,0.1899119,-0.088,0.9987381,101755.4,319.6515,1.019014452,1.115544613
16.219075,0.1899363,-0.088,0.9990879,101296.7,319.6728,1.014420868,1.115618947
16.219075,0.1899546,-0.088,0.9993497,100755.9,319.7435,1.009005106,1.115865682
16.219075,0.1899684,-0.088,0.9995465,100083.9,319.8835,1.002275461,1.116354264
16.219075,0.1899786,-0.088,0.9996929,99489.31,320.0941,0.996321027,1.117089233
16.219075,0.1899863,-0.088,0.9998032,99143.84,320.0925,0.992861369,1.117083649
16.219075,0.1899921,-0.088,0.9998863,99039.09,319.9828,0.991812365,1.116700809
16.001235,0.1201777,-0.088,0.000013,128308.5,330.7266,1.28492913,1.154196565
16.001235,0.1201836,-0.088,7.82E-05,128674.8,330.8002,1.288597395,1.15445342
16.001235,0.1201914,-0.088,0.000189621,129675.9,330.9217,1.298622783,1.154877441
16.001235,0.1202016,-0.088,0.000336452,130995.4,331.0135,1.311836748,1.155197812
16.001235,0.1202154,-0.088,0.000533755,132114.9,331.0796,1.323047838,1.155428493
16.001235,0.1202337,-0.088,0.000795404,132977.8,331.1259,1.33168924,1.155590074
16.001235,0.120258,-0.088,0.001143273,133786.9,331.1814,1.339791869,1.155783763
16.001235,0.1202903,-0.088,0.001606174,134593.8,331.2236,1.347872467,1.155931036
16.001235,0.1203334,-0.088,0.002223269,135465,331.2743,1.356596988,1.156107973
16.001235,0.1203906,-0.088,0.003043536,136388.7,331.3072,1.365847264,1.15622279
16.001235,0.1204668,-0.088,0.004134523,137429.2,331.3484,1.376267219,1.156366573
16.001235,0.1205682,-0.088,0.005587144,138568.5,331.3587,1.387676593,1.156402519
16.001235,0.1207031,-0.088,0.007518885,139892.5,331.3675,1.400935623,1.15643323
16.001235,0.1208827,-0.088,0.0100912,141348.7,331.308,1.415518552,1.156225582
16.001235,0.1211216,-0.088,0.01351237,143050.7,331.2264,1.432563014,1.155940807
16.001235,0.1214394,-0.088,0.01806477,144922.7,331.0074,1.45130992,1.155176523
16.001235,0.1218625,-0.088,0.02412442,147202.7,330.6874,1.47414269,1.154059761
16.001235,0.1224254,-0.088,0.0321858,149271.5,329.9423,1.494860424,1.151459451
16.001235,0.1231745,-0.088,0.04291416,151383.5,328.8884,1.516010779,1.147781465
16.001235,0.1241712,-0.088,0.05718886,152535.5,327.4571,1.527547336,1.142786398
16.001235,0.1254974,-0.088,0.07618401,152783.8,326.011,1.530033905,1.137739681
16.001235,0.1272622,-0.088,0.101459,152404.4,325.1869,1.526234452,1.13486367
16.001235,0.1296106,-0.088,0.1350932,151746.7,324.8495,1.519647999,1.133686184
16.001235,0.1322921,-0.088,0.1734984,150968.6,324.6026,1.511855815,1.132824532
16.001235,0.1349736,-0.088,0.2119034,150607.3,324.4527,1.508237623,1.132301399
16.001235,0.1376551,-0.088,0.2503082,150414.6,324.3112,1.506307853,1.131807581
16.001235,0.1403367,-0.088,0.2887136,150323.6,324.1988,1.505396545,1.131415318
16.001235,0.1430182,-0.088,0.3271194,150282.1,324.1077,1.504980949,1.13109739
16.001235,0.1456998,-0.088,0.3655248,150267,324.0382,1.504829732,1.130854843
16.001235,0.1483813,-0.088,0.4039307,150264.6,323.9912,1.504805697,1.130690819
16.001235,0.1510628,-0.088,0.4423356,150257.1,323.9607,1.504730589,1.130584377
16.001235,0.1537444,-0.088,0.4807411,150233.7,323.9522,1.504496253,1.130554713
16.001235,0.1564259,-0.088,0.519146,150179.9,323.9719,1.50395748,1.130623464
16.001235,0.1591074,-0.088,0.5575508,150109.2,324.0373,1.503249464,1.130851702
16.001235,0.1617889,-0.088,0.5959562,150012.8,324.1599,1.502284078,1.131279561
16.001235,0.1644705,-0.088,0.6343616,149869.7,324.3645,1.500851021,1.131993591
16.001235,0.167152,-0.088,0.6727668,149664.4,324.6868,1.498795071,1.13311838
16.001235,0.1698335,-0.088,0.7111722,149414.1,325.1699,1.496288473,1.134804342
16.001235,0.172515,-0.088,0.7495775,149200.2,325.8973,1.494146399,1.137342881
16.001235,0.1751966,-0.088,0.7879833,149011.9,327.1497,1.492260693,1.141713608
16.001235,0.1778781,-0.088,0.8263882,148663.3,329.0467,1.488769682,1.148333913
16.001235,0.1805597,-0.088,0.8647935,148113.2,331.5054,1.483260776,1.156914484
16.001235,0.1829079,-0.088,0.8984252,146941.6,334.2195,1.471527937,1.166386371
16.001235,0.1846726,-0.088,0.9236999,145592.1,335.9188,1.458013541,1.172316726
16.001235,0.1859989,-0.088,0.9426959,143835.9,336.8693,1.4404263,1.175633858
16.001235,0.1869955,-0.088,0.9569692,142110.1,337.3483,1.423143496,1.177305512
16.001235,0.1877446,-0.088,0.9676981,140577.9,337.5682,1.407799474,1.178072936
16.001235,0.1883075,-0.088,0.9757595,139257.2,337.6788,1.394573492,1.178458917
16.001235,0.1887305,-0.088,0.9818182,137995.2,337.6591,1.381935354,1.178390167
16.001235,0.1890484,-0.088,0.9863703,137083.6,337.7122,1.372806252,1.178575479
16.001235,0.1892873,-0.088,0.9897923,136194.6,337.6976,1.363903474,1.178524527
16.001235,0.1894669,-0.088,0.9923642,135425.2,337.7092,1.356198416,1.17856501
16.001235,0.1896018,-0.088,0.9942964,134669.6,337.6697,1.348631556,1.178427159
16.001235,0.1897032,-0.088,0.9957488,134002,337.6472,1.341945961,1.178348637
16.001235,0.1897794,-0.088,0.9968402,133354.8,337.6024,1.335464659,1.17819229
16.001235,0.1898367,-0.088,0.9976605,132771.1,337.5729,1.32961927,1.178089339
16.001235,0.1898796,-0.088,0.9982745,132201.9,337.5318,1.323919089,1.177945905
16.001235,0.1899119,-0.088,0.9987381,131666.7,337.5041,1.318559396,1.177849235
16.001235,0.1899363,-0.088,0.9990879,131102.6,337.4717,1.312910289,1.177736163
16.001235,0.1899546,-0.088,0.9993497,130459.3,337.4297,1.306468043,1.177589588
16.001235,0.1899684,-0.088,0.9995465,129631.7,337.3898,1.298180148,1.177450342
16.001235,0.1899786,-0.088,0.9996929,128800.9,337.3056,1.289860207,1.177156494
16.001235,0.1899863,-0.088,0.9998032,128267.7,337.2153,1.284520544,1.176841357
16.001235,0.1899921,-0.088,0.9998863,128091.6,337.1966,1.282757013,1.176776097
