Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21,,,,,,,,,,,,,,,,,,,,,,,,vn
15.952,0.11391,-0.165526,0.00003,87.262,-0.104621568,167215.262,1.65955,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11392,-0.165526709,0.00011,83.457,-0.313777492,161019.567,1.59806,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11393,-0.165527419,0.00022,79.265,-0.494344028,155351.851,1.54181,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11394,-0.165528128,0.00037,76.24,-0.577269651,151698.315,1.50555,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11395,-0.165528838,0.00059,73.914,-0.647663112,149074.54,1.47951,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11398,-0.165530966,0.0009,71.761,-0.651790172,147348.531,1.46238,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11401,-0.165533094,0.00133,69.551,-0.648025498,146541.449,1.45437,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11406,-0.165536641,0.00194,67.194,-0.558130705,146585.783,1.45481,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11412,-0.165540898,0.00279,64.673,-0.424563938,147244.749,1.46135,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11422,-0.165547992,0.00399,61.944,-0.074569825,148496.181,1.47377,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11435,-0.165557214,0.00569,58.907,0.366320363,150162.741,1.49031,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11453,-0.165569984,0.00807,56.023,0.603731945,151882.704,1.50738,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11479,-0.165588429,0.01143,53.191,1.248757506,153502.916,1.52346,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11515,-0.165613968,0.01616,50.222,1.918518374,154792.636,1.53626,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11566,-0.165650148,0.02282,47.372,2.452889578,155546.316,1.54374,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11637,-0.165700517,0.0322,44.643,3.291040961,155887.891,1.54713,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.11738,-0.165772169,0.04542,42.293,3.992912449,155757.911,1.54584,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1188,-0.165872906,0.06403,40.765,4.561240802,155497.952,1.54326,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1208,-0.16601479,0.09026,39.904,5.007679599,155060.656,1.53892,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.12361,-0.166214137,0.12723,39.459,5.339325505,154848.054,1.53681,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1269,-0.166447536,0.17046,39.056,5.395328262,154735.203,1.53569,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.13019,-0.166680935,0.2137,38.603,5.365325301,154294.884,1.53132,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.13348,-0.166914334,0.25695,38.062,5.218567227,154016.788,1.52856,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.13676,-0.167147023,0.30019,37.449,5.077673725,153596.622,1.52439,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.14005,-0.167380422,0.34344,36.792,4.848582855,153245.979,1.52091,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.14334,-0.167613821,0.38669,36.151,4.613361003,152884.253,1.51732,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.14662,-0.167846511,0.42994,35.515,4.360938706,152561.823,1.51412,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.14991,-0.16807991,0.47319,34.93,4.092010041,152267.605,1.5112,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.1532,-0.168313309,0.51644,34.413,3.835430867,152012.684,1.50867,,,,,,,,,,,,,,,,,,,,,,,,
15.952,0.15649,-0.168546708,0.5597,33.954,3.592689444,151750.71,1.50607,,,,,,,,,,,,,,,,,,,,,,,,
