Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20022.371,16.203,100759.4,100759.4,286.54,286.54,129403.58,128160,317.43,317.2,1.284282955,1.271940881,1.107803448,1.107000768,0.692546201
20022.371,15.913,100759.4,100759.4,286.54,286.54,149050.1,147552,326.21,326.03,1.479267443,1.464399351,1.138444894,1.13781671,0.858967779
20022.371,15.763,100759.4,100759.4,286.54,286.54,150157.15,148980,327.17,326.94,1.490254507,1.478571726,1.141795212,1.140992532,0.856322848
20022.371,15.215,100759.4,100759.4,286.54,286.54,154588.35,153400,330.61,330.38,1.534232538,1.522438601,1.153800517,1.152997836,0.850251973
20022.371,15.099,100759.4,100759.4,286.54,286.54,155293.31,154050,331.22,330.95,1.541229007,1.528889612,1.155929364,1.154987087,0.848823871
20022.371,14.963,100759.4,100759.4,286.54,286.54,155897.56,154690,331.86,331.53,1.547225966,1.535241377,1.158162909,1.157011238,0.845881939
20022.371,14.791,100759.4,100759.4,286.54,286.54,156501.82,155320,332.63,332.1,1.553223024,1.541493895,1.160850143,1.159000489,0.843178219
20022.371,14.687,100759.4,100759.4,286.54,286.54,156904.65,155640,333.08,332.67,1.557220964,1.544669778,1.162420604,1.16098974,0.837935364
20022.371,14.54,100759.4,100759.4,286.54,286.54,157106.07,155890,333.61,333.25,1.559219983,1.547150936,1.164270259,1.16301389,0.83008299
20022.371,14.363,100759.4,100759.4,286.54,286.54,157307.49,156110,334.19,333.82,1.561219003,1.549334355,1.166294409,1.165003141,0.82259487
20022.371,14.22,100759.4,100759.4,286.54,286.54,157408.2,156200,334.61,334.39,1.562218513,1.550227572,1.167760173,1.166992392,0.814039689
20022.371,14.131,100759.4,100759.4,286.54,286.54,157408.2,156280,334.83,334.68,1.562218513,1.551021542,1.168527954,1.168004467,0.809135836
