Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.913,0.11391,-0.165526,0.00003,89.601013,-0.132097641,165329.6405,1.640835897
15.913,0.11392,-0.165526709,0.00011,85.418427,-0.293589494,158444.0174,1.572498619
15.913,0.11393,-0.165527419,0.00022,80.825607,-0.43820534,152417.6261,1.512688901
15.913,0.11394,-0.165528128,0.00037,77.628014,-0.49346592,148873.6482,1.477516224
15.913,0.11395,-0.165528838,0.00059,75.073555,-0.516842863,146650.8177,1.455455448
15.913,0.11398,-0.165530966,0.0009,72.618484,-0.496589902,145459.1121,1.443628208
15.913,0.11401,-0.165533094,0.00133,70.125542,-0.430665438,145182.6622,1.440884545
15.913,0.11406,-0.165536641,0.00194,67.48941,-0.293949023,145654.258,1.44556496
15.913,0.11412,-0.165540898,0.00279,64.682533,-0.068881078,146701.145,1.455954928
15.913,0.11422,-0.165547992,0.00399,61.726257,0.265908084,148193.0197,1.470761236
15.913,0.11435,-0.165557214,0.00569,58.73238,0.689782804,149928.3807,1.487984056
15.913,0.11453,-0.165569984,0.00807,55.751827,1.227254646,151716.0456,1.505725973
15.913,0.11479,-0.165588429,0.01143,52.780468,1.837469436,153312.6597,1.521571781
15.913,0.11515,-0.165613968,0.01616,49.810387,2.425484686,154533.2236,1.533685429
15.913,0.11566,-0.165650148,0.02282,46.827435,3.071985922,155279.2218,1.541089187
15.913,0.11637,-0.165700517,0.0322,43.905281,3.784372651,155600.7787,1.544280521
15.913,0.11738,-0.165772169,0.04542,41.526562,4.320217918,155490.7785,1.543188809
15.913,0.1188,-0.165872906,0.06403,40.022614,4.776143327,155162.4911,1.539930677
15.913,0.1208,-0.16601479,0.09026,39.204384,5.056587849,154650.1875,1.534846253
15.913,0.12361,-0.166214137,0.12723,38.785957,5.25701141,154403.2953,1.532395938
15.913,0.1269,-0.166447536,0.17046,38.427181,5.232323589,154229.7197,1.530673264
15.913,0.13019,-0.166680935,0.2137,37.974819,5.161407941,153677.6814,1.525194487
15.913,0.13348,-0.166914334,0.25695,37.390469,5.000898107,153251.4561,1.520964358
15.913,0.13676,-0.167147023,0.30019,36.744202,4.843431141,152688.7443,1.51537965
15.913,0.14005,-0.167380422,0.34344,36.077908,4.621443904,152191.0067,1.510439787
15.913,0.14334,-0.167613821,0.38669,35.487633,4.405107399,151728.9087,1.505853634
15.913,0.14662,-0.167846511,0.42994,35.010048,4.172795384,151422.82,1.502815817
15.913,0.14991,-0.16807991,0.47319,34.633873,3.94081745,151253.5726,1.501136098
15.913,0.1532,-0.168313309,0.51644,34.330734,3.704314506,151166.6327,1.500273252
15.913,0.15649,-0.168546708,0.5597,34.059174,3.475580287,151101.7395,1.499629211
15.913,0.15977,-0.168779397,0.60296,33.774847,3.241858551,151014.009,1.498758518
