Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.203,0.12017,-0.088,0.000034304,99931.158,322.813,0.99178,1.12659
16.203,0.12017,-0.088,0.000112874,98766.379,322.57,0.98022,1.12574
16.203,0.12018,-0.088,0.000214386,98960.845,322.484,0.98215,1.12544
16.203,0.12019,-0.088,0.000345539,99656.085,322.429,0.98905,1.12525
16.203,0.1202,-0.088,0.00051506,100422.864,322.461,0.99666,1.12536
16.203,0.12022,-0.088,0.000734293,101353.88,322.512,1.0059,1.12554
16.203,0.12024,-0.088,0.001017584,102417.9,322.578,1.01646,1.12577
16.203,0.12026,-0.088,0.001383882,103610.891,322.65,1.0283,1.12602
16.203,0.1203,-0.088,0.001857185,104893.558,322.724,1.04103,1.12628
16.203,0.12034,-0.088,0.002469147,106276.985,322.805,1.05476,1.12656
16.203,0.1204,-0.088,0.003260062,107770.239,322.876,1.06958,1.12681
16.203,0.12047,-0.088,0.004282556,109404.557,322.945,1.0858,1.12705
16.203,0.12057,-0.088,0.005604317,111209.157,322.996,1.10371,1.12723
16.203,0.12069,-0.088,0.007312678,113241.474,323.031,1.12388,1.12735
16.203,0.12085,-0.088,0.009521099,115550.88,323.019,1.1468,1.12731
16.203,0.12105,-0.088,0.012375752,118211.936,322.959,1.17321,1.1271
16.203,0.12131,-0.088,0.016065799,121259.908,322.805,1.20346,1.12656
16.203,0.12165,-0.088,0.020835714,124652.477,322.547,1.23713,1.12566
16.203,0.12208,-0.088,0.027001638,128095.425,322.157,1.2713,1.1243
16.203,0.12264,-0.088,0.034971972,131211.913,321.635,1.30223,1.12248
16.203,0.12337,-0.088,0.045275202,133655.329,320.985,1.32648,1.12021
16.203,0.1243,-0.088,0.058594522,135194.933,320.297,1.34176,1.11781
16.203,0.12551,-0.088,0.075812354,135631.221,319.673,1.34609,1.11563
16.203,0.12706,-0.088,0.098070335,134909.783,319.243,1.33893,1.11413
16.203,0.12907,-0.088,0.12684372,132926.838,318.87,1.31925,1.11283
16.203,0.13133,-0.088,0.15929121,130553.955,318.561,1.2957,1.11175
16.203,0.13359,-0.088,0.19173923,128459.167,318.16,1.27491,1.11035
16.203,0.13586,-0.088,0.22418749,127512.028,317.802,1.26551,1.1091
16.203,0.13812,-0.088,0.25663584,127956.377,317.541,1.26992,1.10819
16.203,0.14038,-0.088,0.28908421,129706.568,317.449,1.28729,1.10787
16.203,0.14264,-0.088,0.32153255,131872.895,317.343,1.30879,1.1075
16.203,0.1449,-0.088,0.35398113,133639.207,317.108,1.32632,1.10668
16.203,0.14717,-0.088,0.38642971,134544.027,316.695,1.3353,1.10524
16.203,0.14943,-0.088,0.41887848,134493.647,316.214,1.3348,1.10356
16.203,0.15169,-0.088,0.4513271,133906.22,315.727,1.32897,1.10186
16.203,0.15395,-0.088,0.48377556,133127.35,315.303,1.32124,1.10038
16.203,0.15621,-0.088,0.51622391,132313.214,314.953,1.31316,1.09916
16.203,0.15847,-0.088,0.54867218,131666.338,314.707,1.30674,1.0983
16.203,0.16074,-0.088,0.58111988,131101.078,314.526,1.30113,1.09767
16.203,0.163,-0.088,0.61356754,130625.494,314.349,1.29641,1.09705
16.203,0.16526,-0.088,0.64601494,130333.291,314.228,1.29351,1.09663
16.203,0.16752,-0.088,0.67846245,130141.849,314.188,1.29161,1.09649
16.203,0.16978,-0.088,0.71091019,130015.899,314.357,1.29036,1.09708
16.203,0.17205,-0.088,0.74335754,130076.355,314.71,1.29096,1.09831
16.203,0.17431,-0.088,0.7758049,130249.661,315.188,1.29268,1.09998
16.203,0.17657,-0.088,0.80825218,130042.097,315.933,1.29062,1.10258
16.203,0.17883,-0.088,0.84069954,129348.872,316.922,1.28374,1.10603
16.203,0.18109,-0.088,0.87314697,128302.99,318.094,1.27336,1.11012
16.203,0.1831,-0.088,0.90192078,126787.568,319.277,1.25832,1.11425
16.203,0.18466,-0.088,0.92417969,124829.813,320.257,1.23889,1.11767
16.203,0.18586,-0.088,0.941399,122644.342,320.959,1.2172,1.12012
16.203,0.1868,-0.088,0.95471939,120371.21,321.392,1.19464,1.12163
16.203,0.18752,-0.088,0.96502388,118142.412,321.644,1.17252,1.12251
16.203,0.18808,-0.088,0.97299538,116046.616,321.784,1.15172,1.123
16.203,0.18852,-0.088,0.97916199,114100.952,321.853,1.13241,1.12324
16.203,0.18885,-0.088,0.98393265,112351.769,321.873,1.11505,1.12331
16.203,0.18912,-0.088,0.98762299,110813.173,321.865,1.09978,1.12328
16.203,0.18932,-0.088,0.99047806,109480.126,321.836,1.08655,1.12318
16.203,0.18948,-0.088,0.99268654,108326.431,321.796,1.0751,1.12304
16.203,0.1896,-0.088,0.99439514,107324.883,321.75,1.06516,1.12288
16.203,0.18969,-0.088,0.99571693,106448.276,321.701,1.05646,1.12271
16.203,0.18977,-0.088,0.9967395,105673.436,321.65,1.04877,1.12253
16.203,0.18982,-0.088,0.99753067,104961.067,321.598,1.0417,1.12235
16.203,0.18987,-0.088,0.99814262,104232.577,321.544,1.03447,1.12216
16.203,0.1899,-0.088,0.99861595,103527.261,321.486,1.02747,1.12196
16.203,0.18993,-0.088,0.99898239,102838.066,321.426,1.02063,1.12175
16.203,0.18995,-0.088,0.99926567,102169.024,321.355,1.01399,1.1215
16.203,0.18996,-0.088,0.99948479,101525.171,321.274,1.0076,1.12122
16.203,0.18997,-0.088,0.99965462,100825.901,321.165,1.00066,1.12084
16.203,0.18998,-0.088,0.99978584,100203.208,321.037,0.99448,1.12039
16.203,0.18999,-0.088,0.99988731,100223.36,321.008,0.99468,1.12029
16.203,0.19,-0.088,0.99996574,100814.818,321.165,1.00055,1.12084
15.913,0.12017,-0.088,0.000034304,127786.875,330.1745531,1.268237753,1.152280844
15.913,0.12017,-0.088,0.000112874,128444.2266,329.72248,1.274761725,1.150703148
15.913,0.12018,-0.088,0.000214386,129726.1484,329.5037788,1.287484328,1.1499399
15.913,0.12019,-0.088,0.000345539,130986.0625,329.3773663,1.299988512,1.149498731
15.913,0.1202,-0.088,0.00051506,132008.9531,329.3188791,1.310140325,1.149294615
15.913,0.12022,-0.088,0.000734293,132917.0156,329.2966205,1.319152512,1.149216935
15.913,0.12024,-0.088,0.001017584,133777.0625,329.2927778,1.327688161,1.149203524
15.913,0.12026,-0.088,0.001383882,134634.375,329.3017428,1.336196672,1.149234811
15.913,0.1203,-0.088,0.001857185,135505.4688,329.3164731,1.344841958,1.149286219
15.913,0.12034,-0.088,0.002469147,136404.25,329.3244963,1.353762031,1.149314219
15.913,0.1204,-0.088,0.003260062,137342.8906,329.3220727,1.363077694,1.149305761
15.913,0.12047,-0.088,0.004282556,138330.5,329.2937195,1.372879354,1.14920681
15.913,0.12057,-0.088,0.005604317,139378.9375,329.2354229,1.383284711,1.149003361
15.913,0.12069,-0.088,0.007312678,140502.9219,329.1318449,1.394439843,1.148641882
15.913,0.12085,-0.088,0.009521099,141716.3125,328.9728093,1.406482298,1.148086862
15.913,0.12105,-0.088,0.012375752,143041.4688,328.7494352,1.419633987,1.147307305
15.913,0.12131,-0.088,0.016065799,144493.4062,328.4635861,1.434043932,1.146309716
15.913,0.12165,-0.088,0.020835714,146083.1562,328.1218545,1.449821617,1.145117102
15.913,0.12208,-0.088,0.027001638,147794.5781,327.7399984,1.46680685,1.143784457
15.913,0.12264,-0.088,0.034971972,149520.6406,327.3125841,1.483937385,1.142292818
15.913,0.12337,-0.088,0.045275202,150998.125,326.8368918,1.498600875,1.140632693
15.913,0.1243,-0.088,0.058594522,151991.8594,326.3468412,1.508463324,1.138922458
15.913,0.12551,-0.088,0.075812354,152416,325.9265871,1.512672763,1.137455808
15.913,0.12706,-0.088,0.098070335,152395.5312,325.6126503,1.512469618,1.136360195
15.913,0.12907,-0.088,0.12684372,152153.4844,325.3911214,1.510067392,1.135587078
15.913,0.13133,-0.088,0.15929121,151853.75,325.1985461,1.507092639,1.134915007
15.913,0.13359,-0.088,0.19173923,151518.8594,324.9658509,1.503768972,1.134102921
15.913,0.13586,-0.088,0.22418749,151199.8906,324.7371677,1.500603324,1.133304836
15.913,0.13812,-0.088,0.25663584,150883.7031,324.4904306,1.49746528,1.132443745
15.913,0.14038,-0.088,0.28908421,150609.4219,324.2456994,1.49474314,1.131589654
15.913,0.14264,-0.088,0.32153255,150373.7969,324.0180192,1.492404648,1.130795069
15.913,0.1449,-0.088,0.35398113,150171.375,323.8233108,1.490395685,1.130115554
15.913,0.14717,-0.088,0.38642971,149983.375,323.6759974,1.488529854,1.129601443
15.913,0.14943,-0.088,0.41887848,149807.7344,323.5866044,1.486786686,1.129289469
15.913,0.15169,-0.088,0.4513271,149631.8438,323.5686768,1.485041036,1.129226903
15.913,0.15395,-0.088,0.48377556,149464.1875,323.619956,1.483377109,1.129405863
15.913,0.15621,-0.088,0.51622391,149330.9375,323.7248907,1.482054652,1.129772076
15.913,0.15847,-0.088,0.54867218,149253.8594,323.8634305,1.48128968,1.130255568
15.913,0.16074,-0.088,0.58111988,149220.6094,324.0009683,1.480959686,1.130735563
15.913,0.163,-0.088,0.61356754,149181.75,324.156561,1.480574021,1.131278568
15.913,0.16526,-0.088,0.64601494,149129.0938,324.366933,1.480051427,1.132012749
15.913,0.16752,-0.088,0.67846245,148980.8125,324.7510793,1.47857979,1.133353386
15.913,0.16978,-0.088,0.71091019,148777.6562,325.3865791,1.476563538,1.135571226
15.913,0.17205,-0.088,0.74335754,148556.4531,326.3911594,1.474368179,1.139077125
15.913,0.17431,-0.088,0.7758049,148308.6875,327.8944731,1.471909197,1.144323561
15.913,0.17657,-0.088,0.80825218,147916.625,329.2323416,1.46801812,1.148992607
15.913,0.17883,-0.088,0.84069954,147435.1719,330.7991465,1.463239875,1.154460621
15.913,0.18109,-0.088,0.87314697,146739.8281,332.804901,1.456338844,1.161460533
15.913,0.1831,-0.088,0.90192078,145726.75,334.6899835,1.446284416,1.168039309
15.913,0.18466,-0.088,0.92417969,144421.4688,336.2629177,1.43332998,1.173528714
15.913,0.18586,-0.088,0.941399,142988.4844,337.3840481,1.419108137,1.177441363
15.913,0.1868,-0.088,0.95471939,141576.9375,338.0388433,1.405099053,1.179726542
15.913,0.18752,-0.088,0.96502388,140308.7188,338.3440113,1.392512448,1.180791552
15.913,0.18808,-0.088,0.97299538,139209.3281,338.4478262,1.3816014,1.181153857
15.913,0.18852,-0.088,0.97916199,138256.7656,338.4358267,1.372147567,1.18111198
15.913,0.18885,-0.088,0.98393265,137415.375,338.3756483,1.363797075,1.180901962
15.913,0.18912,-0.088,0.98762299,136652.6406,338.2858329,1.356227217,1.180588514
15.913,0.18932,-0.088,0.99047806,135947.0312,338.1914764,1.349224303,1.180259218
15.913,0.18948,-0.088,0.99268654,135282.1094,338.0994809,1.342625198,1.179938162
15.913,0.1896,-0.088,0.99439514,134650.0625,338.0183052,1.336352365,1.179654866
15.913,0.18969,-0.088,0.99571693,134044.3594,337.9473089,1.330340985,1.179407095
15.913,0.18977,-0.088,0.9967395,133464.5781,337.8871328,1.324586868,1.179197085
15.913,0.18982,-0.088,0.99753067,132903.8438,337.8343148,1.319021787,1.179012755
15.913,0.18987,-0.088,0.99814262,132360.7656,337.7861385,1.313631935,1.178844624
15.913,0.1899,-0.088,0.99861595,131826.9219,337.7421409,1.308333733,1.178691076
15.913,0.18993,-0.088,0.99898239,131291.6719,337.6989648,1.303021573,1.178540395
15.913,0.18995,-0.088,0.99926567,130734.3672,337.6517892,1.297490529,1.178375756
