Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,ptr_MA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
13022.03,11.832,100458.131,100458.131,287.641,287.641,109407.74,109600,298.0657476,297.722,1.08908795,1.091001783,1.036242217,1.035047159,0.70427182
13022.03,11.676,100458.131,100458.131,287.641,287.641,110614.45,110830,298.6417201,298.38,1.101100019,1.103245689,1.038244618,1.037334733,0.747270573
13022.03,11.59,100458.131,100458.131,287.641,287.641,111217.8,111430,299.2176926,298.708,1.107106004,1.109218327,1.040247018,1.038475044,0.766677566
13022.03,11.503,100458.131,100458.131,287.641,287.641,111921.71,112080,299.5056788,299.07,1.114113003,1.115688684,1.041248218,1.039733557,0.789142028
13022.03,11.314,100458.131,100458.131,287.641,287.641,113128.41,113330,300.0816513,299.784,1.126124972,1.128131679,1.043250619,1.042215818,0.817710558
13022.03,10.88,100458.131,100458.131,287.641,287.641,115569.5,115890,301.8095686,301.332,1.150424549,1.153614932,1.04925782,1.047597526,0.858232525
13022.03,10.609,100458.131,100458.131,287.641,287.641,116774.39,117170,302.6735273,302.235,1.1624185,1.166356559,1.052261421,1.050736856,0.866011776
13022.03,10.212,100458.131,100458.131,287.641,287.641,118380.92,118730,303.8254722,303.485,1.178410536,1.181885417,1.056266221,1.055082551,0.871821476
13022.03,9.87,100458.131,100458.131,287.641,287.641,119585.81,119910,304.9774172,304.509,1.190404488,1.193631604,1.060271023,1.058642544,0.870678593
13022.03,9.593,100458.131,100458.131,287.641,287.641,120389.07,120770,305.8413758,305.317,1.198400456,1.202192384,1.063274623,1.061451601,0.863624766
13022.03,9.379,100458.131,100458.131,287.641,287.641,120991.52,121380,306.4173483,305.935,1.204397482,1.208264565,1.065277023,1.063600113,0.858081649
13022.03,9.334,100458.131,100458.131,287.641,287.641,121091.93,121500,306.4173483,306.064,1.205397003,1.209459093,1.065277023,1.064048588,0.855976219
13022.03,9.238,100458.131,100458.131,287.641,287.641,121393.15,121740,306.7053345,306.334,1.208395466,1.211848148,1.066278224,1.064987258,0.855138266
13022.03,9.026,100458.131,100458.131,287.641,287.641,121593.97,122010,307.281307,306.802,1.210394508,1.214535835,1.068280624,1.066614287,0.841737135
13022.03,8.896,100458.131,100458.131,287.641,287.641,121607.66,122030,307.281307,307.004,1.210530783,1.214734923,1.068280624,1.067316551,0.833460547
