Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
10.609,0.12017,-0.088,0.000034304,107096.4,306.65,1.06608,1.06608585
10.609,0.12017,-0.088,0.000112874,107303.35,307.24,1.06814,1.068137018
10.609,0.12018,-0.088,0.000214386,107825.73,308.74,1.07334,1.073351852
10.609,0.12019,-0.088,0.000345539,108577.16,310.89,1.08082,1.080826447
10.609,0.1202,-0.088,0.00051506,109244.2,312.8,1.08746,1.087466669
10.609,0.12022,-0.088,0.000734293,109766.58,314.29,1.09266,1.092646737
10.609,0.12024,-0.088,0.001017584,110237.73,315.64,1.09735,1.097340087
10.609,0.12026,-0.088,0.001383882,110693.81,316.95,1.10189,1.101894375
10.609,0.1203,-0.088,0.001857185,111149.89,318.25,1.10643,1.106413898
10.609,0.12034,-0.088,0.002469147,111619.03,319.6,1.1111,1.111107248
10.609,0.1204,-0.088,0.003260062,112109.27,321,1.11598,1.115974426
10.609,0.12047,-0.088,0.004282556,112628.63,322.49,1.12115,1.121154495
10.609,0.12057,-0.088,0.005604317,113185.17,324.08,1.12669,1.126682218
10.609,0.12069,-0.088,0.007312678,113789.93,325.81,1.13271,1.13269666
10.609,0.12085,-0.088,0.009521099,114449.94,327.7,1.13928,1.139267351
10.609,0.12105,-0.088,0.012375752,115176.25,329.78,1.14651,1.146498587
10.609,0.12131,-0.088,0.016065799,115967.86,332.05,1.15439,1.154390369
10.609,0.12165,-0.088,0.020835714,116805.68,334.45,1.16273,1.162734103
10.609,0.12208,-0.088,0.027001638,117642.5,336.84,1.17106,1.171043071
10.609,0.12264,-0.088,0.034971972,118398.95,339.01,1.17859,1.178587197
10.609,0.12337,-0.088,0.045275202,118971.56,340.65,1.18429,1.184288749
10.609,0.1243,-0.088,0.058594522,119316.13,341.64,1.18772,1.187730539
10.609,0.12551,-0.088,0.075812354,119442.71,342,1.18898,1.188982099
10.609,0.12706,-0.088,0.098070335,119417.59,341.93,1.18873,1.18873874
10.609,0.12907,-0.088,0.12684372,119305.08,341.61,1.18761,1.187626242
10.609,0.13133,-0.088,0.15929121,119162.43,341.2,1.18619,1.186200855
10.609,0.13359,-0.088,0.19173923,118994.67,340.72,1.18452,1.184532108
10.609,0.13586,-0.088,0.22418749,118828.91,340.24,1.18287,1.182863361
10.609,0.13812,-0.088,0.25663584,118656.12,339.75,1.18115,1.181159849
10.609,0.14038,-0.088,0.28908421,118494.38,339.28,1.17954,1.179525867
10.609,0.14264,-0.088,0.32153255,118342.69,338.85,1.17803,1.178030948
10.609,0.1449,-0.088,0.35398113,118203.06,338.45,1.17664,1.176640326
10.609,0.14717,-0.088,0.38642971,118065.43,338.06,1.17527,1.175284469
10.609,0.14943,-0.088,0.41887848,117929.81,337.67,1.17392,1.173928612
10.609,0.15169,-0.088,0.4513271,117794.19,337.28,1.17257,1.172572756
10.609,0.15395,-0.088,0.48377556,117658.57,336.89,1.17122,1.171216899
10.609,0.15621,-0.088,0.51622391,117549.07,336.58,1.17013,1.170139167
10.609,0.15847,-0.088,0.54867218,117516.93,336.49,1.16981,1.169826277
10.609,0.16074,-0.088,0.58111988,117591.27,336.7,1.17055,1.170556353
10.609,0.163,-0.088,0.61356754,117723.87,337.08,1.17187,1.171877444
10.609,0.16526,-0.088,0.64601494,117850.45,337.44,1.17313,1.173129005
10.609,0.16752,-0.088,0.67846245,117929.81,337.67,1.17392,1.173928612
10.609,0.16978,-0.088,0.71091019,117951.91,337.73,1.17414,1.174137206
10.609,0.17205,-0.088,0.74335754,117965.97,337.77,1.17428,1.174276268
10.609,0.17431,-0.088,0.7758049,118003.14,337.88,1.17465,1.174658689
10.609,0.17657,-0.088,0.80825218,117934.83,337.68,1.17397,1.173963378
10.609,0.17883,-0.088,0.84069954,117765.06,337.2,1.17228,1.172294631
10.609,0.18109,-0.088,0.87314697,117485.78,336.4,1.1695,1.169513386
10.609,0.1831,-0.088,0.90192078,117083.95,335.25,1.1655,1.165515347
10.609,0.18466,-0.088,0.92417969,116564.58,333.76,1.16033,1.160335279
10.609,0.18586,-0.088,0.941399,115948.77,332,1.1542,1.154216541
10.609,0.1868,-0.088,0.95471939,115280.73,330.08,1.14755,1.147541554
10.609,0.18752,-0.088,0.96502388,114612.68,328.17,1.1409,1.140901332
10.609,0.18808,-0.088,0.97299538,113991.85,326.39,1.13472,1.134713062
10.609,0.18852,-0.088,0.97916199,113439.33,324.81,1.12922,1.129220104
10.609,0.18885,-0.088,0.98393265,112963.16,323.45,1.12448,1.124491988
10.609,0.18912,-0.088,0.98762299,112553.29,322.27,1.1204,1.120389652
10.609,0.18932,-0.088,0.99047806,112199.68,321.26,1.11688,1.116878331
10.609,0.18948,-0.088,0.99268654,111887.25,320.37,1.11377,1.113784196
10.609,0.1896,-0.088,0.99439514,111609.99,319.57,1.11101,1.111002952
