Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000.6,16.326,100640,100820,287.59,287.73,129120,131070,317.93,317.96,1.282988871,1.10549741,1.105063775,0.702369922
20000.6,16.157,100640,100820,287.59,287.73,146490,147050,325.23,325.03,1.455584261,1.130880768,1.129635422,0.873394154
20000.2,15.999,100640,100830,287.59,287.74,148880,149390,326.8,326.56,1.479332273,1.136339928,1.134913464,0.877466939
20000.2,15.81,100640,100830,287.59,287.74,150700,151160,328.16,327.88,1.497416534,1.141068883,1.139500938,0.876491544
19999.9,15.551,100640,100840,287.59,287.75,152650,153050,329.7,329.39,1.516792528,1.146423728,1.144708949,0.873487329
19999.5,15.22,100640,100850,287.59,287.76,154510,154860,331.33,331.01,1.535274245,1.152091519,1.15029886,0.86697855
19999.2,14.895,100650,100870,287.59,287.77,155590,155910,332.6,332.27,1.545851962,1.156507528,1.154637384,0.857007865
19998.8,14.779,100650,100870,287.59,287.78,155870,156180,333.02,332.69,1.54863388,1.15796794,1.15605671,0.852942454
19998.5,14.534,100650,100880,287.59,287.79,156200,156510,333.8,333.43,1.551912568,1.160680135,1.158587859,0.843647759
19998.5,14.391,100650,100890,287.59,287.79,156170,156490,334.16,333.75,1.551614506,1.161931917,1.159699781,0.837384186
19998.1,14.3,100650,100900,287.59,287.8,156080,156410,334.36,333.92,1.550720318,1.162627351,1.160250174,0.83334298
19998.1,14.251,100650,100900,287.59,287.8,156010,156350,334.46,334,1.550024839,1.162975069,1.160528145,0.83099498
