Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.999,0.11500 ,-0.16576 ,0.01409 ,55.03 ,3.74 ,154061 ,1.53081 
15.999,0.11648 ,-0.16586 ,0.03355 ,45.14 ,5.23 ,158190 ,1.57184 
15.999,0.11796 ,-0.16596 ,0.05300 ,42.44 ,5.77 ,157915 ,1.56911 
15.999,0.11944 ,-0.16607 ,0.07246 ,41.58 ,6.10 ,157032 ,1.56033 
15.999,0.12092 ,-0.16617 ,0.09191 ,41.37 ,6.34 ,155988 ,1.54996 
15.999,0.12240 ,-0.16628 ,0.11137 ,41.34 ,6.54 ,155000 ,1.54014 
15.999,0.12388 ,-0.16638 ,0.13082 ,41.18 ,6.69 ,154228 ,1.53248 
15.999,0.12536 ,-0.16648 ,0.15028 ,40.91 ,6.79 ,153650 ,1.52673 
15.999,0.12684 ,-0.16659 ,0.16973 ,40.55 ,6.83 ,153226 ,1.52251 
15.999,0.12832 ,-0.16669 ,0.18919 ,40.14 ,6.81 ,152918 ,1.51945 
15.999,0.12980 ,-0.16679 ,0.20864 ,39.70 ,6.75 ,152698 ,1.51727 
15.999,0.13128 ,-0.16690 ,0.22810 ,39.24 ,6.65 ,152541 ,1.51571 
15.999,0.13276 ,-0.16700 ,0.24755 ,38.78 ,6.54 ,152396 ,1.51427 
15.999,0.13424 ,-0.16710 ,0.26701 ,38.32 ,6.42 ,152260 ,1.51291 
15.999,0.13572 ,-0.16721 ,0.28647 ,37.87 ,6.29 ,152128 ,1.51160 
15.999,0.13720 ,-0.16731 ,0.30592 ,37.44 ,6.16 ,151999 ,1.51032 
15.999,0.13868 ,-0.16741 ,0.32538 ,37.02 ,6.02 ,151873 ,1.50907 
15.999,0.14016 ,-0.16752 ,0.34483 ,36.62 ,5.89 ,151750 ,1.50785 
15.999,0.14164 ,-0.16762 ,0.36429 ,36.25 ,5.76 ,151636 ,1.50672 
15.999,0.14312 ,-0.16772 ,0.38374 ,35.88 ,5.62 ,151533 ,1.50570 
15.999,0.14460 ,-0.16783 ,0.40320 ,35.53 ,5.49 ,151442 ,1.50479 
