Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.999,0.121,-0.088,0.013143781,142262,332.11,1.41358,1.15482
15.999,0.12236,-0.088,0.03259486,150273,330.25,1.49318,1.14834
15.999,0.12372,-0.088,0.052045939,153356,328.23,1.52381,1.14133
15.999,0.12508,-0.088,0.071497018,153173,327.37,1.52199,1.13831
15.999,0.12644,-0.088,0.090948097,152586,326.69,1.51616,1.13596
15.999,0.1278,-0.088,0.110399176,151878,326.09,1.50912,1.13386
15.999,0.12916,-0.088,0.129850255,151233,325.59,1.50272,1.13214
15.999,0.13052,-0.088,0.149301334,150713,325.21,1.49754,1.1308
15.999,0.13188,-0.088,0.168752414,150322,324.93,1.49366,1.12983
15.999,0.13324,-0.088,0.188203493,150057,324.73,1.49103,1.12915
15.999,0.1346,-0.088,0.207654572,149892,324.59,1.48939,1.12867
15.999,0.13596,-0.088,0.227105651,149796,324.49,1.48843,1.12832
15.999,0.13732,-0.088,0.24655673,149760,324.42,1.48808,1.12807
15.999,0.13868,-0.088,0.266007809,149738,324.36,1.48786,1.12786
15.999,0.14004,-0.088,0.285458888,149728,324.31,1.48776,1.12768
15.999,0.1414,-0.088,0.304909967,149722,324.27,1.48769,1.12755
15.999,0.14276,-0.088,0.324361046,149718,324.24,1.48766,1.12743
15.999,0.14412,-0.088,0.343812125,149720,324.22,1.48767,1.12735
15.999,0.14548,-0.088,0.363263205,149728,324.2,1.48776,1.12731
15.999,0.14684,-0.088,0.382714284,149739,324.2,1.48787,1.12729
15.999,0.1482,-0.088,0.402165363,149760,324.21,1.48808,1.12732
15.999,0.14956,-0.088,0.421616442,149785,324.22,1.48832,1.12737
15.999,0.15092,-0.088,0.441067521,149815,324.24,1.48862,1.12744
15.999,0.15228,-0.088,0.4605186,149850,324.27,1.48897,1.12755
15.999,0.15364,-0.088,0.479969679,149887,324.31,1.48934,1.12767
15.999,0.155,-0.088,0.499420758,149923,324.35,1.4897,1.12781
15.999,0.15636,-0.088,0.518871837,149954,324.39,1.49,1.12797
15.999,0.15772,-0.088,0.538322917,149978,324.44,1.49024,1.12815
15.999,0.15908,-0.088,0.557773996,149980,324.51,1.49026,1.12838
15.999,0.16044,-0.088,0.577225075,149973,324.59,1.4902,1.12864
15.999,0.1618,-0.088,0.596676154,149947,324.68,1.48993,1.12896
15.999,0.16316,-0.088,0.616127233,149921,324.79,1.48968,1.12936
15.999,0.16452,-0.088,0.635578312,149896,324.92,1.48942,1.1298
15.999,0.16588,-0.088,0.655029391,149892,325.08,1.48939,1.13037
15.999,0.16724,-0.088,0.67448047,149901,325.26,1.48948,1.13099
15.999,0.1686,-0.088,0.693931549,149938,325.47,1.48984,1.1317
15.999,0.16996,-0.088,0.713382628,149977,325.7,1.49024,1.13253
15.999,0.17132,-0.088,0.732833708,150018,325.96,1.49064,1.13342
15.999,0.17268,-0.088,0.752284787,150014,326.28,1.4906,1.13452
15.999,0.17404,-0.088,0.771735866,149980,326.65,1.49026,1.13581
15.999,0.1754,-0.088,0.791186945,149899,327.09,1.48946,1.13736
15.999,0.17676,-0.088,0.810638024,149775,327.7,1.48822,1.13946
15.999,0.17812,-0.088,0.830089103,149669,328.42,1.48717,1.14198
15.999,0.17948,-0.088,0.849540182,149583,329.28,1.48632,1.14498
15.999,0.18084,-0.088,0.868991261,149462,330.27,1.48511,1.14841
15.999,0.1822,-0.088,0.88844234,149243,331.34,1.48294,1.15211
15.999,0.18356,-0.088,0.90789342,148608,332.37,1.47663,1.15572
15.999,0.18492,-0.088,0.927344499,147226,333.22,1.4629,1.15868
15.999,0.18628,-0.088,0.946795578,144894,333.81,1.43972,1.16071
15.999,0.18764,-0.088,0.966246657,140491,334.4,1.39597,1.16277
15.999,0.189,-0.088,0.985697736,136398,334.78,1.35531,1.16409
14.779,0.121,-0.088,0.013143781,152622,334.13,1.51636,1.16183
14.779,0.12236,-0.088,0.03259486,159089,332.85,1.58061,1.15739
14.779,0.12372,-0.088,0.052045939,160191,331.76,1.59156,1.1536
14.779,0.12508,-0.088,0.071497018,159774,331.25,1.58743,1.15181
14.779,0.12644,-0.088,0.090948097,159287,330.72,1.58259,1.14997
14.779,0.1278,-0.088,0.110399176,158689,330.16,1.57664,1.14803
14.779,0.12916,-0.088,0.129850255,158000,329.62,1.5698,1.14616
14.779,0.13052,-0.088,0.149301334,157321,329.15,1.56305,1.14452
14.779,0.13188,-0.088,0.168752414,156716,328.77,1.55704,1.14319
14.779,0.13324,-0.088,0.188203493,156234,328.48,1.55225,1.14219
14.779,0.1346,-0.088,0.207654572,155878,328.27,1.54871,1.14145
14.779,0.13596,-0.088,0.227105651,155618,328.11,1.54613,1.1409
14.779,0.13732,-0.088,0.24655673,155474,328.01,1.5447,1.14055
14.779,0.13868,-0.088,0.266007809,155384,327.93,1.54381,1.14028
14.779,0.14004,-0.088,0.285458888,155339,327.88,1.54336,1.14009
