Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000.6,16.319,100640,100820,287.59,287.73,129100,131050,318.01,318.02,1.282790143,1.105775583,1.105272304,0.700527192
20000.2,16.144,100640,100820,287.59,287.74,146460,147020,325.32,325.11,1.455286169,1.131193713,1.129874192,0.871286868
20000.2,15.979,100640,100830,287.59,287.74,148840,149350,326.9,326.64,1.478934817,1.136687646,1.135191492,0.875027289
20000.2,15.79,100640,100830,287.59,287.74,150650,151120,328.26,327.97,1.496919714,1.1414166,1.139813721,0.873769705
19999.9,15.536,100640,100840,287.59,287.75,152620,153030,329.8,329.48,1.516494436,1.146771445,1.14502172,0.8711673
19999.5,15.221,100640,100850,287.59,287.76,154520,154870,331.41,331.09,1.535373609,1.152369693,1.15057687,0.865516655
19999.2,14.944,100650,100860,287.59,287.77,155690,156020,332.62,332.29,1.546845504,1.156577072,1.154706884,0.857966834
19999.2,14.846,100650,100870,287.59,287.77,156010,156330,333.01,332.68,1.550024839,1.157933169,1.156062133,0.854775467
19998.8,14.784,100650,100870,287.59,287.78,156180,156500,333.25,332.92,1.55171386,1.15876769,1.156855932,0.852698466
19998.8,14.665,100650,100880,287.59,287.78,156470,156790,333.68,333.35,1.554595132,1.160262874,1.158350129,0.848448286
19998.8,14.596,100650,100880,287.59,287.78,156600,156920,333.92,333.58,1.555886736,1.161097396,1.15914935,0.845878966
19998.8,14.57,100650,100880,287.59,287.78,156640,156960,334.01,333.67,1.556284153,1.161410341,1.159462089,0.844739242
19998.8,14.562,100650,100880,287.59,287.78,156650,156970,334.04,333.69,1.556383507,1.161514656,1.159531587,0.844500978
19998.5,14.453,100650,100890,287.59,287.79,156760,157090,334.38,334.02,1.557476403,1.162696895,1.160637965,0.840101421
19998.5,14.374,100650,100890,287.59,287.79,156780,157110,334.6,334.22,1.557675112,1.163461873,1.161332916,0.836739059
19998.1,14.228,100650,100900,287.59,287.8,156670,157020,334.95,334.53,1.556582216,1.164678883,1.162369701,0.829994578
