Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.979,0.115,-0.1657577,0.014091913,55.05,3.7,154072,1.530923092
15.979,0.11648,-0.1658612,0.033547166,45.35,5.21,158090,1.570843601
15.979,0.11796,-0.1659646,0.053002419,42.61,5.77,157785,1.567812003
15.979,0.11944,-0.1660681,0.072457672,41.7,6.11,156899,1.559012321
15.979,0.12092,-0.1661715,0.091912925,41.46,6.35,155859,1.548682432
15.979,0.1224,-0.166275,0.111368178,41.44,6.55,154867,1.538819555
15.979,0.12388,-0.1663784,0.13082343,41.29,6.7,154093,1.531134738
15.979,0.12536,-0.1664819,0.150278683,41.02,6.79,153516,1.525400437
15.979,0.12684,-0.1665853,0.169733936,40.65,6.83,153097,1.521237083
15.979,0.12832,-0.1666887,0.189189189,40.22,6.8,152800,1.518278021
15.979,0.1298,-0.1667922,0.208644442,39.77,6.74,152593,1.516226153
15.979,0.13128,-0.1668956,0.228099695,39.3,6.64,152451,1.514810215
15.979,0.13276,-0.1669991,0.247554948,38.83,6.53,152321,1.513519475
15.979,0.13424,-0.1671025,0.267010201,38.37,6.4,152198,1.512305246
15.979,0.13572,-0.167206,0.286465454,37.91,6.27,152080,1.511123808
15.979,0.1372,-0.1673094,0.305920707,37.47,6.14,151964,1.509980127
15.979,0.13868,-0.1674129,0.32537596,37.05,6,151853,1.508875199
15.979,0.14016,-0.1675163,0.344831213,36.65,5.87,151747,1.507815978
15.979,0.14164,-0.1676198,0.364286465,36.27,5.73,151650,1.506856121
15.979,0.14312,-0.1677232,0.383741718,35.9,5.6,151563,1.505995628
15.979,0.1446,-0.1678266,0.403196971,35.54,5.46,151487,1.505239467
15.979,0.14608,-0.1679301,0.422652224,35.19,5.32,151425,1.50462341
15.979,0.14756,-0.1680335,0.442107477,34.86,5.18,151370,1.504076908
15.979,0.14904,-0.168137,0.46156273,34.54,5.04,151322,1.503597973
15.979,0.15052,-0.1682404,0.481017983,34.24,4.9,151277,1.503152822
15.979,0.152,-0.1683439,0.500473236,33.95,4.76,151236,1.50273748
15.979,0.15348,-0.1684473,0.519928489,33.68,4.62,151194,1.502327107
15.979,0.15496,-0.1685508,0.539383742,33.43,4.48,151155,1.501941574
15.979,0.15644,-0.1686542,0.558838995,33.2,4.34,151119,1.501577901
15.979,0.15792,-0.1687576,0.578294248,32.99,4.2,151085,1.501244038
15.979,0.1594,-0.1688611,0.5977495,32.79,4.07,151055,1.500941971
15.979,0.16088,-0.1689645,0.617204753,32.64,3.94,151031,1.500702504
15.979,0.16236,-0.169068,0.636660006,32.5,3.82,151011,1.500503776
15.979,0.16384,-0.1691714,0.656115259,32.38,3.7,150997,1.500363672
15.979,0.16532,-0.1692749,0.675570512,32.31,3.59,150986,1.500262321
15.979,0.1668,-0.1693783,0.695025765,32.26,3.49,150979,1.500186804
15.979,0.16828,-0.1694818,0.714481018,32.26,3.4,150970,1.500100358
15.979,0.16976,-0.1695852,0.733936271,32.3,3.32,150965,1.500048688
15.979,0.17124,-0.1696887,0.753391524,32.37,3.23,150964,1.500040739
15.979,0.17272,-0.1697921,0.772846777,32.55,3.15,150982,1.500221582
