Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.979,0.121,-0.088,0.013143781,142228,332.2,1.41323,1.15512
15.979,0.12236,-0.088,0.03259486,150223,330.33,1.49267,1.14863
15.979,0.12372,-0.088,0.052045939,153198,328.29,1.52223,1.14153
15.979,0.12508,-0.088,0.071497018,153001,327.39,1.52028,1.1384
15.979,0.12644,-0.088,0.090948097,152422,326.7,1.51452,1.13598
15.979,0.1278,-0.088,0.110399176,151722,326.09,1.50757,1.13386
15.979,0.12916,-0.088,0.129850255,151084,325.58,1.50123,1.13211
15.979,0.13052,-0.088,0.149301334,150568,325.19,1.49611,1.13075
15.979,0.13188,-0.088,0.168752414,150186,324.91,1.49231,1.12978
15.979,0.13324,-0.088,0.188203493,149933,324.72,1.48979,1.12911
15.979,0.1346,-0.088,0.207654572,149781,324.59,1.48829,1.12865
15.979,0.13596,-0.088,0.227105651,149701,324.5,1.48749,1.12834
15.979,0.13732,-0.088,0.24655673,149683,324.44,1.48731,1.12813
15.979,0.13868,-0.088,0.266007809,149679,324.39,1.48728,1.12796
15.979,0.14004,-0.088,0.285458888,149687,324.35,1.48735,1.12782
15.979,0.1414,-0.088,0.304909967,149700,324.32,1.48748,1.12772
15.979,0.14276,-0.088,0.324361046,149714,324.3,1.48762,1.12764
15.979,0.14412,-0.088,0.343812125,149734,324.28,1.48781,1.12759
15.979,0.14548,-0.088,0.363263205,149758,324.28,1.48805,1.12757
15.979,0.14684,-0.088,0.382714284,149785,324.28,1.48832,1.12757
15.979,0.1482,-0.088,0.402165363,149818,324.29,1.48865,1.1276
15.979,0.14956,-0.088,0.421616442,149851,324.3,1.48898,1.12765
15.979,0.15092,-0.088,0.441067521,149886,324.32,1.48933,1.12773
15.979,0.15228,-0.088,0.4605186,149921,324.35,1.48968,1.12782
15.979,0.15364,-0.088,0.479969679,149956,324.38,1.49002,1.12792
15.979,0.155,-0.088,0.499420758,149986,324.42,1.49032,1.12805
15.979,0.15636,-0.088,0.518871837,150009,324.46,1.49055,1.1282
15.979,0.15772,-0.088,0.538322917,150026,324.51,1.49071,1.12837
15.979,0.15908,-0.088,0.557773996,150021,324.57,1.49067,1.1286
15.979,0.16044,-0.088,0.577225075,150008,324.65,1.49054,1.12885
15.979,0.1618,-0.088,0.596676154,149978,324.74,1.49024,1.12918
15.979,0.16316,-0.088,0.616127233,149949,324.86,1.48995,1.12958
15.979,0.16452,-0.088,0.635578312,149921,324.99,1.48968,1.13005
15.979,0.16588,-0.088,0.655029391,149916,325.16,1.48962,1.13064
15.979,0.16724,-0.088,0.67448047,149923,325.35,1.48969,1.13129
15.979,0.1686,-0.088,0.693931549,149956,325.56,1.49003,1.13203
15.979,0.16996,-0.088,0.713382628,149992,325.81,1.49038,1.13289
15.979,0.17132,-0.088,0.732833708,150028,326.08,1.49074,1.13382
15.979,0.17268,-0.088,0.752284787,150016,326.4,1.49062,1.13495
15.979,0.17404,-0.088,0.771735866,149972,326.77,1.49019,1.13625
15.979,0.1754,-0.088,0.791186945,149878,327.22,1.48925,1.13778
15.979,0.17676,-0.088,0.810638024,149731,327.79,1.48779,1.1398
15.979,0.17812,-0.088,0.830089103,149592,328.48,1.48641,1.14217
15.979,0.17948,-0.088,0.849540182,149456,329.29,1.48505,1.145
15.979,0.18084,-0.088,0.868991261,149271,330.24,1.48321,1.14831
15.979,0.1822,-0.088,0.88844234,149000,331.32,1.48052,1.15205
15.979,0.18356,-0.088,0.90789342,148364,332.45,1.4742,1.156
15.979,0.18492,-0.088,0.927344499,147028,333.48,1.46093,1.15957
15.979,0.18628,-0.088,0.946795578,144763,334.25,1.43843,1.16226
15.979,0.18764,-0.088,0.966246657,140410,334.92,1.39517,1.16458
15.979,0.189,-0.088,0.985697736,136311,335.3,1.35444,1.16589
14.784,0.121,-0.088,0.013143781,152871 ,334.30 ,1.518836562,1.162405856
14.784,0.12236,-0.088,0.03259486,159282 ,333.02 ,1.582533532,1.157981849
14.784,0.12372,-0.088,0.052045939,160301 ,331.93 ,1.592661699,1.154169477
14.784,0.12508,-0.088,0.071497018,159860 ,331.39 ,1.588277198,1.152316145
14.784,0.12644,-0.088,0.090948097,159360 ,330.86 ,1.583309488,1.150466637
14.784,0.1278,-0.088,0.110399176,158768 ,330.31 ,1.577422752,1.148540978
14.784,0.12916,-0.088,0.129850255,158090 ,329.78 ,1.570691505,1.146698773
14.784,0.13052,-0.088,0.149301334,157417 ,329.31 ,1.564000994,1.145061372
14.784,0.13188,-0.088,0.168752414,156811 ,328.93 ,1.55798311,1.143736222
14.784,0.13324,-0.088,0.188203493,156327 ,328.64 ,1.553177347,1.142738273
14.784,0.1346,-0.088,0.207654572,155972 ,328.43 ,1.549645306,1.14200459
14.784,0.13596,-0.088,0.227105651,155716 ,328.27 ,1.547100845,1.141456588
14.784,0.13732,-0.088,0.24655673,155580 ,328.17 ,1.545755589,1.141106089
14.784,0.13868,-0.088,0.266007809,155501 ,328.10 ,1.544970691,1.140852255
14.784,0.14004,-0.088,0.285458888,155470 ,328.05 ,1.544655738,1.140679787
14.784,0.1414,-0.088,0.304909967,155494 ,328.03 ,1.544894188,1.140609896
14.784,0.14276,-0.088,0.324361046,155530 ,328.02 ,1.545254844,1.140564693
14.784,0.14412,-0.088,0.343812125,155584 ,328.01 ,1.54579533,1.140557043
14.784,0.14548,-0.088,0.363263205,155637 ,328.02 ,1.546314953,1.14057269
14.784,0.14684,-0.088,0.382714284,155687 ,328.03 ,1.546818679,1.140601551
14.784,0.1482,-0.088,0.402165363,155732 ,328.05 ,1.547262792,1.140681178
14.784,0.14956,-0.088,0.421616442,155781 ,328.08 ,1.547748634,1.140794534
14.784,0.15092,-0.088,0.441067521,155837 ,328.13 ,1.548309985,1.140965611
14.784,0.15228,-0.088,0.4605186,155911 ,328.21 ,1.549038251,1.141238917
14.784,0.15364,-0.088,0.479969679,155992 ,328.30 ,1.549846995,1.141567162
14.784,0.155,-0.088,0.499420758,156094 ,328.44 ,1.550854446,1.142057095
14.784,0.15636,-0.088,0.518871837,156198 ,328.61 ,1.551893691,1.14264891
14.784,0.15772,-0.088,0.538322917,156307 ,328.82 ,1.552971684,1.143353385
14.784,0.15908,-0.088,0.557773996,156400 ,329.08 ,1.553900646,1.14425745
14.784,0.16044,-0.088,0.577225075,156488 ,329.36 ,1.554770989,1.145249487
14.784,0.1618,-0.088,0.596676154,156563 ,329.71 ,1.555515152,1.146444939
14.784,0.16316,-0.088,0.616127233,156635 ,330.08 ,1.556232489,1.147761049
14.784,0.16452,-0.088,0.635578312,156705 ,330.49 ,1.556928962,1.149167913
14.784,0.16588,-0.088,0.655029391,156778 ,330.94 ,1.557659215,1.150726034
14.784,0.16724,-0.088,0.67448047,156853 ,331.41 ,1.558403378,1.152381168
14.784,0.1686,-0.088,0.693931549,156931 ,331.95 ,1.559174367,1.154239716
14.784,0.16996,-0.088,0.713382628,156968 ,332.60 ,1.559541977,1.156494663
14.784,0.17132,-0.088,0.732833708,156981 ,333.31 ,1.559676105,1.158963455
14.784,0.17268,-0.088,0.752284787,156860 ,334.17 ,1.55847392,1.161970514
14.784,0.17404,-0.088,0.771735866,156678 ,335.05 ,1.556657725,1.165032512
14.784,0.1754,-0.088,0.791186945,156397 ,335.97 ,1.553864878,1.16821482
14.784,0.17676,-0.088,0.810638024,156128 ,336.74 ,1.551199205,1.170896763
14.784,0.17812,-0.088,0.830089103,155980 ,337.42 ,1.549728763,1.173250808
14.784,0.17948,-0.088,0.849540182,155983 ,338.06 ,1.549754595,1.175486283
14.784,0.18084,-0.088,0.868991261,156147 ,338.75 ,1.551382017,1.177877186
14.784,0.1822,-0.088,0.88844234,156534 ,339.43 ,1.555228018,1.180271567
14.784,0.18356,-0.088,0.90789342,157126 ,340.51 ,1.561108793,1.183994576
14.784,0.18492,-0.088,0.927344499,157806 ,342.62 ,1.567869846,1.191361313
14.784,0.18628,-0.088,0.946795578,157730 ,346.21 ,1.567113761,1.203820369
14.784,0.18764,-0.088,0.966246657,155569 ,350.21 ,1.545642325,1.217753399
14.784,0.189,-0.088,0.985697736,151499 ,353.53 ,1.505208147,1.229295873
