Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
14.87191127,0.11393,-0.16568,0,89.05821,-1.374773,155629.1,1.547004333
14.87191127,0.115196167,-0.165768667,0.016666667,53.74714,2.509465,159951.8,1.58997339
14.87191127,0.116462333,-0.165857333,0.033333333,49.56149,4.429959,160984.1,1.600234791
14.87191127,0.1177285,-0.165946,0.05,47.8822,5.310293,161093,1.601317292
14.87191127,0.118994667,-0.166034667,0.066666667,46.57235,6.005841,161061.4,1.601003178
14.87191127,0.120260833,-0.166123333,0.083333333,45.79222,6.464062,160691.1,1.597322274
14.87191127,0.121527,-0.166212,0.1,45.14449,6.862187,160297.4,1.593408767
14.87191127,0.122793167,-0.166300667,0.116666667,44.86009,7.137503,159823.9,1.588702022
14.87191127,0.124059333,-0.166389333,0.133333333,44.67013,7.366042,159386.6,1.584355116
14.87191127,0.1253255,-0.166478,0.15,44.63812,7.534692,158989.9,1.580411788
14.87191127,0.126591667,-0.166566667,0.166666667,44.6162,7.66856,158649.2,1.577025118
14.87191127,0.127857833,-0.166655333,0.183333333,44.61327,7.748267,158387.5,1.574423734
14.87191127,0.129124,-0.166744,0.2,44.58533,7.80732,158151.8,1.572080799
14.87191127,0.130390167,-0.166832667,0.216666667,44.48754,7.814695,157989.1,1.570463508
14.87191127,0.131656333,-0.166921333,0.233333333,44.38248,7.81149,157829.8,1.568880013
14.87191127,0.1329225,-0.16701,0.25,44.17327,7.755276,157723.8,1.567826338
14.87191127,0.134188667,-0.167098667,0.266666667,43.95758,7.697335,157623.8,1.566832306
14.87191127,0.135454833,-0.167187333,0.283333333,43.7104,7.620318,157540.4,1.566003282
14.87191127,0.136721,-0.167276,0.3,43.42878,7.522519,157473.7,1.565340262
14.87191127,0.137987167,-0.167364667,0.316666667,43.14743,7.426389,157408.4,1.564691159
14.87191127,0.139253333,-0.167453333,0.333333333,42.85631,7.310996,157360.2,1.564212035
14.87191127,0.1405195,-0.167542,0.35,42.56596,7.195197,157315.1,1.563763726
14.87191127,0.141785667,-0.167630667,0.366666667,42.2791,7.08174,157271.2,1.563327346
14.87191127,0.143051833,-0.167719333,0.383333333,42.01085,6.957451,157240.6,1.563023172
14.87191127,0.144318,-0.167808,0.4,41.74229,6.834083,157210.7,1.562725956
14.87191127,0.145584167,-0.167896667,0.416666667,41.47463,6.711164,157182.6,1.562446633
14.87191127,0.146850333,-0.167985333,0.433333333,41.22811,6.583481,157168.2,1.562303492
14.87191127,0.1481165,-0.168074,0.45,40.98137,6.456286,157153.7,1.562159357
14.87191127,0.149382667,-0.168162667,0.466666667,40.73481,6.329899,157139.6,1.562019199
14.87191127,0.150648833,-0.168251333,0.483333333,40.4951,6.195632,157139.9,1.562022181
14.87191127,0.151915,-0.16834,0.5,40.25506,6.059585,157143.5,1.562057966
14.87191127,0.153181167,-0.168428667,0.516666667,40.01415,5.923563,157149.2,1.562114626
14.87191127,0.154447333,-0.168517333,0.533333333,39.77065,5.781163,157165.7,1.562278641
14.87191127,0.1557135,-0.168606,0.55,39.52717,5.631303,157195.1,1.562570887
14.87191127,0.156979667,-0.168694667,0.566666667,39.28479,5.482527,157220.8,1.562826353
14.87191127,0.158245833,-0.168783333,0.583333333,39.04381,5.334546,157245.2,1.563068897
14.87191127,0.159512,-0.168872,0.6,38.86761,5.178675,157297.3,1.563586789
14.87191127,0.160778167,-0.168960667,0.616666667,38.69461,5.024735,157348.8,1.564098715
14.87191127,0.162044333,-0.169049333,0.633333333,38.52465,4.872723,157399.6,1.564603684
14.87191127,0.1633105,-0.169138,0.65,38.4818,4.726151,157453.6,1.565140462
14.87191127,0.164576667,-0.169226667,0.666666667,38.53359,4.582842,157509.8,1.565699108
14.87191127,0.165842833,-0.169315333,0.683333333,38.58535,4.439582,157565.4,1.566251791
14.87191127,0.167109,-0.169404,0.7,38.69411,4.299344,157616,1.566754771
14.87191127,0.168375167,-0.169492667,0.716666667,39.15675,4.183336,157637.5,1.566968488
14.87191127,0.169641333,-0.169581333,0.733333333,39.62065,4.070015,157658.8,1.567180217
