Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.99747585,0.1201,-0.088,0,147668.4,327.8365,1.467879658,1.140094265
15.99747585,0.121263333,-0.088,0.016666667,151393.5,327.215,1.504908558,1.137932917
15.99747585,0.122426667,-0.088,0.033333333,152276.6,326.6205,1.513686906,1.135865466
15.99747585,0.12359,-0.088,0.05,152639.8,326.0524,1.517297251,1.133889824
15.99747585,0.124753333,-0.088,0.066666667,152600.5,325.7258,1.516906594,1.13275403
15.99747585,0.125916667,-0.088,0.083333333,152319.3,325.5092,1.51411136,1.132000775
15.99747585,0.12708,-0.088,0.1,151989.1,325.4155,1.510829047,1.131674921
15.99747585,0.128243333,-0.088,0.116666667,151661.8,325.3904,1.507575562,1.131587632
15.99747585,0.129406667,-0.088,0.133333333,151362.4,325.395,1.504599413,1.131603629
15.99747585,0.13057,-0.088,0.15,151130.3,325.4172,1.502292251,1.131680833
15.99747585,0.131733333,-0.088,0.166666667,150913.5,325.4495,1.500137177,1.13179316
15.99747585,0.132896667,-0.088,0.183333333,150747.8,325.457,1.498490057,1.131819243
15.99747585,0.13406,-0.088,0.2,150606.1,325.4679,1.497081505,1.131857149
15.99747585,0.135223333,-0.088,0.216666667,150474.9,325.4739,1.495777328,1.131878014
15.99747585,0.136386667,-0.088,0.233333333,150364,325.4612,1.49467494,1.131833849
15.99747585,0.13755,-0.088,0.25,150261.4,325.447,1.493655057,1.131784466
15.99747585,0.138713333,-0.088,0.266666667,150163.6,325.4289,1.492682888,1.131721521
15.99747585,0.139876667,-0.088,0.283333333,150071.9,325.4045,1.491771355,1.131636667
15.99747585,0.14104,-0.088,0.3,149983.6,325.3798,1.49089362,1.131550769
15.99747585,0.142203333,-0.088,0.316666667,149893.5,325.3575,1.489997992,1.131473218
15.99747585,0.143366667,-0.088,0.333333333,149803.2,325.3354,1.489100376,1.131396363
15.99747585,0.14453,-0.088,0.35,149713.4,325.3127,1.48820773,1.13131742
15.99747585,0.145693333,-0.088,0.366666667,149625.5,325.2909,1.487333971,1.131241608
15.99747585,0.146856667,-0.088,0.383333333,149536.6,325.2761,1.486450271,1.131190139
15.99747585,0.14802,-0.088,0.4,149448.9,325.2598,1.4855785,1.131133454
15.99747585,0.149183333,-0.088,0.416666667,149366.4,325.2438,1.484758419,1.131077812
15.99747585,0.150346667,-0.088,0.433333333,149286.6,325.2303,1.483965177,1.131030864
15.99747585,0.15151,-0.088,0.45,149211.4,325.2157,1.48321766,1.13098009
15.99747585,0.152673333,-0.088,0.466666667,149140.1,325.2005,1.482508912,1.13092723
15.99747585,0.153836667,-0.088,0.483333333,149071.7,325.1849,1.48182899,1.130872979
15.99747585,0.155,-0.088,0.5,149017.2,325.1654,1.481287239,1.130805165
15.99747585,0.156163333,-0.088,0.516666667,148966.6,325.1463,1.480784256,1.130738743
15.99747585,0.157326667,-0.088,0.533333333,148916.3,325.1284,1.480284255,1.130676493
15.99747585,0.15849,-0.088,0.55,148876.5,325.1103,1.479888628,1.130613548
15.99747585,0.159653333,-0.088,0.566666667,148857.5,325.0977,1.479699761,1.13056973
15.99747585,0.160816667,-0.088,0.583333333,148838.4,325.0869,1.4795099,1.130532171
15.99747585,0.16198,-0.088,0.6,148823.6,325.0908,1.479362782,1.130545734
15.99747585,0.163143333,-0.088,0.616666667,148815.5,325.1133,1.479282265,1.130623981
15.99747585,0.164306667,-0.088,0.633333333,148815,325.16,1.479277295,1.130786386
15.99747585,0.16547,-0.088,0.65,148810.9,325.2336,1.479236539,1.13104234
15.99747585,0.166633333,-0.088,0.666666667,148806.7,325.3068,1.47919479,1.131296902
15.99747585,0.167796667,-0.088,0.683333333,148765.9,325.4832,1.478789222,1.131910356
15.99747585,0.16896,-0.088,0.7,148708.5,325.7018,1.478218645,1.132670566
15.99747585,0.170123333,-0.088,0.716666667,148647.2,325.9335,1.477609299,1.133476334
15.99747585,0.171286667,-0.088,0.733333333,148558,326.2205,1.476722618,1.134474414
15.99747585,0.17245,-0.088,0.75,148374,326.6664,1.474893588,1.136025089
15.99747585,0.173613333,-0.088,0.766666667,148169.4,327.1658,1.472859787,1.137761818
15.99747585,0.174776667,-0.088,0.783333333,147952.3,327.6941,1.470701731,1.13959905
15.99747585,0.17594,-0.088,0.8,147665.4,328.3292,1.467849837,1.141807693
15.99747585,0.177103333,-0.088,0.816666667,147254.7,329.1364,1.463767324,1.144614837
15.99747585,0.178266667,-0.088,0.833333333,146821.4,330.0016,1.459460158,1.147623683
15.99747585,0.17943,-0.088,0.85,146368.2,330.9161,1.454955179,1.150803976
15.99747585,0.180593333,-0.088,0.866666667,145834.8,331.9566,1.449652981,1.154422451
15.99747585,0.181756667,-0.088,0.883333333,145238.6,333.1136,1.443726528,1.158446069
15.99747585,0.18292,-0.088,0.9,144608.1,334.347,1.43745912,1.162735379
15.99747585,0.184083333,-0.088,0.916666667,143919.4,335.6782,1.430613182,1.167364801
15.99747585,0.185246667,-0.088,0.933333333,142898.8,337.5974,1.420468033,1.17403907
15.99747585,0.18641,-0.088,0.95,141686.3,339.8246,1.408415325,1.181784449
15.99747585,0.187573333,-0.088,0.966666667,139984.8,342.9135,1.391501772,1.192526502
15.99747585,0.188736667,-0.088,0.983333333,137368.6,347.0124,1.365495756,1.206780962
15.99747585,0.1899,-0.088,1,128244.5,350.7444,1.274798757,1.21975948
14.87191127,0.1201,-0.088,0,155551.4,331.1059,1.546231969,1.151467634
14.87191127,0.121263333,-0.088,0.016666667,158487.1,330.5493,1.575413791,1.149531979
14.87191127,0.122426667,-0.088,0.033333333,159049.6,330.0549,1.581005226,1.147812633
14.87191127,0.12359,-0.088,0.05,159209.4,329.577,1.58259369,1.146150668
14.87191127,0.124753333,-0.088,0.066666667,159106.4,329.2999,1.581569836,1.145187014
14.87191127,0.125916667,-0.088,0.083333333,158849.5,329.1074,1.579016166,1.144517568
14.87191127,0.12708,-0.088,0.1,158572.5,329.0229,1.576262695,1.144223707
14.87191127,0.128243333,-0.088,0.116666667,158303,329.0008,1.573583777,1.144146851
14.87191127,0.129406667,-0.088,0.133333333,158056.6,329.0091,1.57113448,1.144175715
14.87191127,0.13057,-0.088,0.15,157861.5,329.0411,1.569195122,1.144287
14.87191127,0.131733333,-0.088,0.166666667,157677.3,329.0847,1.567364113,1.144438625
14.87191127,0.132896667,-0.088,0.183333333,157536.4,329.1163,1.565963521,1.144548519
