Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20027.74459,16.35470984,100635.2,100351.2,287.5802,287.3522,136106.1,134694.5,320.3282,320.5718,1.35247011,1.113874321,1.115605866,0.779344219
20027.76202,16.29427854,100635.4,100350.7,287.5804,287.3517,143854,143023.5,324.0765,324.4412,1.429457229,1.126907467,1.129073536,0.832678457
20028.16628,16.09442493,100635.5,100337.4,287.58,287.3401,151618,150927.8,328.4597,328.8086,1.506605522,1.142150706,1.144318527,0.860837342
20029.98923,15.38658354,100635.8,100275.2,287.58,287.2878,156910.3,156422.7,332.4226,332.7969,1.559189672,1.155930871,1.158409442,0.854171001
20030.90613,15.16863863,100635.9,100244,287.5799,287.2615,158104.7,157620.7,333.5529,333.9149,1.571056651,1.159861659,1.162407423,0.848304061
20031.56163,14.9898075,100636,100221.8,287.5798,287.2427,158639.8,158113,334.1948,334.5684,1.576372272,1.162094139,1.164758582,0.842866196
20032.1056,14.90130624,100636.1,100203.3,287.5797,287.2271,158919.6,158329.7,334.6538,335.0605,1.57915102,1.163690622,1.166535122,0.83731684
20032.32529,14.86184303,100636.1,100196,287.5797,287.2208,159001.5,158379.3,334.8229,335.248,1.579964844,1.164278633,1.167213517,0.834922978
20032.55546,14.82244119,100636.1,100188.2,287.5796,287.2142,159081.8,158425.1,334.9921,335.4363,1.580762768,1.164867397,1.167895947,0.832508578
20033.11346,14.7238531,100636.2,100169.2,287.5795,287.1982,159215.6,158466.6,335.3682,335.8656,1.582090739,1.166175614,1.169455797,0.826459222
