Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.09442493,0.11393,-0.16568,0,89.21954,4.326997,150334.8,1.493854554
16.09442493,0.115196167,-0.165768667,0.016666667,49.04391,2.250444,157424.8,1.56430683
16.09442493,0.116462333,-0.165857333,0.033333333,43.51296,3.970476,158442.9,1.574423538
16.09442493,0.1177285,-0.165946,0.05,41.8821,4.940736,157921.4,1.56924147
16.09442493,0.118994667,-0.166034667,0.066666667,41.51784,5.594598,157297.4,1.563040875
16.09442493,0.120260833,-0.166123333,0.083333333,41.59587,6.109041,156539.3,1.555507748
16.09442493,0.121527,-0.166212,0.1,41.7343,6.523013,155800.8,1.548169384
16.09442493,0.122793167,-0.166300667,0.116666667,41.78131,6.857101,155174.8,1.541948915
16.09442493,0.124059333,-0.166389333,0.133333333,41.70127,7.11289,154701.5,1.537245803
16.09442493,0.1253255,-0.166478,0.15,41.52069,7.282726,154384.3,1.534093834
16.09442493,0.126591667,-0.166566667,0.166666667,41.28963,7.377659,154182.2,1.532085596
16.09442493,0.127857833,-0.166655333,0.183333333,41.03133,7.407878,154066.2,1.530932921
16.09442493,0.129124,-0.166744,0.2,40.75707,7.387884,154008.1,1.53035559
16.09442493,0.130390167,-0.166832667,0.216666667,40.4717,7.331708,153981.5,1.53009127
16.09442493,0.131656333,-0.166921333,0.233333333,40.17815,7.25124,153965.4,1.529931287
16.09442493,0.1329225,-0.16701,0.25,39.8793,7.15536,153947.3,1.52975143
16.09442493,0.134188667,-0.167098667,0.266666667,39.57809,7.05004,153921.9,1.529499034
16.09442493,0.135454833,-0.167187333,0.283333333,39.27787,6.939281,153889.2,1.529174099
16.09442493,0.136721,-0.167276,0.3,38.98091,6.826178,153853.6,1.528820347
16.09442493,0.137987167,-0.167364667,0.316666667,38.68809,6.711622,153817.5,1.528461626
16.09442493,0.139253333,-0.167453333,0.333333333,38.39959,6.595784,153782.1,1.528109862
16.09442493,0.1405195,-0.167542,0.35,38.11523,6.478578,153748.2,1.527773003
16.09442493,0.141785667,-0.167630667,0.366666667,37.83583,6.358738,153715.6,1.527449061
16.09442493,0.143051833,-0.167719333,0.383333333,37.55984,6.236264,153683.9,1.527134063
16.09442493,0.144318,-0.167808,0.4,37.28686,6.1114,153653.3,1.526829995
16.09442493,0.145584167,-0.167896667,0.416666667,37.01716,5.983773,153623.9,1.526537852
16.09442493,0.146850333,-0.167985333,0.433333333,36.75304,5.852041,153594.9,1.526249683
16.09442493,0.1481165,-0.168074,0.45,36.48962,5.718024,153566,1.525962508
16.09442493,0.149382667,-0.168162667,0.466666667,36.22613,5.581387,153536.3,1.525667384
16.09442493,0.150648833,-0.168251333,0.483333333,35.96499,5.442869,153506.1,1.525367291
16.09442493,0.151915,-0.16834,0.5,35.70638,5.303489,153477.7,1.525085084
16.09442493,0.153181167,-0.168428667,0.516666667,35.45047,5.163109,153451.1,1.524820764
16.09442493,0.154447333,-0.168517333,0.533333333,35.20263,5.022736,153428.6,1.524597185
16.09442493,0.1557135,-0.168606,0.55,34.96209,4.88295,153409,1.524402423
16.09442493,0.156979667,-0.168694667,0.566666667,34.7294,4.743871,153392.3,1.524236477
16.09442493,0.158245833,-0.168783333,0.583333333,34.52145,4.608173,153377.1,1.524085437
16.09442493,0.159512,-0.168872,0.6,34.33356,4.475364,153360.1,1.523916511
16.09442493,0.160778167,-0.168960667,0.616666667,34.16445,4.344827,153341,1.523726717
16.09442493,0.162044333,-0.169049333,0.633333333,34.04378,4.221824,153309.2,1.523410725
16.09442493,0.1633105,-0.169138,0.65,33.94824,4.102833,153266.8,1.522989402
16.09442493,0.164576667,-0.169226667,0.666666667,33.87527,3.987151,153214.2,1.522466724
16.09442493,0.165842833,-0.169315333,0.683333333,33.83237,3.877402,153146.4,1.521793005
16.09442493,0.167109,-0.169404,0.7,33.79956,3.769855,153083.4,1.521166984
16.09442493,0.168375167,-0.169492667,0.716666667,33.77857,3.663729,153028.4,1.520620457
16.09442493,0.169641333,-0.169581333,0.733333333,33.79744,3.561894,153021.9,1.520555867
16.09442493,0.1709075,-0.16967,0.75,33.90056,3.464531,153075.6,1.521089476
16.09442493,0.172173667,-0.169758667,0.766666667,34.09153,3.372219,153184.6,1.522172593
16.09442493,0.173439833,-0.169847333,0.783333333,34.52803,3.29477,153407.6,1.524388511
16.09442493,0.174706,-0.169936,0.8,35.20047,3.227809,153709.6,1.52738944
16.09442493,0.175972167,-0.170024667,0.816666667,36.05642,3.165551,154062.7,1.530898142
16.09442493,0.177238333,-0.170113333,0.833333333,37.1834,3.097044,154448.1,1.534727805
16.09442493,0.1785045,-0.170202,0.85,38.41458,3.001436,154714.9,1.537378957
16.09442493,0.179770667,-0.170290667,0.866666667,39.70366,2.888069,154835.3,1.538575354
16.09442493,0.181036833,-0.170379333,0.883333333,41.00273,2.742991,154565,1.535889423
16.09442493,0.182303,-0.170468,0.9,42.27171,2.599505,153861.5,1.528898848
16.09442493,0.183569167,-0.170556667,0.916666667,43.60286,2.460953,152771,1.518062711
16.09442493,0.184835333,-0.170645333,0.933333333,45.26086,2.332973,150860.9,1.499082332
16.09442493,0.1861015,-0.170734,0.95,47.60668,2.218764,147944.5,1.470102499
16.09442493,0.187367667,-0.170822667,0.966666667,51.21424,2.037273,144325.3,1.434139046
16.09442493,0.188633833,-0.170911333,0.983333333,57.36501,1.605883,140658.9,1.397706575
16.09442493,0.1899,-0.171,1,66.18505,0.1892908,132825.9,1.319871218
14.82244119,0.11393,-0.16568,0,89.24299,-1.437432,158532.9,1.575308463
14.82244119,0.115196167,-0.165768667,0.016666667,52.7539,2.141897,164541.1,1.635010697
14.82244119,0.116462333,-0.165857333,0.033333333,48.6615,3.886573,164542.8,1.63502759
14.82244119,0.1177285,-0.165946,0.05,47.42614,4.917022,163869.9,1.628341122
14.82244119,0.118994667,-0.166034667,0.066666667,47.13182,5.620601,163398.4,1.623655925
14.82244119,0.120260833,-0.166123333,0.083333333,47.20963,6.178373,162893.4,1.618637845
14.82244119,0.121527,-0.166212,0.1,47.36688,6.638723,162372.7,1.613463757
14.82244119,0.122793167,-0.166300667,0.116666667,47.46652,7.03456,161858.6,1.608355252
14.82244119,0.124059333,-0.166389333,0.133333333,47.46035,7.375399,161370.9,1.603509079
