Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
14.82244119,0.1201,-0.088,0,158392.9,331.5509,1.573917312,1.152901318
14.82244119,0.121263333,-0.088,0.016666667,161505.5,331.5373,1.604846571,1.152854027
14.82244119,0.122426667,-0.088,0.033333333,161904.1,331.2606,1.608807376,1.151891859
14.82244119,0.12359,-0.088,0.05,161703.2,330.9687,1.606811075,1.150876835
14.82244119,0.124753333,-0.088,0.066666667,161282.2,330.72,1.602627685,1.150012031
14.82244119,0.125916667,-0.088,0.083333333,160878,330.5209,1.598611234,1.149319701
14.82244119,0.12708,-0.088,0.1,160538.9,330.3617,1.595241668,1.148766116
14.82244119,0.128243333,-0.088,0.116666667,160258.6,330.2363,1.592456385,1.148330062
14.82244119,0.129406667,-0.088,0.133333333,160035.3,330.1428,1.590237499,1.148004935
14.82244119,0.13057,-0.088,0.15,159869.2,330.0784,1.588586998,1.147780997
14.82244119,0.131733333,-0.088,0.166666667,159756.6,330.0393,1.587468115,1.147645035
14.82244119,0.132896667,-0.088,0.183333333,159689.5,330.019,1.586801357,1.147574445
14.82244119,0.13406,-0.088,0.2,159653.8,330.0081,1.586446613,1.147536543
14.82244119,0.135223333,-0.088,0.216666667,159635.9,330.0001,1.586268745,1.147508725
14.82244119,0.136386667,-0.088,0.233333333,159630.4,329.9934,1.586214092,1.147485427
14.82244119,0.13755,-0.088,0.25,159634.9,329.9875,1.586258808,1.147464911
14.82244119,0.138713333,-0.088,0.266666667,159646.6,329.9814,1.586375068,1.147443699
14.82244119,0.139876667,-0.088,0.283333333,159663.1,329.9744,1.586539025,1.147419358
14.82244119,0.14104,-0.088,0.3,159684.3,329.9676,1.586749685,1.147395712
14.82244119,0.142203333,-0.088,0.316666667,159707.2,329.9603,1.586977238,1.147370328
14.82244119,0.143366667,-0.088,0.333333333,159731.7,329.9528,1.587220689,1.147344248
14.82244119,0.14453,-0.088,0.35,159757.7,329.9462,1.587479046,1.147321298
14.82244119,0.145693333,-0.088,0.366666667,159784.5,329.9405,1.587745352,1.147301478
14.82244119,0.146856667,-0.088,0.383333333,159812.5,329.9407,1.588023582,1.147302173
14.82244119,0.14802,-0.088,0.4,159841.8,329.947,1.58831473,1.14732408
14.82244119,0.149183333,-0.088,0.416666667,159872.4,329.9639,1.588618796,1.147382846
14.82244119,0.150346667,-0.088,0.433333333,159904.9,330,1.588941742,1.147508377
14.82244119,0.15151,-0.088,0.45,159939.7,330.0543,1.589287542,1.147697194
14.82244119,0.152673333,-0.088,0.466666667,159977.7,330.1456,1.58966514,1.148014671
14.82244119,0.153836667,-0.088,0.483333333,160019.6,330.2743,1.590081492,1.1484622
14.82244119,0.155,-0.088,0.5,160065.6,330.4432,1.590538584,1.149049515
14.82244119,0.156163333,-0.088,0.516666667,160117.4,330.6798,1.59105331,1.149872244
14.82244119,0.157326667,-0.088,0.533333333,160173.3,330.9655,1.591608777,1.150865708
14.82244119,0.15849,-0.088,0.55,160234.4,331.3165,1.592215915,1.15208624
14.82244119,0.159653333,-0.088,0.566666667,160299.1,331.7264,1.592858825,1.153511584
14.82244119,0.160816667,-0.088,0.583333333,160364.5,332.175,1.593508691,1.1550715
14.82244119,0.16198,-0.088,0.6,160428.7,332.6636,1.594146633,1.156770508
14.82244119,0.163143333,-0.088,0.616666667,160490.8,333.1505,1.594763708,1.158463605
14.82244119,0.164306667,-0.088,0.633333333,160549.1,333.6262,1.595343023,1.160117755
14.82244119,0.16547,-0.088,0.65,160601.1,334.0402,1.595859736,1.161557357
14.82244119,0.166633333,-0.088,0.666666667,160646.6,334.4176,1.59631186,1.162869689
14.82244119,0.167796667,-0.088,0.683333333,160680.9,334.7212,1.596652692,1.163925397
14.82244119,0.16896,-0.088,0.7,160708.5,334.9916,1.596926948,1.164865658
14.82244119,0.170123333,-0.088,0.716666667,160728.3,335.2483,1.597123696,1.16575828
14.82244119,0.171286667,-0.088,0.733333333,160772.8,335.5494,1.597565883,1.166805295
14.82244119,0.17245,-0.088,0.75,160839.7,335.9437,1.598230655,1.168176394
14.82244119,0.173613333,-0.088,0.766666667,160943.6,336.5028,1.599263088,1.170120551
14.82244119,0.174776667,-0.088,0.783333333,161075.2,337.3973,1.600570769,1.173230994
14.82244119,0.17594,-0.088,0.8,161230.4,338.5303,1.602112959,1.177170773
14.82244119,0.177103333,-0.088,0.816666667,161424.4,340.1076,1.604040697,1.182655515
14.82244119,0.178266667,-0.088,0.833333333,161653.2,341.94,1.606314235,1.189027316
14.82244119,0.17943,-0.088,0.85,161916.5,344.0265,1.608930593,1.196282699
14.82244119,0.180593333,-0.088,0.866666667,162220.3,346.2784,1.61194939,1.204113226
14.82244119,0.181756667,-0.088,0.883333333,162542.1,348.547,1.61514705,1.212001825
14.82244119,0.18292,-0.088,0.9,162860.1,350.765,1.618306949,1.219714472
