Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.99550508,0.11393,-0.16568,0,89.1302,-4.445886,150169.2,1.492333576
15.99550508,0.115196167,-0.165768667,0.016666667,49.80688,2.46857,156445.7,1.55470743
15.99550508,0.116462333,-0.165857333,0.033333333,45.05186,4.156967,157326.4,1.563459545
15.99550508,0.1177285,-0.165946,0.05,43.04058,5.141811,157262.4,1.562823534
15.99550508,0.118994667,-0.166034667,0.066666667,41.92184,5.784532,156994.2,1.560158248
15.99550508,0.120260833,-0.166123333,0.083333333,41.32929,6.250738,156481.5,1.555063199
15.99550508,0.121527,-0.166212,0.1,41.05531,6.612907,155905.6,1.549340088
15.99550508,0.122793167,-0.166300667,0.116666667,40.98793,6.898975,155329.3,1.543613003
15.99550508,0.124059333,-0.166389333,0.133333333,41.06435,7.109416,154808.4,1.538436465
15.99550508,0.1253255,-0.166478,0.15,41.13605,7.237197,154432.5,1.534700891
15.99550508,0.126591667,-0.166566667,0.166666667,41.15077,7.320154,154144.2,1.531835857
15.99550508,0.127857833,-0.166655333,0.183333333,41.09408,7.356079,153936.1,1.529767826
15.99550508,0.129124,-0.166744,0.2,40.90611,7.331181,153828,1.528693563
15.99550508,0.130390167,-0.166832667,0.216666667,40.67354,7.286001,153750.2,1.527920411
15.99550508,0.131656333,-0.166921333,0.233333333,40.38994,7.215925,153703.5,1.527456321
15.99550508,0.1329225,-0.16701,0.25,40.07173,7.12261,153675.3,1.527176079
15.99550508,0.134188667,-0.167098667,0.266666667,39.74824,7.022761,153649.8,1.526922668
15.99550508,0.135454833,-0.167187333,0.283333333,39.42198,6.913241,153625,1.526676213
15.99550508,0.136721,-0.167276,0.3,39.10208,6.798928,153597.2,1.526399946
15.99550508,0.137987167,-0.167364667,0.316666667,38.78567,6.682256,153568.2,1.526111753
15.99550508,0.139253333,-0.167453333,0.333333333,38.47955,6.561527,153535.7,1.525788779
15.99550508,0.1405195,-0.167542,0.35,38.17566,6.439957,153503.6,1.525469779
15.99550508,0.141785667,-0.167630667,0.366666667,37.87701,6.31576,153471.5,1.525150779
15.99550508,0.143051833,-0.167719333,0.383333333,37.5806,6.189445,153440.5,1.524842711
15.99550508,0.144318,-0.167808,0.4,37.28644,6.060953,153410.6,1.524545575
15.99550508,0.145584167,-0.167896667,0.416666667,36.99591,5.929627,153383.2,1.524273282
15.99550508,0.146850333,-0.167985333,0.433333333,36.70705,5.79703,153357.5,1.524017884
15.99550508,0.1481165,-0.168074,0.45,36.42698,5.66152,153335.4,1.523798261
15.99550508,0.149382667,-0.168162667,0.466666667,36.1486,5.525402,153314.8,1.523593545
15.99550508,0.150648833,-0.168251333,0.483333333,35.88947,5.38758,153296.4,1.523410692
15.99550508,0.151915,-0.16834,0.5,35.63155,5.249541,153279,1.523237776
15.99550508,0.153181167,-0.168428667,0.516666667,35.40176,5.110761,153257.7,1.523026103
15.99550508,0.154447333,-0.168517333,0.533333333,35.17565,4.973243,153237.1,1.522821387
15.99550508,0.1557135,-0.168606,0.55,34.99275,4.839737,153206.5,1.522517294
15.99550508,0.156979667,-0.168694667,0.566666667,34.81408,4.705451,153175.4,1.522208232
15.99550508,0.158245833,-0.168783333,0.583333333,34.6839,4.576751,153130.9,1.521766005
15.99550508,0.159512,-0.168872,0.6,34.56,4.448142,153084.9,1.521308872
15.99550508,0.160778167,-0.168960667,0.616666667,34.47079,4.323136,153026.9,1.520732487
15.99550508,0.162044333,-0.169049333,0.633333333,34.38378,4.197638,152970.1,1.520168026
15.99550508,0.1633105,-0.169138,0.65,34.30411,4.071179,152914.4,1.519614497
15.99550508,0.164576667,-0.169226667,0.666666667,34.2207,3.942984,152868.5,1.519158358
15.99550508,0.165842833,-0.169315333,0.683333333,34.12693,3.81063,152847.9,1.518953642
15.99550508,0.167109,-0.169404,0.7,34.04046,3.678851,152851.9,1.518993392
15.99550508,0.168375167,-0.169492667,0.716666667,33.96823,3.548225,152906.1,1.519532015
15.99550508,0.169641333,-0.169581333,0.733333333,33.95083,3.422414,152990,1.520365786
15.99550508,0.1709075,-0.16967,0.75,34.02265,3.303134,153124.4,1.52170141
15.99550508,0.172173667,-0.169758667,0.766666667,34.22545,3.193,153269,1.523138399
15.99550508,0.173439833,-0.169847333,0.783333333,34.60969,3.097364,153426.4,1.52470259
15.99550508,0.174706,-0.169936,0.8,35.19473,3.01323,153544.4,1.525875236
15.99550508,0.175972167,-0.170024667,0.816666667,36.00148,2.941749,153617.9,1.526605656
15.99550508,0.177238333,-0.170113333,0.833333333,37.01168,2.874146,153584.7,1.526275725
15.99550508,0.1785045,-0.170202,0.85,38.20873,2.811214,153454.2,1.524978858
15.99550508,0.179770667,-0.170290667,0.866666667,39.54655,2.739558,153148.9,1.521944884
15.99550508,0.181036833,-0.170379333,0.883333333,40.98944,2.663394,152711.3,1.517596155
15.99550508,0.182303,-0.170468,0.9,42.49526,2.566414,152056.4,1.511087967
15.99550508,0.183569167,-0.170556667,0.916666667,44.04016,2.457376,151269.2,1.503265025
15.99550508,0.184835333,-0.170645333,0.933333333,46.09082,2.309064,149971.4,1.490367903
15.99550508,0.1861015,-0.170734,0.95,48.74991,2.138068,148118,1.471949405
15.99550508,0.187367667,-0.170822667,0.966666667,52.65691,1.926765,145372.4,1.444664509
15.99550508,0.188633833,-0.170911333,0.983333333,58.8513,1.499405,141800,1.409163138
15.99550508,0.1899,-0.171,1,66.64581,0.1615706,132673.8,1.318469875
14.81429,0.11393,-0.16568,0,89.1442,0.1369839,157452.7,1.564705345
14.81429,0.115196167,-0.165768667,0.016666667,53.31015,2.345439,162871.4,1.618554334
14.81429,0.116462333,-0.165857333,0.033333333,49.47428,4.076857,163015.5,1.619986346
14.81429,0.1177285,-0.165946,0.05,47.84013,5.12019,162682.3,1.61667513
14.81429,0.118994667,-0.166034667,0.066666667,46.90762,5.813048,162313.8,1.613013117
14.81429,0.120260833,-0.166123333,0.083333333,46.38654,6.334936,161822.7,1.608132751
14.81429,0.121527,-0.166212,0.1,46.13663,6.759077,161315.9,1.603096364
14.81429,0.122793167,-0.166300667,0.116666667,46.06992,7.115356,160825.2,1.598219973
