Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.99550508,0.1201,-0.088,0,150676.6,328.4622,1.497375955,1.142182435
15.99550508,0.121263333,-0.088,0.016666667,154230.2,328.0747,1.532690498,1.140834957
15.99550508,0.122426667,-0.088,0.033333333,154936.5,327.5117,1.539709482,1.138877201
15.99550508,0.12359,-0.088,0.05,155042.8,327.0943,1.540765857,1.13742575
15.99550508,0.124753333,-0.088,0.066666667,154810.9,326.8222,1.538461309,1.136479559
15.99550508,0.125916667,-0.088,0.083333333,154484,326.6767,1.535212681,1.135973603
15.99550508,0.12708,-0.088,0.1,154192.1,326.6063,1.532311872,1.135728796
15.99550508,0.128243333,-0.088,0.116666667,153946.4,326.5691,1.529870184,1.135599438
15.99550508,0.129406667,-0.088,0.133333333,153761.4,326.5399,1.528031713,1.135497899
15.99550508,0.13057,-0.088,0.15,153621.2,326.5125,1.52663845,1.13540262
15.99550508,0.131733333,-0.088,0.166666667,153516.1,326.4838,1.525594,1.135302819
15.99550508,0.132896667,-0.088,0.183333333,153438,326.4514,1.524817867,1.135190153
15.99550508,0.13406,-0.088,0.2,153374,326.4202,1.524181856,1.135081659
15.99550508,0.135223333,-0.088,0.216666667,153324.6,326.3894,1.523690934,1.134974556
15.99550508,0.136386667,-0.088,0.233333333,153280.1,326.3606,1.523248707,1.134874408
15.99550508,0.13755,-0.088,0.25,153242.1,326.3355,1.522871075,1.134787126
15.99550508,0.138713333,-0.088,0.266666667,153208.4,326.3122,1.522536176,1.134706104
15.99550508,0.139876667,-0.088,0.283333333,153177.9,326.2927,1.522233076,1.134638295
15.99550508,0.14104,-0.088,0.3,153150.1,326.2738,1.521956809,1.134572573
15.99550508,0.142203333,-0.088,0.316666667,153123.1,326.2564,1.521688491,1.134512067
15.99550508,0.143366667,-0.088,0.333333333,153098.1,326.2394,1.521440049,1.134452952
15.99550508,0.14453,-0.088,0.35,153073.7,326.2225,1.52119757,1.134394184
15.99550508,0.145693333,-0.088,0.366666667,153050.8,326.2066,1.520969997,1.134338894
15.99550508,0.146856667,-0.088,0.383333333,153029.6,326.1911,1.520759318,1.134284995
15.99550508,0.14802,-0.088,0.4,153010.3,326.1786,1.520567521,1.134241528
15.99550508,0.149183333,-0.088,0.416666667,152991.9,326.1674,1.520384668,1.134202581
15.99550508,0.150346667,-0.088,0.433333333,152974.2,326.1631,1.520208771,1.134187629
15.99550508,0.15151,-0.088,0.45,152956.6,326.1612,1.520033868,1.134181022
15.99550508,0.152673333,-0.088,0.466666667,152936,326.1713,1.519829151,1.134216143
15.99550508,0.153836667,-0.088,0.483333333,152914.4,326.1857,1.519614497,1.134266217
15.99550508,0.155,-0.088,0.5,152887,326.217,1.519342205,1.134375059
15.99550508,0.156163333,-0.088,0.516666667,152857,326.256,1.519044075,1.134510676
15.99550508,0.157326667,-0.088,0.533333333,152821.4,326.308,1.518690293,1.134691499
15.99550508,0.15849,-0.088,0.55,152781.5,326.3717,1.51829378,1.134913007
15.99550508,0.159653333,-0.088,0.566666667,152739.1,326.44,1.517872422,1.135150511
15.99550508,0.160816667,-0.088,0.583333333,152692.4,326.5159,1.517408332,1.135414443
15.99550508,0.16198,-0.088,0.6,152647.7,326.5904,1.516964118,1.135673506
15.99550508,0.163143333,-0.088,0.616666667,152605.3,326.6597,1.51654276,1.135914487
15.99550508,0.164306667,-0.088,0.633333333,152566.3,326.7299,1.516155191,1.136158598
15.99550508,0.16547,-0.088,0.65,152548.1,326.7921,1.515974325,1.13637489
15.99550508,0.166633333,-0.088,0.666666667,152530.9,326.8584,1.515803397,1.13660544
15.99550508,0.167796667,-0.088,0.683333333,152559.6,326.9632,1.516088608,1.136969867
15.99550508,0.16896,-0.088,0.7,152590.6,327.0719,1.516396676,1.137347857
15.99550508,0.170123333,-0.088,0.716666667,152663.9,327.3034,1.517125108,1.138152866
15.99550508,0.171286667,-0.088,0.733333333,152746.1,327.5565,1.517941986,1.139032987
15.99550508,0.17245,-0.088,0.75,152836.4,327.9977,1.518839358,1.1405672
