Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20030.9898,16.24017905,100505.4,100232.7,287.4728,287.2591,135640.3,134167.1,321.4473,321.9866,1.349582212,1.118183355,1.120892602,0.739757513
20031.199,16.12504733,100505.5,100225.8,287.4727,287.2531,140085.3,138785.6,323.9076,324.5492,1.393807304,1.126742122,1.129837067,0.766453281
20031.51978,15.94983509,100505.6,100215.2,287.4726,287.2439,142836.5,141654.3,325.6838,326.4109,1.421179516,1.13292119,1.136354506,0.774749697
20032.17883,15.63973617,100505.7,100193.7,287.4723,287.225,146191.9,145163.4,328.0718,328.9149,1.454563274,1.141229259,1.145147184,0.77851779
20033.20414,15.23811978,100505.9,100160.5,287.4718,287.1956,149437.5,148554.6,330.6732,331.6543,1.486853011,1.15028048,1.154802859,0.775203076
20034.10753,14.95089417,100506,100131.6,287.4713,287.1697,151360.9,150561.2,332.2336,333.2488,1.505988697,1.1557105,1.160459477,0.773424245
20034.28892,14.90111261,100506,100125.8,287.4711,287.1645,151674,150885.5,332.5145,333.5388,1.509103934,1.156688446,1.161490365,0.772597956
20034.48077,14.84631146,100506,100119.7,287.4711,287.159,151980.6,151202,332.795,333.8283,1.512154498,1.157664197,1.162520764,0.771693839
20034.91335,14.72680249,100506,100105.8,287.4709,287.1466,152605.1,151843.8,333.3851,334.4369,1.518368058,1.159717731,1.16469044,0.769538298
20036.00189,14.47337746,100506.1,100071.1,287.4705,287.1154,153812.8,153065.7,334.6312,335.7243,1.530382733,1.164054051,1.169300915,0.763585869
20037.66993,14.1562413,100506.1,100018.3,287.4701,287.0676,154940.5,154141.1,336.0922,337.2634,1.541602947,1.169137938,1.174857072,0.752815839
20039.15686,13.93920484,100506,99972,287.4697,287.025,155404.3,154471.7,337.1113,338.4006,1.546219131,1.172684634,1.178993467,0.74082203
20039.65956,13.87021952,100506,99956.35,287.4696,287.0106,155461.3,154456.3,337.4264,338.7727,1.546786262,1.173781158,1.180349088,0.735911568
