Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.94983509,0.11393,-0.16568,0,88.76962,-9.652618,143328.5,1.426074766
15.94983509,0.1177285,-0.165946,0.05,42.90334,5.212836,150504.4,1.497472778
15.94983509,0.121527,-0.166212,0.1,38.61537,6.681318,151776,1.510124809
15.94983509,0.1253255,-0.166478,0.15,36.82253,7.00742,150810.3,1.500516389
15.94983509,0.129124,-0.166744,0.2,36.25564,6.856344,149544.4,1.487921071
15.94983509,0.1329225,-0.16701,0.25,35.95637,6.504301,148627.8,1.478801181
15.94983509,0.136721,-0.167276,0.3,35.55766,6.07682,147970.2,1.472258262
15.94983509,0.1405195,-0.167542,0.35,34.99994,5.62285,147440.6,1.466988904
15.94983509,0.144318,-0.167808,0.4,34.34381,5.158884,146973.3,1.462339412
15.94983509,0.1481165,-0.168074,0.45,33.60967,4.682735,146549.2,1.458119747
15.94983509,0.151915,-0.16834,0.5,32.86359,4.18216,146206.5,1.454709986
15.94983509,0.1557135,-0.168606,0.55,32.14373,3.675765,145906.1,1.451721098
15.94983509,0.159512,-0.168872,0.6,31.48592,3.155162,145661.1,1.449283423
15.94983509,0.1633105,-0.169138,0.65,31.0933,2.661322,145375.1,1.44643781
15.94983509,0.167109,-0.169404,0.7,30.91742,2.217633,145048.6,1.443189235
15.94983509,0.1709075,-0.16967,0.75,31.62937,1.910281,144375.1,1.436488116
15.94983509,0.174706,-0.169936,0.8,32.93157,1.67509,143477.3,1.427555281
15.94983509,0.1785045,-0.170202,0.85,35.04365,1.542474,142268.1,1.41552411
15.94983509,0.182303,-0.170468,0.9,38.28011,1.415283,140788.8,1.400805527
15.94983509,0.1861015,-0.170734,0.95,43.06464,1.185883,138841.3,1.381428498
15.94983509,0.1899,-0.171,1,60.32987,-0.01269547,124071.2,1.234470517
14.72680249,0.11393,-0.16568,0,88.86884,3.458354,153674.7,1.529010208
14.72680249,0.1177285,-0.165946,0.05,48.91903,5.264045,158908,1.581079737
14.72680249,0.121527,-0.166212,0.1,44.96181,6.910336,159513.2,1.587101268
14.72680249,0.1253255,-0.166478,0.15,43.28962,7.438446,158417.5,1.576199431
14.72680249,0.129124,-0.166744,0.2,42.80893,7.50071,157219.2,1.56427676
14.72680249,0.1329225,-0.16701,0.25,42.61645,7.323236,156411.3,1.556238434
14.72680249,0.136721,-0.167276,0.3,42.312,7.008582,155895.5,1.551106402
14.72680249,0.1405195,-0.167542,0.35,41.79961,6.629279,155536.1,1.547530496
14.72680249,0.144318,-0.167808,0.4,41.14136,6.216208,155255.3,1.544736633
14.72680249,0.1481165,-0.168074,0.45,40.36049,5.77789,155028.6,1.542481046
14.72680249,0.151915,-0.16834,0.5,39.60827,5.309215,154863.3,1.540836368
14.72680249,0.1557135,-0.168606,0.55,38.9605,4.839339,154729.7,1.539507094
14.72680249,0.159512,-0.168872,0.6,38.56559,4.362919,154630.2,1.538517103
14.72680249,0.1633105,-0.169138,0.65,38.75145,3.908722,154512.3,1.537344039
14.72680249,0.167109,-0.169404,0.7,39.32599,3.512469,154377.1,1.535998846
14.72680249,0.1709075,-0.16967,0.75,41.2519,3.205445,154188,1.534117366
14.72680249,0.174706,-0.169936,0.8,43.81098,2.919282,154040.6,1.532650787
14.72680249,0.1785045,-0.170202,0.85,47.24001,2.668297,153949.1,1.531740394
14.72680249,0.182303,-0.170468,0.9,51.32399,2.288311,154004.7,1.532293594
14.72680249,0.1861015,-0.170734,0.95,56.62299,1.698036,154036.4,1.532608998
14.72680249,0.1899,-0.171,1,70.1693,-0.04708918,137279.4,1.365882634
