Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.94983509,0.1201,-0.088,0,141706.3,328.3838,1.409934372,1.142313389
15.94983509,0.12359,-0.088,0.05,149247.3,325.7922,1.484965017,1.133298269
15.94983509,0.12708,-0.088,0.1,149567.7,324.4571,1.488152899,1.128654
15.94983509,0.13057,-0.088,0.15,148795.2,324.0675,1.48046676,1.127298741
15.94983509,0.13406,-0.088,0.2,148026.8,324.0456,1.472821415,1.12722256
15.94983509,0.13755,-0.088,0.25,147432,324.0772,1.466903337,1.127332483
15.94983509,0.14104,-0.088,0.3,146957.7,324.0317,1.462184197,1.127174207
15.94983509,0.14453,-0.088,0.35,146526.2,323.9223,1.457890904,1.126793649
15.94983509,0.14802,-0.088,0.4,146130.6,323.748,1.453954805,1.126187331
15.94983509,0.15151,-0.088,0.45,145790.4,323.52,1.450569918,1.125394211
15.94983509,0.155,-0.088,0.5,145472,323.2953,1.447401936,1.124612572
15.94983509,0.15849,-0.088,0.55,145177,323.1219,1.444466776,1.124009384
15.94983509,0.16198,-0.088,0.6,144860.5,323.0618,1.441317698,1.12380032
15.94983509,0.16547,-0.088,0.65,144497.5,323.2194,1.437705959,1.124348547
15.94983509,0.16896,-0.088,0.7,143997.6,323.7712,1.432732106,1.126268034
15.94983509,0.17245,-0.088,0.75,143395.7,324.6341,1.426743385,1.129269711
15.94983509,0.17594,-0.088,0.8,142501.5,326.2238,1.417846369,1.13479963
15.94983509,0.17943,-0.088,0.85,141419.8,328.2359,1.407083784,1.141798905
15.94983509,0.18292,-0.088,0.9,139884.5,331.2213,1.391808019,1.152183895
15.94983509,0.18641,-0.088,0.95,137211.3,335.7243,1.365210496,1.167847997
15.94983509,0.1899,-0.088,1,124113.9,345.683,1.234895369,1.202490255
14.72680249,0.1201,-0.088,0,151831.4,331.9953,1.51067001,1.154883155
14.72680249,0.12359,-0.088,0.05,157293.8,329.7432,1.565019004,1.147048971
14.72680249,0.12708,-0.088,0.1,157275.9,328.5621,1.564840905,1.142940381
14.72680249,0.13057,-0.088,0.15,156597,328.2396,1.558086084,1.141818528
14.72680249,0.13406,-0.088,0.2,155970.5,328.2934,1.551852626,1.142005678
14.72680249,0.13755,-0.088,0.25,155515.2,328.4265,1.547322548,1.142468681
14.72680249,0.14104,-0.088,0.3,155181.3,328.4769,1.544000358,1.142644003
14.72680249,0.14453,-0.088,0.35,154890.6,328.4683,1.541107994,1.142614087
14.72680249,0.14802,-0.088,0.4,154637.8,328.4048,1.538592721,1.142393195
14.72680249,0.15151,-0.088,0.45,154428.6,328.3515,1.536511253,1.142207785
14.72680249,0.155,-0.088,0.5,154240.7,328.3854,1.534641713,1.14232571
14.72680249,0.15849,-0.088,0.55,154073,328.7171,1.532973156,1.143479566
14.72680249,0.16198,-0.088,0.6,153906.1,329.3432,1.531312558,1.145657526
14.72680249,0.16547,-0.088,0.65,153726.8,330.487,1.529528585,1.149636363
14.72680249,0.16896,-0.088,0.7,153543.7,332.3289,1.527706804,1.15604362
14.72680249,0.17245,-0.088,0.75,153362.6,334.6916,1.525904921,1.164262539
14.72680249,0.17594,-0.088,0.8,153238.1,338.0494,1.524666189,1.175943026
14.72680249,0.17943,-0.088,0.85,153099,341.9595,1.523282192,1.18954475
14.72680249,0.18292,-0.088,0.9,152937.9,346.8503,1.521679303,1.206557951
14.72680249,0.18641,-0.088,0.95,152170.1,353.7369,1.514039958,1.230513767
14.72680249,0.1899,-0.088,1,138028.2,367.0141,1.373332935,1.276700007
