Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20021.90649,16.30576933,100556.3,100557.6,287.5188,287.5198,135740.2,135921.1,321.218,321.1708,1.349892548,1.117206944,1.117038896,0.764726797
20021.8856,16.20523003,100556,100557,287.5197,287.5204,143559.7,143679,325.2025,325.1372,1.427659215,1.131061628,1.13083176,0.818444763
20021.88212,16.10457923,100556.1,100557,287.5198,287.5205,145787.3,145895.2,326.4382,326.3663,1.449810603,1.135359026,1.135106192,0.828677123
20021.87516,16.01398062,100556.2,100557.1,287.52,287.5207,147219.8,147323.6,327.3809,327.2989,1.464054927,1.138636964,1.138348995,0.831736677
20021.86819,15.84282782,100556.5,100557.4,287.5202,287.5209,149116.9,149214.8,328.7886,328.6836,1.482916569,1.143532176,1.143164201,0.832300582
20021.85775,15.68175955,100556.6,100557.6,287.5205,287.5212,150560.6,150653.6,329.8255,329.71,1.497272183,1.147137335,1.146732832,0.833081997
20021.82989,15.24889643,100557,100558.1,287.5211,287.522,153776.9,153857,332.3336,332.1745,1.529251072,1.155858127,1.15530116,0.830883272
20021.80552,14.9166714,100557.5,100558.7,287.5218,287.5227,155714.6,155789.6,334.081,333.8772,1.54851304,1.161932765,1.161220314,0.825467506
20021.80552,14.79587393,100557.6,100558.8,287.5218,287.5227,155963.8,156040.3,334.5042,334.2789,1.550989682,1.163404653,1.162617421,0.821557801
20021.80204,14.50389852,100558.1,100559.4,287.5218,287.5228,156663.9,156749.6,335.6003,335.3329,1.557944114,1.167216886,1.166282813,0.812167829
20021.809,14.32264941,100558.5,100559.9,287.5216,287.5226,156637.1,156741.1,336.2342,335.9271,1.557671405,1.169422402,1.168350244,0.801856757
20021.81248,14.16153479,100558.9,100560.4,287.5213,287.5225,156487.1,156611.6,336.7367,336.3953,1.556173546,1.171171318,1.169979045,0.792337915
