Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.01398062,0.11393,-0.16568,0,89.3519,6.84102,146445.4,1.45635376
16.01398062,0.1177285,-0.165946,0.05,41.55491,5.140398,154597.7,1.537425837
16.01398062,0.121527,-0.166212,0.1,39.08465,6.574547,153977.7,1.531260131
16.01398062,0.1253255,-0.166478,0.15,38.8138,7.064206,152446.1,1.516028848
16.01398062,0.129124,-0.166744,0.2,38.71936,7.099677,151427.4,1.505898194
16.01398062,0.1329225,-0.16701,0.25,38.16311,6.8534,150898.6,1.500639443
16.01398062,0.136721,-0.167276,0.3,37.3253,6.494361,150547.1,1.497143886
16.01398062,0.1405195,-0.167542,0.35,36.41709,6.085212,150252.8,1.494217164
16.01398062,0.144318,-0.167808,0.4,35.57352,5.661153,149969.3,1.491397845
16.01398062,0.1481165,-0.168074,0.45,34.8314,5.236248,149697.1,1.488690901
16.01398062,0.151915,-0.16834,0.5,34.17468,4.810798,149451.8,1.486251469
16.01398062,0.1557135,-0.168606,0.55,33.54471,4.374425,149270.7,1.484450486
16.01398062,0.159512,-0.168872,0.6,32.90966,3.918124,149174.4,1.483492813
16.01398062,0.1633105,-0.169138,0.65,32.32036,3.454401,149206.3,1.483810049
16.01398062,0.167109,-0.169404,0.7,31.91165,3.005765,149331.7,1.485057112
16.01398062,0.1709075,-0.16967,0.75,32.07505,2.646404,149299.8,1.484739877
16.01398062,0.174706,-0.169936,0.8,33.19177,2.414923,148715.4,1.478928201
16.01398062,0.1785045,-0.170202,0.85,35.42849,2.307974,147448.3,1.466327288
16.01398062,0.182303,-0.170468,0.9,38.76563,2.223504,145595.9,1.447905748
16.01398062,0.1861015,-0.170734,0.95,44.81085,1.965961,142575.5,1.417868814
16.01398062,0.1899,-0.171,1,64.78109,0.08987025,127879.8,1.271724667
14.79587393,0.11393,-0.16568,0,89.32732,6.989816,155759.8,1.548960994
14.79587393,0.1177285,-0.165946,0.05,47.42333,5.150672,161428.6,1.605334654
14.79587393,0.121527,-0.166212,0.1,45.25985,6.768682,160651.7,1.597608734
14.79587393,0.1253255,-0.166478,0.15,45.0283,7.509027,159407.7,1.585237715
14.79587393,0.129124,-0.166744,0.2,45.01889,7.83082,158578.7,1.576993683
14.79587393,0.1329225,-0.16701,0.25,44.5661,7.809636,158118.7,1.572419191
14.79587393,0.136721,-0.167276,0.3,43.79764,7.59169,157843.9,1.569686428
14.79587393,0.1405195,-0.167542,0.35,42.93456,7.26892,157686.1,1.568117179
14.79587393,0.144318,-0.167808,0.4,42.11107,6.910614,157607.1,1.567331559
14.79587393,0.1481165,-0.168074,0.45,41.32955,6.53875,157587.4,1.567135652
14.79587393,0.151915,-0.16834,0.5,40.55234,6.150437,157613.9,1.567399182
14.79587393,0.1557135,-0.168606,0.55,39.74683,5.732917,157691.1,1.568166901
14.79587393,0.159512,-0.168872,0.6,38.99473,5.295315,157803.5,1.569284669
14.79587393,0.1633105,-0.169138,0.65,38.52619,4.864863,157949.3,1.570734584
14.79587393,0.167109,-0.169404,0.7,38.70102,4.470799,158081.9,1.572053231
14.79587393,0.1709075,-0.16967,0.75,40.13604,4.173714,158111.9,1.572351568
14.79587393,0.174706,-0.169936,0.8,43.07125,3.954839,158065.3,1.571888152
14.79587393,0.1785045,-0.170202,0.85,47.27062,3.75148,158126.1,1.57249278
14.79587393,0.182303,-0.170468,0.9,52.23568,3.421875,158387.4,1.575091291
14.79587393,0.1861015,-0.170734,0.95,59.30716,2.675366,158910.7,1.580295274
14.79587393,0.1899,-0.171,1,73.22547,0.05750726,142008.7,1.412212503
