Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.01398062,0.1201,-0.088,0,145234.5,328.1744,1.444311738,1.141396772
16.01398062,0.12359,-0.088,0.05,152649.9,326.1902,1.518055575,1.134495687
16.01398062,0.12708,-0.088,0.1,151951.5,325.5472,1.511110205,1.132259321
16.01398062,0.13057,-0.088,0.15,151048.3,325.5379,1.502128163,1.132226976
16.01398062,0.13406,-0.088,0.2,150480.6,325.5614,1.496482564,1.132308709
16.01398062,0.13755,-0.088,0.25,150097.5,325.528,1.492672754,1.132192543
16.01398062,0.14104,-0.088,0.3,149798.9,325.4692,1.48970327,1.131988036
16.01398062,0.14453,-0.088,0.35,149529.5,325.4179,1.487024172,1.131809613
16.01398062,0.14802,-0.088,0.4,149283.7,325.3724,1.484579767,1.131651363
16.01398062,0.15151,-0.088,0.45,149069.6,325.32,1.48245061,1.131469115
16.01398062,0.155,-0.088,0.5,148903.8,325.2497,1.480801781,1.13122461
16.01398062,0.15849,-0.088,0.55,148787.4,325.166,1.479644219,1.1309335
16.01398062,0.16198,-0.088,0.6,148766,325.119,1.479431403,1.130770033
16.01398062,0.16547,-0.088,0.65,148791.3,325.2585,1.479683003,1.131255217
16.01398062,0.16896,-0.088,0.7,148743.7,325.7351,1.479209636,1.132912841
16.01398062,0.17245,-0.088,0.75,148492.6,326.6911,1.476712525,1.136237827
16.01398062,0.17594,-0.088,0.8,147870.4,328.2845,1.47052494,1.141779702
16.01398062,0.17943,-0.088,0.85,146632.8,330.6835,1.458217395,1.15012347
16.01398062,0.18292,-0.088,0.9,144805.7,333.7411,1.440047456,1.16075786
16.01398062,0.18641,-0.088,0.95,141660.2,338.3056,1.408766441,1.176633278
16.01398062,0.1899,-0.088,1,128674,347.0742,1.279622738,1.207130634
14.79587393,0.1201,-0.088,0,153996,331.4186,1.531420798,1.152672945
14.79587393,0.12359,-0.088,0.05,159523.6,329.8899,1.586390288,1.147356131
14.79587393,0.12708,-0.088,0.1,158875.5,329.3789,1.579945225,1.145578874
14.79587393,0.13057,-0.088,0.15,158149.9,329.413,1.572729461,1.145697474
14.79587393,0.13406,-0.088,0.2,157679.7,329.5209,1.568053534,1.14607275
14.79587393,0.13755,-0.088,0.25,157381.4,329.6317,1.565087074,1.146458112
14.79587393,0.14104,-0.088,0.3,157199.8,329.7672,1.563281144,1.146929381
14.79587393,0.14453,-0.088,0.35,157094.1,329.9244,1.562230005,1.147476122
14.79587393,0.14802,-0.088,0.4,157055.6,330.0482,1.56184714,1.147906698
14.79587393,0.15151,-0.088,0.45,157072.7,330.097,1.562017192,1.148076424
14.79587393,0.155,-0.088,0.5,157137.3,330.0843,1.56265961,1.148032254
14.79587393,0.15849,-0.088,0.55,157227.7,330.0805,1.563558597,1.148019037
14.79587393,0.16198,-0.088,0.6,157328.6,330.3325,1.564562002,1.148895492
14.79587393,0.16547,-0.088,0.65,157378.8,331.1998,1.565061219,1.151911959
14.79587393,0.16896,-0.088,0.7,157343.5,332.9197,1.564710176,1.157893767
14.79587393,0.17245,-0.088,0.75,157243,335.6142,1.563710749,1.16726523
14.79587393,0.17594,-0.088,0.8,157122.8,339.3888,1.562515414,1.180393278
14.79587393,0.17943,-0.088,0.85,157112.8,344.19,1.562415969,1.197091838
14.79587393,0.18292,-0.088,0.9,157330.8,349.4851,1.56458388,1.215508181
14.79587393,0.18641,-0.088,0.95,157490.2,357.0739,1.566169041,1.241902005
14.79587393,0.1899,-0.088,1,143086.7,369.5522,1.422932727,1.285301497
