Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20021.20668,16.30147595,100587.3,100587.6,287.5398,287.5399,143751,143841.1,323.7715,323.7414,1.429116797,1.126005861,1.125900788,0.853063676
20021.2032,16.25118173,100587.3,100587.5,287.5397,287.54,147799.8,147870.3,325.9057,325.8714,1.469368399,1.133428532,1.133308061,0.871850478
20021.19972,16.18071382,100587.5,100587.7,287.5399,287.5401,150092.1,150160,327.2347,327.1943,1.492154592,1.138049711,1.137908417,0.878432321
20021.19624,16.0699957,100587.7,100587.9,287.5399,287.5402,151520.1,151586.7,328.1897,328.1401,1.506348192,1.141370989,1.1411973,0.879477939
20021.19276,15.92909019,100587.9,100588.1,287.5401,287.5403,152871.2,152935.6,329.1677,329.1086,1.51977723,1.14477146,1.144565127,0.878733879
20021.17535,15.6976017,100588.2,100588.5,287.5405,287.5408,154880.2,154940.8,330.6266,330.5566,1.539745219,1.149843587,1.149598944,0.877314879
20021.1475,15.37554457,100588.7,100589,287.5413,287.5416,156771.4,156827.9,332.2098,332.1119,1.558538882,1.15534638,1.155004702,0.872059615
20021.13357,15.11386922,100589.1,100589.4,287.5417,287.542,157932.8,157992.2,333.363,333.2433,1.570078667,1.159355321,1.158937825,0.865548971
20021.12313,14.95283249,100589.4,100589.7,287.5419,287.5423,158020.9,158086.7,333.9047,333.7555,1.570949822,1.161238414,1.160717919,0.857084092
20021.11965,14.78172896,100589.6,100590,287.5421,287.5424,158094.7,158172.2,334.4284,334.2564,1.571680373,1.163058905,1.162459519,0.848826326
