Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.0699957,0.11393,-0.16568,0,89.61792,4.666162,150030.8,1.491542206
16.0699957,0.1177285,-0.165946,0.05,41.56244,4.73607,158333.4,1.574083114
16.0699957,0.121527,-0.166212,0.1,41.55376,6.346551,156883.9,1.559672803
16.0699957,0.1253255,-0.166478,0.15,41.36799,7.218107,155203.8,1.542969966
16.0699957,0.129124,-0.166744,0.2,40.72441,7.469045,154307.1,1.534055357
16.0699957,0.1329225,-0.16701,0.25,39.90874,7.314725,154007.9,1.531080838
16.0699957,0.136721,-0.167276,0.3,39.04152,6.979276,153745.7,1.528474157
16.0699957,0.1405195,-0.167542,0.35,38.19576,6.569487,153458.8,1.52562192
16.0699957,0.144318,-0.167808,0.4,37.37255,6.131258,153267.1,1.52371612
16.0699957,0.1481165,-0.168074,0.45,36.56419,5.688847,153174.9,1.522799507
16.0699957,0.151915,-0.16834,0.5,35.76133,5.248486,153131.8,1.522371025
16.0699957,0.1557135,-0.168606,0.55,34.99286,4.815059,153123.8,1.522291493
16.0699957,0.159512,-0.168872,0.6,34.32511,4.39941,153136.4,1.522416757
16.0699957,0.1633105,-0.169138,0.65,33.87946,4.021692,153104.4,1.522098626
16.0699957,0.167109,-0.169404,0.7,33.67852,3.690459,152967.2,1.520734643
16.0699957,0.1709075,-0.16967,0.75,33.69629,3.39012,152950.7,1.520570607
16.0699957,0.174706,-0.169936,0.8,34.75986,3.15475,153526.7,1.526296953
16.0699957,0.1785045,-0.170202,0.85,37.72303,2.960621,154518.8,1.536159988
16.0699957,0.182303,-0.170468,0.9,41.4282,2.605211,153829.9,1.529311238
16.0699957,0.1861015,-0.170734,0.95,46.75999,2.256995,148025.8,1.471609352
16.0699957,0.1899,-0.171,1,64.74115,0.1623157,134128.3,1.333446336
14.78172896,0.11393,-0.16568,0,89.59028,9.634429,157811.2,1.56886199
14.78172896,0.1177285,-0.165946,0.05,46.79106,4.708344,163702.4,1.627428681
14.78172896,0.121527,-0.166212,0.1,46.82816,6.414565,162872.6,1.619179319
14.78172896,0.1253255,-0.166478,0.15,46.74492,7.418193,161592.7,1.606455339
14.78172896,0.129124,-0.166744,0.2,46.24831,7.964328,160246.8,1.593075228
14.78172896,0.1329225,-0.16701,0.25,45.47689,8.083293,159665.5,1.587296301
14.78172896,0.136721,-0.167276,0.3,44.52522,7.968974,159676.1,1.58740168
14.78172896,0.1405195,-0.167542,0.35,43.51222,7.741235,159657.6,1.587217764
14.78172896,0.144318,-0.167808,0.4,42.50946,7.424867,159561.6,1.586263391
14.78172896,0.1481165,-0.168074,0.45,41.56642,7.053314,159532.7,1.585976085
14.78172896,0.151915,-0.16834,0.5,40.76469,6.656288,159595.9,1.586604381
14.78172896,0.1557135,-0.168606,0.55,40.32279,6.262788,159747.2,1.588108512
14.78172896,0.159512,-0.168872,0.6,40.46619,5.898746,159965.8,1.590281699
14.78172896,0.1633105,-0.169138,0.65,41.04397,5.564799,160185.3,1.592463833
14.78172896,0.167109,-0.169404,0.7,41.23835,5.208484,160332,1.593922235
14.78172896,0.1709075,-0.16967,0.75,40.65283,4.815216,160548.4,1.59607355
14.78172896,0.174706,-0.169936,0.8,41.30874,4.521124,161058.2,1.601141669
14.78172896,0.1785045,-0.170202,0.85,45.97724,4.428915,161755.3,1.608071809
14.78172896,0.182303,-0.170468,0.9,53.81027,4.284591,162672.9,1.617194024
14.78172896,0.1861015,-0.170734,0.95,63.93923,3.588295,163481.3,1.62523064
14.78172896,0.1899,-0.171,1,75.26188,0.1446084,149406.7,1.485309615
