Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.0699957,0.1201,-0.088,0,149149.3,328.7713,1.48277871,1.143393665
16.0699957,0.12359,-0.088,0.05,155881.3,327.6962,1.549705381,1.139654705
16.0699957,0.12708,-0.088,0.1,154886.1,326.9246,1.539811528,1.136971252
16.0699957,0.13057,-0.088,0.15,154104.4,326.6049,1.5320402,1.135859406
16.0699957,0.13406,-0.088,0.2,153670.2,326.3917,1.527723569,1.135117944
16.0699957,0.13755,-0.088,0.25,153329.6,326.2072,1.524337469,1.134476294
16.0699957,0.14104,-0.088,0.3,153072.9,326.082,1.521785467,1.134040876
16.0699957,0.14453,-0.088,0.35,152896.8,326.0121,1.520034756,1.133797779
16.0699957,0.14802,-0.088,0.4,152790.1,325.9788,1.51897399,1.133681969
16.0699957,0.15151,-0.088,0.45,152737.3,325.9744,1.518449075,1.133666667
16.0699957,0.155,-0.088,0.5,152722.8,325.9936,1.518304922,1.13373344
16.0699957,0.15849,-0.088,0.55,152729.6,326.054,1.518372525,1.133943498
16.0699957,0.16198,-0.088,0.6,152709.7,326.207,1.518174687,1.134475598
16.0699957,0.16547,-0.088,0.65,152611.2,326.469,1.517195442,1.135386776
16.0699957,0.16896,-0.088,0.7,152495,326.8224,1.516040232,1.136615823
16.0699957,0.17245,-0.088,0.75,152635.4,327.5969,1.517436028,1.139309362
16.0699957,0.17594,-0.088,0.8,153181.2,329.6882,1.522862139,1.14658244
16.0699957,0.17943,-0.088,0.85,153599.9,333.2031,1.527024676,1.158806482
16.0699957,0.18292,-0.088,0.9,152240,335.9252,1.51350513,1.168273342
16.0699957,0.18641,-0.088,0.95,146921.3,336.2511,1.460628884,1.16940675
16.0699957,0.1899,-0.088,1,134982.9,338.4216,1.341942404,1.176955268
14.78172896,0.1201,-0.088,0,156348.1,331.5823,1.554316748,1.153160876
14.78172896,0.12359,-0.088,0.05,162023.1,331.0147,1.610734112,1.151186904
14.78172896,0.12708,-0.088,0.1,160875.3,330.4076,1.599323389,1.149075561
14.78172896,0.13057,-0.088,0.15,159925.9,330.0067,1.589885038,1.147681331
14.78172896,0.13406,-0.088,0.2,159423.9,329.8235,1.584894462,1.147044207
14.78172896,0.13755,-0.088,0.25,159214.5,329.7374,1.582812736,1.146744772
14.78172896,0.14104,-0.088,0.3,159098.8,329.6533,1.581662518,1.146452293
14.78172896,0.14453,-0.088,0.35,159031.2,329.5852,1.58099048,1.146215459
14.78172896,0.14802,-0.088,0.4,159014.1,329.5678,1.580820482,1.146154946
14.78172896,0.15151,-0.088,0.45,159059.2,329.6798,1.581268839,1.146544454
14.78172896,0.155,-0.088,0.5,159177.1,330.0793,1.582440928,1.147933816
14.78172896,0.15849,-0.088,0.55,159358.6,330.9505,1.58424529,1.150963633
14.78172896,0.16198,-0.088,0.6,159553.9,332.2253,1.586186842,1.155397071
14.78172896,0.16547,-0.088,0.65,159680.3,333.4179,1.587443434,1.159544637
14.78172896,0.16896,-0.088,0.7,159632.9,334.2772,1.586972212,1.162533069
14.78172896,0.17245,-0.088,0.75,159455.7,335.4146,1.585210598,1.166488664
14.78172896,0.17594,-0.088,0.8,159523.6,337.7753,1.585885618,1.174698592
14.78172896,0.17943,-0.088,0.85,160036.7,342.5688,1.590986543,1.191369194
14.78172896,0.18292,-0.088,0.9,161033.4,348.668,1.600895122,1.212580697
14.78172896,0.18641,-0.088,0.95,161566.8,356.1767,1.606197857,1.23869409
14.78172896,0.1899,-0.088,1,149085.9,363.4804,1.482120418,1.264094545
