Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.96988032,0.11393,-0.16568,0,89.46788,12.27627,149983.5,1.491113477
15.96988032,0.1177285,-0.165946,0.05,42.99034,4.933496,157488.4,1.565726068
15.96988032,0.121527,-0.166212,0.1,41.031,6.487805,156519.4,1.556092415
15.96988032,0.1253255,-0.166478,0.15,41.02309,7.154961,155085.1,1.54183282
15.96988032,0.129124,-0.166744,0.2,40.76481,7.32333,154331.4,1.534339647
15.96988032,0.1329225,-0.16701,0.25,39.98593,7.165153,153965,1.530696954
15.96988032,0.136721,-0.167276,0.3,39.07918,6.841509,153684.5,1.527908265
15.96988032,0.1405195,-0.167542,0.35,38.1871,6.452143,153428.9,1.525367128
15.96988032,0.144318,-0.167808,0.4,37.30602,6.038373,153233,1.523419519
15.96988032,0.1481165,-0.168074,0.45,36.43697,5.617021,153114.3,1.522239422
15.96988032,0.151915,-0.16834,0.5,35.61985,5.1973,153052.2,1.521622033
15.96988032,0.1557135,-0.168606,0.55,34.95158,4.791274,152995,1.521053359
15.96988032,0.159512,-0.168872,0.6,34.4926,4.409574,152892.1,1.520030343
15.96988032,0.1633105,-0.169138,0.65,34.21582,4.048405,152727,1.518388943
15.96988032,0.167109,-0.169404,0.7,33.90157,3.673262,152644.5,1.51756874
15.96988032,0.1709075,-0.16967,0.75,33.74682,3.312511,152877.1,1.519881215
15.96988032,0.174706,-0.169936,0.8,34.74605,3.046045,153255.6,1.523644205
15.96988032,0.1785045,-0.170202,0.85,37.72348,2.895974,153131.1,1.522406445
15.96988032,0.182303,-0.170468,0.9,42.21755,2.715194,151791.7,1.509090331
15.96988032,0.1861015,-0.170734,0.95,48.87459,2.292956,148183.9,1.473222124
15.96988032,0.1899,-0.171,1,67.01152,0.1428302,133895.7,1.331170981
14.80236884,0.11393,-0.16568,0,89.4961,6.913645,157062.4,1.56146445
14.80236884,0.1177285,-0.165946,0.05,47.29057,4.874341,162795.3,1.618459119
14.80236884,0.121527,-0.166212,0.1,45.82019,6.584121,161923.9,1.609795937
14.80236884,0.1253255,-0.166478,0.15,45.99549,7.466746,160816.7,1.598788507
14.80236884,0.129124,-0.166744,0.2,45.85713,7.945389,159975.5,1.590425564
14.80236884,0.1329225,-0.16701,0.25,45.11091,8.087294,159415.8,1.584861204
14.80236884,0.136721,-0.167276,0.3,44.14319,7.97975,159123.2,1.581952268
14.80236884,0.1405195,-0.167542,0.35,43.13192,7.731874,158964,1.580369552
14.80236884,0.144318,-0.167808,0.4,42.12884,7.403604,158854.7,1.579282926
14.80236884,0.1481165,-0.168074,0.45,41.2469,7.037987,158822.2,1.578959822
14.80236884,0.151915,-0.16834,0.5,40.62135,6.673809,158881.9,1.57955334
14.80236884,0.1557135,-0.168606,0.55,40.41987,6.337255,158999.7,1.58072447
14.80236884,0.159512,-0.168872,0.6,40.45259,6.013323,159103.8,1.581759399
14.80236884,0.1633105,-0.169138,0.65,40.27678,5.651416,159142.2,1.58214116
14.80236884,0.167109,-0.169404,0.7,39.64621,5.231893,159173.7,1.582454323
14.80236884,0.1709075,-0.16967,0.75,39.39038,4.843409,159310,1.583809374
14.80236884,0.174706,-0.169936,0.8,41.46343,4.593464,159487.7,1.585576011
14.80236884,0.1785045,-0.170202,0.85,47.05685,4.50416,159847.5,1.589153028
14.80236884,0.182303,-0.170468,0.9,54.80873,4.310477,160957.7,1.600190284
14.80236884,0.1861015,-0.170734,0.95,63.90761,3.491834,162813.7,1.618642046
14.80236884,0.1899,-0.171,1,74.97909,0.1229229,147645.9,1.4678486
