Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.96988032,0.1201,-0.088,0,148755.9,327.8477,1.478908862,1.140165728
15.96988032,0.12359,-0.088,0.05,155400.1,327.3914,1.544964503,1.13857884
15.96988032,0.12708,-0.088,0.1,154758.9,326.7916,1.538589788,1.136492897
15.96988032,0.13057,-0.088,0.15,154081.3,326.58,1.531853191,1.13575701
15.96988032,0.13406,-0.088,0.2,153634.8,326.4182,1.527414155,1.135194313
15.96988032,0.13755,-0.088,0.25,153312.5,326.2874,1.524209896,1.134739426
15.96988032,0.14104,-0.088,0.3,153067.7,326.185,1.521776131,1.134383306
15.96988032,0.14453,-0.088,0.35,152882.6,326.1013,1.519935895,1.13409222
15.96988032,0.14802,-0.088,0.4,152764.4,326.0428,1.518760768,1.133888773
15.96988032,0.15151,-0.088,0.45,152689.6,326.0187,1.518017118,1.13380496
15.96988032,0.155,-0.088,0.5,152624.5,326.0663,1.517369903,1.1339705
15.96988032,0.15849,-0.088,0.55,152535.4,326.2154,1.516484085,1.134489029
15.96988032,0.16198,-0.088,0.6,152415.4,326.4449,1.515291063,1.135287168
15.96988032,0.16547,-0.088,0.65,152303.6,326.674,1.514179564,1.136083916
15.96988032,0.16896,-0.088,0.7,152301.4,326.94,1.514157692,1.137008992
15.96988032,0.17245,-0.088,0.75,152496.1,327.712,1.51609337,1.1396938
15.96988032,0.17594,-0.088,0.8,152635.1,329.5264,1.517475287,1.146003793
15.96988032,0.17943,-0.088,0.85,152199.8,332.4683,1.5131476,1.156234926
15.96988032,0.18292,-0.088,0.9,150734,335.5815,1.498574836,1.167061795
15.96988032,0.18641,-0.088,0.95,147254.8,338.2478,1.463985151,1.176334466
15.96988032,0.1899,-0.088,1,134830.7,341.1402,1.340466611,1.186393452
14.80236884,0.1201,-0.088,0,155539.6,331.2961,1.546325256,1.152150318
14.80236884,0.12359,-0.088,0.05,161069.7,330.3716,1.601303752,1.148935179
14.80236884,0.12708,-0.088,0.1,160232.8,329.9827,1.592983558,1.147582699
14.80236884,0.13057,-0.088,0.15,159531.6,329.8223,1.586012451,1.147024875
14.80236884,0.13406,-0.088,0.2,159029.8,329.6558,1.581023715,1.146445837
14.80236884,0.13755,-0.088,0.25,158712.5,329.5264,1.577869219,1.145995822
14.80236884,0.14104,-0.088,0.3,158506.4,329.4254,1.575820238,1.145644574
14.80236884,0.14453,-0.088,0.35,158363.1,329.3613,1.574395595,1.145421653
14.80236884,0.14802,-0.088,0.4,158310.1,329.4385,1.573868686,1.145690132
14.80236884,0.15151,-0.088,0.45,158340.9,329.7293,1.57417489,1.146701448
14.80236884,0.155,-0.088,0.5,158431.9,330.2952,1.575079583,1.148669482
14.80236884,0.15849,-0.088,0.55,158534.1,331.0196,1.576095623,1.151188732
14.80236884,0.16198,-0.088,0.6,158598.9,331.6676,1.576739844,1.153442285
14.80236884,0.16547,-0.088,0.65,158571.3,332.0839,1.576465454,1.154890054
14.80236884,0.16896,-0.088,0.7,158493.8,332.6388,1.575694973,1.156819833
14.80236884,0.17245,-0.088,0.75,158469,334.2947,1.57544842,1.162578566
14.80236884,0.17594,-0.088,0.8,158524.6,337.7294,1.576001177,1.174523441
14.80236884,0.17943,-0.088,0.85,158868.8,343.0472,1.579423104,1.193017184
14.80236884,0.18292,-0.088,0.9,159866.7,349.4614,1.589343909,1.215323884
14.80236884,0.18641,-0.088,0.95,160840.2,357.5269,1.599022136,1.243373319
14.80236884,0.1899,-0.088,1,147718.4,365.8477,1.468569372,1.272310612
