Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20024.54624,16.18795279,100462,100463.4,287.4429,287.444,135422.3,135621,321.1581,321.0998,1.347995262,1.117293556,1.117086459,0.760677584
20024.54276,16.07711619,100462.1,100463.6,287.443,287.4441,139920.8,140086.7,323.6267,323.5518,1.392772001,1.125881305,1.125616424,0.790347601
20024.53579,15.92598931,100462.3,100463.8,287.4432,287.4443,142764.2,142914.7,325.4052,325.3152,1.421072382,1.132067831,1.131750395,0.801643122
20024.52534,15.62370321,100462.8,100464.4,287.4434,287.4446,146167.8,146302.9,327.7845,327.6664,1.454944517,1.140344499,1.139928877,0.808146311
20024.51838,15.23074332,100463.4,100465.1,287.4435,287.4448,149446.9,149570.2,330.3396,330.1773,1.487575575,1.149233154,1.148663326,0.808263473
20024.51838,14.92845687,100463.9,100465.7,287.4434,287.4448,151350.4,151468.5,331.9872,331.7864,1.506515276,1.154965465,1.15426127,0.805228272
20024.51838,14.81760761,100464.1,100466,287.4434,287.4448,151974,152091,332.5672,332.3507,1.512719469,1.156983253,1.15622443,0.803564415
20024.51838,14.69670052,100464.3,100466.2,287.4433,287.4448,152580.1,152696.6,333.1642,332.93,1.518749446,1.159060587,1.158239773,0.8014196
20024.51838,14.4246398,100464.7,100466.8,287.4432,287.4448,153765.8,153884.6,334.4764,334.199,1.530545555,1.163626066,1.162654534,0.794998515
20024.52186,14.05180779,100465.5,100467.7,287.443,287.4447,154800.8,154939.3,336.1718,335.8285,1.540835411,1.169525088,1.168323855,0.781078638
20024.52186,13.99135598,100465.6,100467.8,287.443,287.4447,154875.6,155020.4,336.4243,336.0702,1.541578411,1.170403523,1.169164712,0.778117525
20024.52534,13.92081506,100465.7,100468,287.4429,287.4446,154922.7,155077.7,336.7432,336.3749,1.542045693,1.171513368,1.170225149,0.77384583
