Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.92598931,0.11393,-0.16568,0,88.94587,1.327351,142640.5,1.419841075
15.92598931,0.1177285,-0.165946,0.05,41.77371,5.118878,151303.8,1.506075413
15.92598931,0.121527,-0.166212,0.1,38.05635,6.586286,152313.3,1.516123959
15.92598931,0.1253255,-0.166478,0.15,36.66592,6.961926,151087.2,1.503919381
15.92598931,0.129124,-0.166744,0.2,36.26795,6.860474,149646.1,1.489574696
15.92598931,0.1329225,-0.16701,0.25,35.99278,6.538821,148584.7,1.479009539
15.92598931,0.136721,-0.167276,0.3,35.57087,6.123786,147792.8,1.47112698
15.92598931,0.1405195,-0.167542,0.35,34.97972,5.667995,147147,1.464698698
15.92598931,0.144318,-0.167808,0.4,34.29028,5.199162,146584.3,1.459097592
15.92598931,0.1481165,-0.168074,0.45,33.52368,4.718305,146089.5,1.454172361
15.92598931,0.151915,-0.16834,0.5,32.73606,4.22088,145710.7,1.450401793
15.92598931,0.1557135,-0.168606,0.55,31.96775,3.722113,145388.1,1.447190638
15.92598931,0.159512,-0.168872,0.6,31.245,3.218451,145142.8,1.444748926
15.92598931,0.1633105,-0.169138,0.65,30.77299,2.748139,144868.8,1.442021534
15.92598931,0.167109,-0.169404,0.7,30.51044,2.334756,144561.8,1.438965662
15.92598931,0.1709075,-0.16967,0.75,31.12397,2.057024,143911.4,1.432491591
15.92598931,0.174706,-0.169936,0.8,32.33226,1.843154,143036.2,1.423779866
15.92598931,0.1785045,-0.170202,0.85,34.35621,1.720227,141848.8,1.411960507
15.92598931,0.182303,-0.170468,0.9,37.5582,1.581874,140420.4,1.397742238
15.92598931,0.1861015,-0.170734,0.95,42.39155,1.328554,138585.5,1.379477675
15.92598931,0.1899,-0.171,1,62.0451,-0.01510855,123420.4,1.228524531
14.81760761,0.11393,-0.16568,0,88.99564,13.11528,152401,1.516969743
14.81760761,0.1177285,-0.165946,0.05,47.46753,5.154681,158744.6,1.580112697
14.81760761,0.121527,-0.166212,0.1,43.92763,6.755985,159328.4,1.585923728
14.81760761,0.1253255,-0.166478,0.15,42.59324,7.279768,158175.4,1.574446992
14.81760761,0.129124,-0.166744,0.2,42.27552,7.343241,156935.3,1.562103279
14.81760761,0.1329225,-0.16701,0.25,42.11916,7.165495,156069.9,1.553489256
14.81760761,0.136721,-0.167276,0.3,41.79903,6.851333,155474.7,1.547564752
14.81760761,0.1405195,-0.167542,0.35,41.25098,6.468008,155026.4,1.543102461
14.81760761,0.144318,-0.167808,0.4,40.54757,6.053072,154655.3,1.539408605
14.81760761,0.1481165,-0.168074,0.45,39.71294,5.615198,154342.2,1.536292069
14.81760761,0.151915,-0.16834,0.5,38.88526,5.156976,154099.9,1.533880262
14.81760761,0.1557135,-0.168606,0.55,38.14897,4.702506,153889.9,1.531789963
14.81760761,0.159512,-0.168872,0.6,37.63737,4.252564,153711.8,1.53001719
14.81760761,0.1633105,-0.169138,0.65,37.68924,3.831209,153502.4,1.527932864
14.81760761,0.167109,-0.169404,0.7,38.12152,3.471624,153269.3,1.525612632
14.81760761,0.1709075,-0.16967,0.75,39.92517,3.20032,152945.6,1.522390585
14.81760761,0.174706,-0.169936,0.8,42.4074,2.948233,152666.3,1.519610488
14.81760761,0.1785045,-0.170202,0.85,45.8217,2.728733,152445.1,1.517408706
14.81760761,0.182303,-0.170468,0.9,50.03092,2.375794,152492.2,1.51787753
14.81760761,0.1861015,-0.170734,0.95,55.60188,1.803326,152696.6,1.519912088
14.81760761,0.1899,-0.171,1,71.00748,-0.06152511,135449.2,1.348234842
