Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.92598931,0.1201,-0.088,0,142056.7,328.737,1.41402994,1.143658991
15.92598931,0.12359,-0.088,0.05,150109.7,325.4748,1.494189363,1.132309966
15.92598931,0.12708,-0.088,0.1,149939.7,324.1932,1.492497186,1.127851346
15.92598931,0.13057,-0.088,0.15,148884.9,323.9014,1.481997725,1.126836189
15.92598931,0.13406,-0.088,0.2,147961.3,323.9242,1.472804226,1.126915509
15.92598931,0.13755,-0.088,0.25,147250.7,323.9587,1.465730926,1.127035533
15.92598931,0.14104,-0.088,0.3,146685.8,323.8969,1.460107921,1.126820534
15.92598931,0.14453,-0.088,0.35,146177.9,323.7607,1.455052293,1.126346701
15.92598931,0.14802,-0.088,0.4,145720.5,323.553,1.450499342,1.125624123
15.92598931,0.15151,-0.088,0.45,145340.4,323.2827,1.446715833,1.124683764
15.92598931,0.155,-0.088,0.5,144991.6,323.0105,1.443243884,1.123736794
15.92598931,0.15849,-0.088,0.55,144685.9,322.7828,1.440200951,1.122944637
15.92598931,0.16198,-0.088,0.6,144365.9,322.6705,1.437015677,1.122553952
15.92598931,0.16547,-0.088,0.65,144011.1,322.7803,1.433484003,1.12293594
15.92598931,0.16896,-0.088,0.7,143526.8,323.3007,1.42866329,1.124746385
15.92598931,0.17245,-0.088,0.75,142949.8,324.1435,1.422919842,1.127678442
15.92598931,0.17594,-0.088,0.8,142093.4,325.7455,1.414395251,1.133251717
15.92598931,0.17943,-0.088,0.85,141081.5,327.7834,1.404322816,1.140341466
15.92598931,0.18292,-0.088,0.9,139690.5,330.867,1.390476826,1.15106915
15.92598931,0.18641,-0.088,0.95,137234.7,335.6861,1.366031835,1.16783455
15.92598931,0.1899,-0.088,1,123606.9,347.94,1.230380949,1.210465233
14.81760761,0.1201,-0.088,0,151334,331.9602,1.506349034,1.154871533
14.81760761,0.12359,-0.088,0.05,157387.4,329.189,1.566603394,1.145230678
14.81760761,0.12708,-0.088,0.1,157173.6,328.0655,1.56447527,1.141322083
14.81760761,0.13057,-0.088,0.15,156353,327.8565,1.556307178,1.140594983
14.81760761,0.13406,-0.088,0.2,155637.8,327.9748,1.549188217,1.141006543
14.81760761,0.13755,-0.088,0.25,155104.2,328.1171,1.543876867,1.141501596
14.81760761,0.14104,-0.088,0.3,154695.8,328.1352,1.539811734,1.141564565
14.81760761,0.14453,-0.088,0.35,154331,328.0676,1.536180586,1.141329389
14.81760761,0.14802,-0.088,0.4,154005,327.9232,1.532935646,1.140827029
14.81760761,0.15151,-0.088,0.45,153725.7,327.7655,1.530155548,1.140278399
14.81760761,0.155,-0.088,0.5,153465.3,327.6807,1.527563577,1.139983385
14.81760761,0.15849,-0.088,0.55,153219.7,327.8745,1.525118923,1.140657604
14.81760761,0.16198,-0.088,0.6,152969.5,328.3626,1.522628481,1.142355678
14.81760761,0.16547,-0.088,0.65,152698.9,329.3683,1.519934982,1.145854453
14.81760761,0.16896,-0.088,0.7,152414.2,331.0929,1.517101134,1.151854243
14.81760761,0.17245,-0.088,0.75,152129.6,333.3522,1.514268281,1.159714225
14.81760761,0.17594,-0.088,0.8,151913.7,336.6522,1.512119255,1.171194747
14.81760761,0.17943,-0.088,0.85,151713,340.512,1.510121526,1.184622781
14.81760761,0.18292,-0.088,0.9,151629.4,345.4241,1.509289388,1.201711711
14.81760761,0.18641,-0.088,0.95,151147,352.5367,1.504487673,1.226456061
14.81760761,0.1899,-0.088,1,136446.7,368.4328,1.358163762,1.28175773
