Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.117294379,-0.168473818,0.045454545,40.42520853,6.397850528,161233.1741,1.594578793
16,0.120756546,-0.168555606,0.09090909,41.32188081,6.752655763,159563.6032,1.578066916
16,0.124218714,-0.168576555,0.136363636,41.41575281,6.925317832,157496.449,1.557622983
16,0.127680882,-0.168657293,0.181818181,41.63869801,7.244192421,155781.8194,1.54066548
16,0.13114305,-0.168740527,0.227272726,41.02308376,7.210566567,155416.2023,1.537049566
16,0.134605218,-0.168822766,0.272727271,40.35399343,6.982554421,155272.6984,1.535630328
16,0.138067386,-0.168860042,0.318181817,39.46546012,6.584120949,154359.2488,1.526596409
16,0.141529554,-0.168955094,0.363636362,38.74923835,6.211586482,153856.5981,1.521625248
16,0.144991722,-0.169039702,0.409090907,38.01949362,5.842755583,153542.7037,1.518520866
16,0.14845389,-0.169087114,0.454545452,37.19243136,5.473534175,153148.4666,1.514621903
16,0.151916058,-0.169175345,0.499999997,36.3562938,5.138260121,152779.1469,1.510969371
16,0.155378226,-0.169251113,0.545454543,35.57436704,4.847360265,152478.8788,1.507999752
16,0.158840394,-0.169316647,0.590909088,34.85226099,4.589371001,152237.0029,1.505607625
16,0.162302562,-0.169420267,0.636363633,34.3722124,4.400658159,151987.6667,1.503141717
16,0.16576473,-0.16948494,0.681818178,34.15944287,4.279845325,151722.0353,1.500514651
16,0.169226898,-0.169582673,0.727272724,34.24748183,4.188010392,151317.6341,1.496515166
16,0.172689066,-0.169636018,0.772727269,34.57009903,4.190448626,151252.2189,1.495868217
16,0.176151234,-0.169733892,0.818181814,36.06408145,4.071670146,151926.0195,1.502532033
16,0.179613402,-0.169816151,0.863636359,40.60814196,3.61258481,154138.6394,1.524414606
16,0.18307557,-0.169890485,0.909090904,46.10738494,2.160808621,154389.2581,1.526893198
16,0.186537737,-0.169973799,0.95454545,55.1564505,1.112901199,144653.6586,1.430609164
16,0.189999905,-0.170068929,0.999999995,66.63739062,0.189955548,121930.4083,1.205878656
