Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.120081134,-0.088,0,130735.5212,328.1051431,1.297875233,1.14040112
16,0.12325926,-0.088,0.045454545,154768.6254,328.0967316,1.536463571,1.140371884
16,0.126437386,-0.088,0.090909091,155113.0479,327.2897231,1.539882821,1.13756695
16,0.129615512,-0.088,0.136363636,154292.7023,326.8997926,1.53173885,1.136211661
16,0.132793638,-0.088,0.181818182,153740.9281,326.6506769,1.526261119,1.135345805
16,0.135971764,-0.088,0.227272727,153531.5486,326.4671726,1.524182506,1.134707996
16,0.13914989,-0.088,0.272727273,153308.8271,326.4150069,1.521971442,1.134526683
16,0.142328016,-0.088,0.318181818,153189.4977,326.4041998,1.5207868,1.13448912
16,0.145506142,-0.088,0.363636364,152953.2538,326.3994364,1.518441492,1.134472564
16,0.148684268,-0.088,0.409090909,152760.9881,326.4160004,1.516532777,1.134530136
16,0.151862394,-0.088,0.454545455,152436.6109,326.4371892,1.513312526,1.134603782
16,0.15504052,-0.088,0.5,152201.7501,326.4353123,1.510980949,1.134597259
16,0.158218646,-0.088,0.545454545,152110.5486,326.5119956,1.510075547,1.134863788
16,0.161396772,-0.088,0.590909091,151649.6215,326.5711813,1.505499699,1.135069501
16,0.164574898,-0.088,0.636363636,151471.8339,326.7787844,1.503734715,1.135791071
16,0.167753024,-0.088,0.681818182,151114.7369,327.0374654,1.500189639,1.136690173
16,0.17093115,-0.088,0.727272727,150896.5604,327.4803165,1.498023694,1.138229399
16,0.174109276,-0.088,0.772727273,150913.8961,328.1372705,1.498195794,1.140512786
16,0.177287402,-0.088,0.818181818,150582.1611,330.1900812,1.494902499,1.147647778
16,0.180465528,-0.088,0.863636364,150284.8039,332.2680237,1.491950489,1.154870122
16,0.183643654,-0.088,0.909090909,148552.3955,335.4166905,1.474752027,1.165814001
16,0.18682178,-0.088,0.954545455,144825.5122,336.8073438,1.43775344,1.17064752
16,0.189999906,-0.088,1,130142.7895,335.6905825,1.291990896,1.166765973
