Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.95819726,0.19,-0.171,1,0,0,120110.3195,1.21659039
15.95819726,0.189990026,-0.170999283,0.999868917,65.12050144,-1.706745022,120353.3908,1.219052446
15.95819726,0.189975327,-0.170998226,0.999675741,65.70306011,-0.186725736,121463.6251,1.230297943
15.95819726,0.189953665,-0.170996669,0.999391058,65.48380672,-0.221191151,123419.9669,1.250113615
15.95819726,0.189921742,-0.170994374,0.998971524,65.22124971,-0.267050617,125716.3324,1.273373367
15.95819726,0.189874698,-0.170990992,0.998353259,64.85248337,-0.277147105,127924.4846,1.295739611
15.95819726,0.189805369,-0.170986008,0.997442128,64.34828945,-0.265458827,129787.6952,1.314611962
15.95819726,0.1897032,-0.170978664,0.9960994,63.71058522,-0.201732155,131217.0844,1.329090162
15.95819726,0.189601031,-0.170971319,0.994756673,63.04356094,-0.11191743,132186.3333,1.338907627
15.95819726,0.189498862,-0.170963974,0.993413945,62.38499667,-0.016248134,132835.0327,1.345478265
15.95819726,0.189396693,-0.17095663,0.992071218,61.76447711,0.085473789,133289.9591,1.350086188
15.95819726,0.189327364,-0.170951646,0.991160086,61.31049284,0.158135392,133571.7866,1.352940803
15.95819726,0.18928032,-0.170948264,0.990541822,61.00073706,0.205983722,133740.2458,1.354647115
15.95819726,0.189248397,-0.170945969,0.990122287,60.79201057,0.239151212,133847.611,1.355734612
15.95819726,0.189226735,-0.170944412,0.989837605,60.65156147,0.261619328,133917.4981,1.356442493
15.95819726,0.189212036,-0.170943355,0.989644429,60.55706714,0.276622722,133964.5645,1.356919226
15.95819726,0.189202062,-0.170942638,0.989513346,60.49316115,0.286418668,133997.4548,1.357252371
15.95819726,0.189192088,-0.170941921,0.989382262,60.42983818,0.296148975,134028.1177,1.357562953
15.95819726,0.189176576,-0.170940806,0.989178406,60.3326803,0.31188187,134074.1061,1.358028767
15.95819726,0.189152453,-0.170939072,0.988861374,60.18181361,0.336937066,134145.3544,1.358750437
15.95819726,0.189114937,-0.170936375,0.988368337,59.94639514,0.375894256,134253.0886,1.359841671
15.95819726,0.189056594,-0.170932181,0.98760158,59.57663785,0.436253012,134415.3228,1.361484931
15.95819726,0.188965861,-0.170925658,0.986409143,58.99145201,0.529385993,134659.3895,1.363957069
15.95819726,0.188824755,-0.170915514,0.984554702,58.06137019,0.671066486,135032.4545,1.367735822
15.95819726,0.188605311,-0.170899739,0.981670732,56.5998238,0.879422825,135624.4648,1.373732259
15.95819726,0.188264039,-0.170875206,0.97718567,54.42051249,1.161261742,136602.7169,1.383640918
15.95819726,0.187733303,-0.170837053,0.970210639,51.49212181,1.475648087,138203.8356,1.399858556
15.95819726,0.186907919,-0.170777718,0.959363285,48.02665375,1.696872218,140633.0598,1.424464025
15.95819726,0.185624307,-0.170685442,0.942493812,44.31134181,1.765008186,143697.6128,1.455504703
15.95819726,0.183628074,-0.170541937,0.916258926,40.50494804,1.857015045,146459.829,1.483483029
15.95819726,0.180523592,-0.170318764,0.875459236,36.90830543,1.908237303,148069.2309,1.499784567
15.95819726,0.175695598,-0.169971691,0.812008809,34.21751376,1.945407596,148181.5414,1.500922153
15.95819726,0.170867603,-0.169624618,0.748558382,33.08562668,2.24007841,147771.3841,1.496767694
15.95819726,0.166039608,-0.169277545,0.685107954,33.16079793,2.643036595,147516.0419,1.494181347
15.95819726,0.161211614,-0.168930472,0.621657527,33.69249829,3.033460713,147583.8555,1.494868228
15.95819726,0.156383619,-0.168583399,0.5582071,34.37618868,3.403065733,147826.6341,1.497327318
15.95819726,0.151555625,-0.168236326,0.494756673,35.21506783,3.777033494,148122.1831,1.500320916
15.95819726,0.14672763,-0.167889253,0.431306246,36.21362847,4.144109933,148442.8014,1.50356844
15.95819726,0.141899636,-0.16754218,0.367855818,37.32298006,4.478374232,148809.0799,1.507278454
15.95819726,0.137071641,-0.167195107,0.304405391,38.4569767,4.769769432,149225.2022,1.511493332
15.95819726,0.132243647,-0.166848034,0.240954964,39.48690998,4.992210657,149774.5994,1.517058144
15.95819726,0.127415652,-0.166500961,0.177504537,40.21926223,5.13152601,150318.8643,1.522570971
15.95819726,0.122587658,-0.166153888,0.114054109,40.56599057,5.123282134,150744.248,1.526879658
15.95819726,0.119483176,-0.165930714,0.073254419,40.91566023,4.7180231,151474.6001,1.534277352
15.95819726,0.117486942,-0.16578721,0.047019533,41.97989778,4.15385692,152272.9203,1.54236349
15.95819726,0.11620333,-0.165694934,0.030150061,44.16206071,3.478703691,152472.3406,1.544383407
15.95819726,0.115377946,-0.165635599,0.019302707,47.16382576,2.847221963,151872.0735,1.538303336
15.95819726,0.114847211,-0.165597446,0.012327676,50.66634104,2.300568747,150517.7799,1.524585776
15.95819726,0.114505939,-0.165572912,0.007842614,54.70040867,1.729202422,148367.4062,1.502804766
15.95819726,0.114286495,-0.165557137,0.004958644,59.61830494,1.121544948,145692.7235,1.475713062
15.95819726,0.114145389,-0.165546993,0.003104203,65.49785752,0.571428984,143190.6363,1.450369567
15.95819726,0.114054656,-0.165540471,0.001911766,71.77996758,0.173442311,141638.3006,1.43464605
15.95819726,0.113996312,-0.165536277,0.001145009,77.63922446,-0.039412535,141295.4614,1.431173452
15.95819726,0.113958797,-0.16553358,0.000651971,82.53834674,-0.137545233,142089.8435,1.439219702
15.95819726,0.113934674,-0.165531846,0.00033494,86.31607766,-0.472353778,143459.3499,1.453091352
15.95819726,0.113919162,-0.165530731,0.000131083,88.82406066,-0.537283109,145535.1282,1.474116789
15.95819726,0.113909188,-0.165530014,0,90,-0.472367308,146773.5805,1.486660999
14.70475,0.19,-0.171,1,0,0,129187.9584,1.305258483
14.70475,0.189990026,-0.170999283,0.999868917,72.2314503,-1.37825539,129568.1669,1.309099943
14.70475,0.189975327,-0.170998226,0.999675741,72.28846164,-1.574829788,131134.297,1.324923435
14.70475,0.189953665,-0.170996669,0.999391058,72.42013368,-0.190643174,134050.6288,1.354388773
14.70475,0.189921742,-0.170994374,0.998971524,72.35743444,-0.230200583,137526.0635,1.389503041
14.70475,0.189874698,-0.170990992,0.998353259,72.21691578,-0.241025333,141078.8872,1.425399214
14.70475,0.189805369,-0.170986008,0.997442128,71.98339414,-0.247771123,144318.8548,1.458134426
14.70475,0.1897032,-0.170978664,0.9960994,71.65693388,-0.221067408,147003.6024,1.485259938
14.70475,0.189601031,-0.170971319,0.994756673,71.30207054,-0.173491759,148913.1689,1.504553361
14.70475,0.189498862,-0.170963974,0.993413945,70.9458333,-0.122473738,150198.9902,1.517544736
14.70475,0.189396693,-0.17095663,0.992071218,70.60829884,-0.065644235,151060.0551,1.526244558
14.70475,0.189327364,-0.170951646,0.991160086,70.36023671,-0.023949369,151559.0943,1.531286631
14.70475,0.18928032,-0.170948264,0.990541822,70.19167047,0.002842436,151842.6609,1.534151664
14.70475,0.189248397,-0.170945969,0.990122287,70.07960593,0.021442975,152017.8077,1.53592127
14.70475,0.189226735,-0.170944412,0.989837605,70.00608013,0.033558626,152131.9275,1.537074286
14.70475,0.189212036,-0.170943355,0.989644429,69.95862228,0.040850071,152210.9736,1.537872934
14.70475,0.189202062,-0.170942638,0.989513346,69.9286202,0.044890102,152267.4471,1.538443517
14.70475,0.189192088,-0.170941921,0.989382262,69.90149751,0.048888757,152321.3442,1.53898807
14.70475,0.189176576,-0.170940806,0.989178406,69.86285521,0.056688226,152406.9794,1.53985329
14.70475,0.189152453,-0.170939072,0.988861374,69.80525914,0.070778611,152544.9814,1.541247602
14.70475,0.189114937,-0.170936375,0.988368337,69.71644306,0.093679011,152755.0943,1.543370491
14.70475,0.189056594,-0.170932181,0.98760158,69.57488106,0.12996036,153062.5388,1.546476775
14.70475,0.188965861,-0.170925658,0.986409143,69.34224831,0.187670468,153492.4362,1.55082027
14.70475,0.188824755,-0.170915514,0.984554702,68.95028859,0.278849103,154063.8905,1.556593993
14.70475,0.188605311,-0.170899739,0.981670732,68.2762673,0.422340856,154775.6535,1.563785335
14.70475,0.188264039,-0.170875206,0.97718567,67.12188441,0.642766693,155601.0258,1.572124534
14.70475,0.187733303,-0.170837053,0.970210639,65.21769918,0.957933575,156477.3188,1.580978215
14.70475,0.186907919,-0.170777718,0.959363285,62.29247232,1.336546095,157335.5459,1.589649365
14.70475,0.185624307,-0.170685442,0.942493812,58.16842258,1.705262442,158088.3872,1.597255743
14.70475,0.183628074,-0.170541937,0.916258926,52.96631988,2.077111701,158496.2712,1.601376824
14.70475,0.180523592,-0.170318764,0.875459236,47.46141451,2.35593784,158547.7061,1.6018965
14.70475,0.175695598,-0.169971691,0.812008809,42.88335494,2.518777648,158104.2016,1.597415525
14.70475,0.170867603,-0.169624618,0.748558382,40.45039243,2.832182533,157505.5328,1.591366838
14.70475,0.166039608,-0.169277545,0.685107954,39.94103919,3.254651937,156984.0315,1.586097818
14.70475,0.161211614,-0.168930472,0.621657527,40.21522465,3.663800485,156666.7986,1.582892636
14.70475,0.156383619,-0.168583399,0.5582071,40.62632319,3.996405765,156545.1831,1.581663886
14.70475,0.151555625,-0.168236326,0.494756673,41.18509657,4.252699382,156512.5196,1.581333868
14.70475,0.14672763,-0.167889253,0.431306246,42.05884449,4.451298503,156529.4706,1.581505134
14.70475,0.141899636,-0.16754218,0.367855818,43.22654338,4.599741749,156625.5253,1.582475628
14.70475,0.137071641,-0.167195107,0.304405391,44.48178969,4.713644037,156835.1948,1.584594037
14.70475,0.132243647,-0.166848034,0.240954964,45.57054891,4.787448564,157250.6285,1.588791397
14.70475,0.127415652,-0.166500961,0.177504537,46.26037837,4.813944363,157674.6306,1.593075328
14.70475,0.122587658,-0.166153888,0.114054109,46.55421995,4.724703634,157929.83,1.595653751
14.70475,0.119483176,-0.165930714,0.073254419,46.89851385,4.255081027,158498.7899,1.601402272
14.70475,0.117486942,-0.16578721,0.047019533,47.82410559,3.672729098,159317.7613,1.6096768
14.70475,0.11620333,-0.165694934,0.030150061,49.51835867,3.033391913,159834.152,1.614894185
14.70475,0.115377946,-0.165635599,0.019302707,51.71379688,2.451397805,159773.7004,1.614283409
14.70475,0.114847211,-0.165597446,0.012327676,54.299184,1.938289379,158997.4554,1.60644057
14.70475,0.114505939,-0.165572912,0.007842614,57.44284744,1.415152361,157383.9103,1.590138018
14.70475,0.114286495,-0.165557137,0.004958644,61.51336523,0.88500195,155144.5079,1.567512078
14.70475,0.114145389,-0.165546993,0.003104203,66.58909212,0.418315442,152886.2309,1.544695437
14.70475,0.114054656,-0.165540471,0.001911766,72.19713664,0.08611611,151365.6136,1.529331787
14.70475,0.113996312,-0.165536277,0.001145009,77.61566177,-0.086263263,150922.7888,1.524857679
14.70475,0.113958797,-0.16553358,0.000651971,82.31749182,-0.15869471,151566.3661,1.531360102
14.70475,0.113934674,-0.165531846,0.00033494,86.07944627,-0.485788542,152679.3917,1.542605625
14.70475,0.113919162,-0.165530731,0.000131083,88.7010727,-0.536966748,154567.372,1.56168095
14.70475,0.113909188,-0.165530014,0,90,-0.473871069,155699.9683,1.573124206
