Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.95819726,0.120 ,-0.088,0,126590,340.16,1.282217988,1.143998019
15.95819726,0.120 ,-0.088,0.000143205,126792,340.23,1.284267231,1.144230381
15.95819726,0.120 ,-0.088,0.000336361,127550,340.39,1.291944787,1.144782583
15.95819726,0.120 ,-0.088,0.00059689,129017,340.56,1.306803852,1.145343691
15.95819726,0.120 ,-0.088,0.000948293,130817,340.72,1.325040168,1.145905298
15.95819726,0.120 ,-0.088,0.001422267,132685,340.87,1.343959845,1.146410484
15.95819726,0.120 ,-0.088,0.002061564,134449,341,1.361824403,1.146832425
15.95819726,0.120 ,-0.088,0.002923852,136085,341.09,1.378394535,1.147153064
15.95819726,0.120 ,-0.088,0.004086908,137621,341.15,1.393950626,1.147350735
15.95819726,0.121 ,-0.088,0.005655644,139105,341.17,1.408987574,1.147400089
15.95819726,0.121 ,-0.088,0.007771562,140574,341.13,1.423870173,1.147270007
15.95819726,0.121 ,-0.088,0.01062552,142055,341.02,1.438868351,1.146912824
15.95819726,0.121 ,-0.088,0.014474951,143558,340.83,1.454092375,1.146251666
15.95819726,0.122 ,-0.088,0.01966708,145071,340.51,1.469416156,1.145184025
15.95819726,0.122 ,-0.088,0.026670245,146542,340.04,1.484313698,1.14361691
15.95819726,0.123 ,-0.088,0.036116143,147867,339.43,1.497739283,1.141567522
15.95819726,0.124 ,-0.088,0.04885681,148872,338.73,1.507918319,1.139208782
15.95819726,0.125 ,-0.088,0.066041475,149402,338.03,1.513288143,1.136847154
15.95819726,0.126 ,-0.088,0.089220224,149467,337.42,1.513940422,1.1348044
15.95819726,0.129 ,-0.088,0.120483816,149232,336.97,1.511557704,1.133278998
15.95819726,0.132 ,-0.088,0.162652281,148891,336.67,1.508108523,1.1322705
15.95819726,0.134 ,-0.088,0.204820746,148541,336.47,1.504558293,1.131597147
15.95819726,0.137 ,-0.088,0.246989211,148207,336.3,1.50117604,1.131035052
15.95819726,0.140 ,-0.088,0.289157676,147903,336.13,1.498099956,1.130445315
15.95819726,0.143 ,-0.088,0.331326141,147629,335.93,1.495324911,1.12979398
15.95819726,0.146 ,-0.088,0.373494605,147383,335.73,1.492837404,1.129115863
15.95819726,0.149 ,-0.088,0.41566307,147166,335.54,1.490632017,1.12846596
15.95819726,0.152 ,-0.088,0.457831535,146969,335.37,1.488640071,1.127886665
15.95819726,0.155 ,-0.088,0.5,146783,335.22,1.486752069,1.127404315
15.95819726,0.158 ,-0.088,0.542168465,146615,335.12,1.485050794,1.127055524
15.95819726,0.161 ,-0.088,0.58433693,146489,335.08,1.483778036,1.126927889
15.95819726,0.164 ,-0.088,0.626505395,146409,335.16,1.482966632,1.127194845
15.95819726,0.167 ,-0.088,0.668673859,146344,335.44,1.482307926,1.12812734
15.95819726,0.170 ,-0.088,0.710842324,146288,336.01,1.481739948,1.130061219
15.95819726,0.173 ,-0.088,0.753010789,146241,336.97,1.481262409,1.133288445
15.95819726,0.176 ,-0.088,0.795179254,146102,338.35,1.479858376,1.13793154
15.95819726,0.179 ,-0.088,0.837347719,145681,340.11,1.47559904,1.143835208
15.95819726,0.182 ,-0.088,0.879516184,144904,342.07,1.467719235,1.150420746
15.95819726,0.184 ,-0.088,0.910779776,143807,343.93,1.456615291,1.156698554
15.95819726,0.185 ,-0.088,0.933958525,142505,345.47,1.443421209,1.161855453
15.95819726,0.187 ,-0.088,0.95114319,141149,346.58,1.429692223,1.165598436
15.95819726,0.187 ,-0.088,0.963883857,139856,347.31,1.416594836,1.168065574
15.95819726,0.188 ,-0.088,0.973329755,138679,347.76,1.404675198,1.169569585
15.95819726,0.189 ,-0.088,0.98033292,137616,348.01,1.393904444,1.170414482
15.95819726,0.189 ,-0.088,0.985525049,136642,348.13,1.384040513,1.170829758
15.95819726,0.189 ,-0.088,0.98937448,135736,348.18,1.374863154,1.170974877
15.95819726,0.189 ,-0.088,0.992228438,134866,348.17,1.366053477,1.170946501
15.95819726,0.190 ,-0.088,0.994344356,134003,348.12,1.357312007,1.170796881
15.95819726,0.190 ,-0.088,0.995913092,133116,348.05,1.348319885,1.17055068
15.95819726,0.190 ,-0.088,0.997076188,132173,347.95,1.33877652,1.170220479
15.95819726,0.190 ,-0.088,0.997938436,131146,347.83,1.328370433,1.16981584
15.95819726,0.190 ,-0.088,0.998577733,130023,347.69,1.316996973,1.169347739
15.95819726,0.190 ,-0.088,0.999051707,128834,347.54,1.304956608,1.168832188
15.95819726,0.190 ,-0.088,0.99940311,127704,347.38,1.293509202,1.168298745
15.95819726,0.190 ,-0.088,0.999663639,126808,347.23,1.284429066,1.167801358
15.95819726,0.190 ,-0.088,0.999856795,126361,347.08,1.279904022,1.167282665
15.95819726,0.190 ,-0.088,1,126241,347.01,1.278692246,1.167059027
14.70475,0.120 ,-0.088,0,138585.4185,341.2074681,1.400206299,1.156282721
14.70475,0.120 ,-0.088,0.000143205,138750.0702,341.2545766,1.401869869,1.156442362
14.70475,0.120 ,-0.088,0.000336361,139350.3946,341.3737299,1.407935283,1.156846148
14.70475,0.120 ,-0.088,0.00059689,140541.031,341.4890465,1.41996495,1.157236933
14.70475,0.120 ,-0.088,0.000948293,142027.469,341.6057099,1.434983269,1.157632281
14.70475,0.120 ,-0.088,0.001422267,143597.8532,341.7110531,1.450849742,1.157989268
14.70475,0.120 ,-0.088,0.002061564,145105.6785,341.798571,1.466084148,1.158285848
14.70475,0.120 ,-0.088,0.002923852,146523.8102,341.8631744,1.480412328,1.158504776
14.70475,0.120 ,-0.088,0.004086908,147866.0952,341.8984535,1.493974187,1.15862433
14.70475,0.121 ,-0.088,0.005655644,149163.3333,341.89716,1.507080912,1.158619947
14.70475,0.121 ,-0.088,0.007771562,150430.9245,341.8519034,1.519888098,1.158466581
14.70475,0.121 ,-0.088,0.01062552,151669.3747,341.7536823,1.532400856,1.15813373
14.70475,0.121 ,-0.088,0.014474951,152862.7087,341.5894553,1.544457779,1.157577198
14.70475,0.122 ,-0.088,0.01966708,153977.5843,341.3421837,1.555721993,1.156739245
14.70475,0.122 ,-0.088,0.026670245,154962.1043,340.9953302,1.565669152,1.155563829
14.70475,0.123 ,-0.088,0.036116143,155750.0773,340.5496387,1.573630486,1.154053471
14.70475,0.124 ,-0.088,0.04885681,156253.985,340.0328508,1.578721748,1.152302182
14.70475,0.125 ,-0.088,0.066041475,156411.3483,339.4982775,1.580311677,1.150490622
14.70475,0.126 ,-0.088,0.089220224,156260.5813,339.0084802,1.578788394,1.148830798
14.70475,0.129 ,-0.088,0.120483816,155938.407,338.6129058,1.575533287,1.147490277
14.70475,0.132 ,-0.088,0.162652281,155600.0008,338.3306239,1.572114179,1.146533681
14.70475,0.134 ,-0.088,0.204820746,155306.038,338.138952,1.569144107,1.145884144
14.70475,0.137 ,-0.088,0.246989211,155051.6175,337.9947525,1.566573554,1.145395481
14.70475,0.140 ,-0.088,0.289157676,154833.8883,337.8702143,1.564373714,1.144973447
14.70475,0.143 ,-0.088,0.331326141,154652.4491,337.7650512,1.562540531,1.14461707
14.70475,0.146 ,-0.088,0.373494605,154516.071,337.6992164,1.561162627,1.144393969
14.70475,0.149 ,-0.088,0.41566307,154436.5641,337.6955825,1.560359324,1.144381655
14.70475,0.152 ,-0.088,0.457831535,154418.4947,337.7664027,1.560176759,1.14462165
14.70475,0.155 ,-0.088,0.5,154461.9952,337.9148682,1.560616269,1.145124769
14.70475,0.158 ,-0.088,0.542168465,154569.929,338.1539653,1.561706784,1.145935021
14.70475,0.161 ,-0.088,0.58433693,154714.2135,338.5314419,1.563164572,1.147214212
14.70475,0.164 ,-0.088,0.626505395,154797.6442,339.1468384,1.564007519,1.149299666
14.70475,0.167 ,-0.088,0.668673859,154680.9332,340.1447047,1.562828322,1.152681232
14.70475,0.170 ,-0.088,0.710842324,154348.0454,341.6519443,1.559464969,1.15778896
14.70475,0.173 ,-0.088,0.753010789,153917.5975,343.6561092,1.555115913,1.164580668
14.70475,0.176 ,-0.088,0.795179254,153542.416,345.9965029,1.551325244,1.172511786
14.70475,0.179 ,-0.088,0.837347719,153326.8961,348.5291802,1.549147725,1.181094514
14.70475,0.182 ,-0.088,0.879516184,153361.2902,351.0988615,1.549495229,1.189802642
14.70475,0.184 ,-0.088,0.910779776,153536.2476,353.4702922,1.551262921,1.197838938
14.70475,0.185 ,-0.088,0.933958525,153590.1038,355.5301831,1.55180706,1.204819489
14.70475,0.187 ,-0.088,0.95114319,153403.7019,357.2513318,1.549923738,1.210652112
