Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,14.735,100619.578,100851.43,287.591,287.778,160384.141,161060.938,335.859,335.614,1.59396555,1.167835572,1.166225354,0.857189458
20000,14.765,100620.445,100850.906,287.591,287.777,160347.719,160983.828,335.702,335.472,1.593589842,1.167289658,1.165735969,0.859256292
20000,14.914,100620.078,100844.117,287.592,287.772,160265.25,160671.641,334.947,334.82,1.592776046,1.164660352,1.163490541,0.870037859
20000,15.148,100618.727,100833.383,287.592,287.764,159186.516,159531.484,333.824,333.677,1.582076426,1.160755515,1.159550882,0.877747324
20000,15.517,100617.484,100818.781,287.589,287.751,156734.422,157072.656,331.852,331.658,1.557725514,1.153910615,1.152586785,0.884768923
20000,15.886,100614.914,100804.43,287.587,287.739,154142.719,154533.109,329.79,329.597,1.532006667,1.146748636,1.145472112,0.891016352
20000,15.995,100614.336,100800.625,287.588,287.737,153171.344,153585.703,329.038,328.854,1.522361028,1.144129797,1.142897855,0.892815342
20000,16.005,100614.203,100800.219,287.588,287.736,153063.078,153479.094,328.974,328.791,1.52128699,1.143907256,1.142682876,0.892567156
20000,16.03,100614.594,100799.852,287.588,287.736,152787.328,153208.922,328.789,328.608,1.518540422,1.143263975,1.142046876,0.892466963
20000,16.121,100613.891,100796.547,287.587,287.733,151734.125,152169.922,328.088,327.921,1.508083263,1.140830427,1.139671153,0.891735478
20000,16.257,100613.461,100792.219,287.587,287.73,147901.125,148369.719,325.947,325.798,1.469993414,1.133385723,1.132304591,0.879488253
20000,16.286,100613.359,100791.328,287.587,287.729,143850.297,144521.672,323.889,323.74,1.42973357,1.126229628,1.125155963,0.859231288
20000,16.312,100613.227,100790.477,287.586,287.728,136008.344,137332.922,320.266,320.269,1.351793875,1.113635573,1.113096397,0.795259711
20000,16.324,100613.195,100790.125,287.586,287.728,128586.078,131290.563,318.342,318.408,1.278024001,1.106945401,1.106628482,0.68091331
