Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.995,0.114232525,-0.165716246,0.000374508,57.8277893,0.617477357,152930.016,1.519963027
15.995,0.114734486,-0.165751249,0.009838657,50.3834457,1.90693295,157169.734,1.562101351
15.995,0.11529468,-0.165790305,0.017118488,46.8667946,2.64614701,158168,1.572023062
15.995,0.115797102,-0.165825352,0.024670705,44.547184,3.17261744,158769.516,1.578001497
15.995,0.116270028,-0.165858328,0.030801917,43.194191,3.60919714,159243.516,1.582712557
15.995,0.116729654,-0.165890381,0.036998943,42.6230011,3.96816278,159452.891,1.584793523
15.995,0.117185473,-0.165922165,0.041667562,42.4622688,4.27188396,159472.063,1.584984073
15.995,0.11763873,-0.16595377,0.047902301,42.3956146,4.55558443,159372.313,1.583992663
15.995,0.118090287,-0.165985256,0.054150146,42.3458443,4.81604099,159245.828,1.582735536
15.995,0.118540987,-0.166016698,0.060396999,42.2955894,5.03118277,159101.531,1.581301376
15.995,0.118990816,-0.166048065,0.066646904,42.2442398,5.23722792,158951.297,1.579808208
15.995,0.119441129,-0.166079462,0.071334936,42.201786,5.41642952,158768.875,1.577995126
15.995,0.119889043,-0.166110709,0.077586889,42.154789,5.58698893,158584.094,1.576158598
15.995,0.120337762,-0.166142002,0.083832927,42.106739,5.72532034,158378.922,1.574119404
15.995,0.120786324,-0.166173279,0.09008754,42.0515709,5.85660648,158175.375,1.572096362
15.995,0.121234849,-0.166204557,0.09634608,41.9887466,5.96598816,157957.063,1.569926571
15.995,0.121684134,-0.166235894,0.101037048,41.9180679,6.06738806,157738.891,1.567758172
15.995,0.122133225,-0.166267216,0.107295573,41.8395844,6.15318918,157520.172,1.565584335
15.995,0.122583002,-0.166298583,0.113550492,41.754425,6.22506905,157299.578,1.563391864
15.995,0.123032734,-0.16632995,0.119806781,41.6626701,6.29111528,157086.875,1.56127782
15.995,0.123482771,-0.166361332,0.126053318,41.5654831,6.34231806,156877,1.559191884
15.995,0.123932943,-0.166392714,0.130744457,41.4638023,6.39032125,156674,1.557174278
15.995,0.124382995,-0.166424111,0.137000546,41.3589592,6.42593813,156484.094,1.555286813
15.995,0.124832816,-0.166455477,0.143251523,41.2518272,6.45554876,156300.625,1.553463325
15.995,0.125282392,-0.16648683,0.149505049,41.1440353,6.48014164,156128.891,1.55175647
15.995,0.125731468,-0.166518152,0.154190883,41.0375977,6.49638891,155975.609,1.550233009
15.995,0.126179606,-0.166549399,0.160439312,40.9305992,6.51014566,155825.891,1.54874497
15.995,0.126627207,-0.166580617,0.16667898,40.8265495,6.51871014,155701.656,1.547510205
15.995,0.12707366,-0.166611746,0.17292425,40.7239113,6.52430296,155590.703,1.546407449
15.995,0.127519086,-0.166642815,0.179171711,40.6216393,6.52801752,155485.344,1.545360292
15.995,0.127963006,-0.166673765,0.183854491,40.5231247,6.52891397,155410.328,1.544614712
15.995,0.128405571,-0.166704625,0.190097809,40.4251328,6.52891159,155341.297,1.543928617
15.995,0.128846541,-0.166735381,0.196341738,40.327919,6.52849674,155279.797,1.543317371
15.995,0.129286915,-0.166766092,0.201020613,40.2326469,6.52878141,155241.969,1.542941401
15.995,0.129724041,-0.16679658,0.207262546,40.1376686,6.52895975,155206.516,1.542589036
15.995,0.130160049,-0.166826978,0.213497281,40.0430832,6.52817774,155175.609,1.542281853
15.995,0.130594671,-0.166857287,0.219739795,39.9496613,6.52509499,155155.844,1.542085409
15.995,0.131027132,-0.166887447,0.224417746,39.8563232,6.52180004,155137.125,1.541899362
15.995,0.131458238,-0.166917503,0.230660856,39.7632866,6.51736593,155118.891,1.541718135
15.995,0.131887659,-0.166947454,0.235339984,39.6716461,6.50911427,155100.188,1.541532247
15.995,0.132315263,-0.166977271,0.241581708,39.5801544,6.50043726,155081.625,1.541347751
15.995,0.132740989,-0.167006969,0.247823641,39.4887848,6.49122906,155063.031,1.541162946
15.995,0.133165151,-0.167036548,0.252490908,39.3996201,6.47721434,155038.344,1.540917583
15.995,0.133588046,-0.167066038,0.258732826,39.3108559,6.4620204,155012,1.540655752
15.995,0.134009093,-0.167095393,0.263412058,39.2217789,6.44676733,154986.078,1.540398114
15.995,0.13442862,-0.167124644,0.269658297,39.1345139,6.4283824,154956.797,1.540107092
15.995,0.134846702,-0.167153805,0.274337947,39.0491562,6.40711212,154923.438,1.539775539
15.995,0.135262743,-0.167182818,0.280581057,38.9635048,6.38571596,154890.484,1.539448011
15.995,0.135678157,-0.167211786,0.285260677,38.8776207,6.36353207,154857.625,1.539121427
15.995,0.136091962,-0.167240649,0.291504562,38.7946701,6.33739185,154823.313,1.538780402
15.995,0.136504248,-0.167269394,0.296171039,38.7121696,6.31038141,154788.813,1.538437508
15.995,0.136915103,-0.167298049,0.302414387,38.6293221,6.28317308,154754.656,1.538098024
15.995,0.137324587,-0.167326599,0.307097256,38.5471115,6.25472116,154721.75,1.537770973
