Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.995,0.120216653,-0.088,-0.001158173,143246.484,331.311035,1.423718935,1.152033586
15.995,0.120586343,-0.088,0.00636716,148792.984,331.354767,1.478845293,1.152185651
15.995,0.121066555,-0.088,0.013866481,152001.453,331.022308,1.51073409,1.151029626
15.995,0.121515818,-0.088,0.019957019,153933.047,330.610321,1.529932097,1.149597066
15.995,0.121947363,-0.088,0.026119184,155283.047,330.166229,1.543349673,1.148052871
15.995,0.122368924,-0.088,0.032322705,156171.172,329.715668,1.552176699,1.146486182
15.995,0.122785293,-0.088,0.03855243,156673.625,329.304108,1.557170551,1.145055107
15.995,0.123199284,-0.088,0.044796538,156897.047,328.967438,1.55939113,1.143884439
15.995,0.123612709,-0.088,0.051047523,156940.641,328.712219,1.559824409,1.142996992
15.995,0.124023944,-0.088,0.055730213,156885.359,328.516663,1.559274964,1.142317006
15.995,0.124434404,-0.088,0.061974801,156775.938,328.355896,1.558187435,1.141757987
15.995,0.124843091,-0.088,0.068218105,156648.688,328.215179,1.556922704,1.141268686
15.995,0.125249863,-0.088,0.074463539,156523,328.08606,1.555673498,1.140819714
15.995,0.125655234,-0.088,0.079147346,156400.813,327.964081,1.554459088,1.140395569
15.995,0.126059636,-0.088,0.085397892,156261.234,327.846649,1.55307182,1.139987235
15.995,0.126463488,-0.088,0.091653124,156097.313,327.733032,1.551442618,1.139592167
15.995,0.126867533,-0.088,0.096346244,155913.422,327.622528,1.549614935,1.139207922
15.995,0.127271578,-0.088,0.102603868,155720.328,327.517303,1.547695785,1.138842034
15.995,0.127676085,-0.088,0.108862236,155530.281,327.415558,1.545806918,1.138488247
15.995,0.128080711,-0.088,0.115118258,155351.766,327.32019,1.544032667,1.138156634
15.995,0.12848562,-0.088,0.11981231,155183.859,327.229828,1.542363849,1.137842427
15.995,0.128890499,-0.088,0.126068935,155031.375,327.146912,1.540848319,1.137554112
15.995,0.129295424,-0.088,0.132322669,154889.969,327.069366,1.539442892,1.137284469
15.995,0.129700169,-0.088,0.137010425,154768.313,327.001556,1.53823376,1.137048681
15.995,0.130104795,-0.088,0.143264145,154653.313,326.937012,1.537090781,1.136824249
15.995,0.130509034,-0.088,0.149514258,154562.109,326.884644,1.53618431,1.136642155
15.995,0.130912766,-0.088,0.154205039,154474.281,326.833954,1.535311392,1.136465896
15.995,0.131316066,-0.088,0.160453215,154405.938,326.794037,1.534632135,1.136327096
15.995,0.131718636,-0.088,0.166699901,154348.328,326.760101,1.534059552,1.136209094
15.995,0.13212049,-0.088,0.171385989,154294.219,326.728058,1.533521766,1.136097674
15.995,0.132521734,-0.088,0.177636936,154260.563,326.707275,1.533187261,1.136025408
15.995,0.132921889,-0.088,0.183881044,154230.578,326.688507,1.532889241,1.135960148
15.995,0.133321062,-0.088,0.188564733,154203.922,326.671295,1.532624309,1.135900298
15.995,0.133719534,-0.088,0.194808617,154192.203,326.661438,1.532507834,1.135866024
15.995,0.134116665,-0.088,0.201056272,154182.906,326.652527,1.532415432,1.135835038
15.995,0.134512603,-0.088,0.205738217,154175.391,326.644135,1.532340741,1.135805858
15.995,0.134907827,-0.088,0.211980447,154173.391,326.637634,1.532320863,1.135783252
15.995,0.135301605,-0.088,0.218221366,154172.859,326.631439,1.532315575,1.135761711
15.995,0.135694131,-0.088,0.22290504,154172.531,326.624908,1.532312315,1.135739002
15.995,0.136085942,-0.088,0.229152247,154170.594,326.617157,1.532293064,1.13571205
