Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,14.847,100591.188,100825.234,287.585,287.77,158914.609,159292.141,334.455,334.292,1.579806464,1.162977902,1.161663829,0.863382786
20000,14.863,100591.313,100824.711,287.585,287.769,158898.672,159271.359,334.436,334.276,1.579646067,1.162911835,1.161612265,0.863453699
20000,14.889,100591.523,100823.703,287.585,287.768,158860.766,159223.625,334.345,334.19,1.579265939,1.162595407,1.16131745,0.864545977
20000,14.991,100591.461,100819.242,287.585,287.764,158632.703,158976,333.985,333.834,1.576999692,1.161343603,1.160096468,0.868219851
20000,15.072,100591.383,100815.727,287.585,287.761,158366,158699.141,333.665,333.509,1.574349564,1.160230888,1.158979153,0.870879751
20000,15.143,100591.578,100813,287.585,287.759,158082.5,158410.172,333.353,333.191,1.571528185,1.159145992,1.157882117,0.873236547
20000,15.382,100591.336,100803.398,287.584,287.751,156856.75,157185.797,332.226,332.038,1.559346523,1.155231167,1.153907371,0.879369066
20000,15.582,100591.031,100795.773,287.584,287.744,155585.969,155930.625,331.16,330.956,1.546718107,1.151524424,1.150175156,0.883679589
20000,15.76,100589.781,100788.406,287.584,287.739,154292.375,154662.109,330.162,329.957,1.533877234,1.148054134,1.146723246,0.886103157
20000,15.988,100589.555,100780.742,287.583,287.733,152278.703,152693.438,328.677,328.488,1.513861981,1.142894399,1.14164173,0.888009543
20000,16.007,100589.789,100780.336,287.583,287.733,152088.578,152508.422,328.525,328.34,1.511968357,1.142365856,1.141127365,0.888393893
20000,16.022,100589.547,100779.664,287.583,287.732,151923.406,152345.438,328.436,328.253,1.510329955,1.14205638,1.140828966,0.887801239
20000,16.054,100589.813,100778.914,287.583,287.731,151556.516,151985.734,328.19,328.013,1.506678574,1.141200975,1.139998818,0.887510003
20000,16.272,100589.484,100772,287.583,287.726,143804.516,144415.5,323.902,323.769,1.429617792,1.126290497,1.125268485,0.85825492
20000,16.304,100589.398,100770.977,287.583,287.725,135901.594,137113.453,320.241,320.234,1.351052861,1.113560259,1.112986359,0.794523062
20000,16.316,100589.414,100770.648,287.583,287.725,128527.531,131247.75,318.333,318.387,1.277744107,1.106925653,1.106567034,0.680676085
