Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16.007,0.114230558,-0.165716127,0.000381419,57.7066231,0.231897861,151761.219,1.508713796
16.007,0.114728503,-0.165750846,0.009789456,49.9489708,1.70774853,155965.813,1.550513203
16.007,0.115280665,-0.165789351,0.017098406,46.3018951,2.64296031,157149.141,1.5622771
16.007,0.115783721,-0.165824443,0.023124561,44.1696968,3.2341342,157937.078,1.57011027
16.007,0.11625547,-0.16585733,0.030818015,42.864975,3.68788218,158456,1.575269063
16.007,0.116719916,-0.165889725,0.035462596,42.4091606,4.06049061,158597.469,1.576675458
16.007,0.117175855,-0.165921524,0.041669227,41.9922791,4.41008949,158701.266,1.577707342
16.007,0.117629513,-0.165953159,0.047915272,41.8647194,4.64232588,158552.5,1.576228405
16.007,0.118082367,-0.165984735,0.054161333,41.7979431,4.85065842,158354.906,1.574264051
16.007,0.118533775,-0.166016221,0.060407773,41.727211,5.05969429,158164.953,1.572375658
16.007,0.118984193,-0.166047633,0.066659905,41.6594849,5.25880384,157959.078,1.57032898
16.007,0.119435474,-0.166079104,0.071352243,41.6141968,5.41534519,157666.797,1.567423307
16.007,0.119884752,-0.166110426,0.077606149,41.5647163,5.56737614,157378.125,1.564553513
16.007,0.120336205,-0.166141912,0.083851881,41.5060272,5.72028971,157103.484,1.561823207
16.007,0.120787077,-0.166173354,0.090113141,41.4445114,5.85317898,156849.422,1.559297483
16.007,0.121238656,-0.16620484,0.096368715,41.3842583,5.94849968,156615.656,1.55697353
16.007,0.121690087,-0.166236311,0.101058885,41.3155861,6.04239273,156392.484,1.554754896
16.007,0.122141056,-0.166267768,0.107312694,41.2371254,6.13504934,156180.75,1.55264997
16.007,0.122592725,-0.166299269,0.11357072,41.1544876,6.21414995,155989.141,1.550745115
16.007,0.123044573,-0.166330755,0.119822472,41.0694656,6.27722025,155816.594,1.549029762
16.007,0.123495698,-0.166362211,0.126065329,40.978157,6.33918858,155649.25,1.547366135
16.007,0.123945072,-0.166393563,0.13075313,40.8802071,6.39902258,155488.063,1.545763716
16.007,0.124397092,-0.166425094,0.137008905,40.7809906,6.44550753,155349.109,1.544382323
16.007,0.124846593,-0.166456431,0.143256634,40.6818237,6.47666407,155234.453,1.543242486
16.007,0.125295907,-0.166487768,0.149503872,40.5803947,6.50703621,155120.703,1.542111655
16.007,0.125743002,-0.166518956,0.155751109,40.4749413,6.53615856,155010.453,1.54101562
16.007,0.12619032,-0.166550145,0.160437718,40.3712654,6.55755472,154917.875,1.540095268
