Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16.007,0.120218508,-0.088,-0.001158241,141904.484,330.891968,1.410724388,1.150596412
16.007,0.12059138,-0.088,0.007952868,147478.391,330.951355,1.466136636,1.150802916
16.007,0.121073961,-0.088,0.01387898,150761,330.626984,1.498770253,1.149674995
16.007,0.121524096,-0.088,0.019958451,152796.219,330.20813,1.51900311,1.148218532
16.007,0.121955954,-0.088,0.026118407,154243.734,329.755066,1.533393386,1.146643112
16.007,0.122377135,-0.088,0.03231873,155189.531,329.300476,1.5427959,1.145062385
16.007,0.122792684,-0.088,0.03854686,155736.906,328.894653,1.548237555,1.143651235
16.007,0.123205706,-0.088,0.044788729,155991.297,328.571838,1.550766549,1.142528724
16.007,0.123617262,-0.088,0.051036838,156068.438,328.324371,1.551533436,1.141668218
16.007,0.124027312,-0.088,0.055718377,156044.891,328.128601,1.551299346,1.140987475
16.007,0.124435842,-0.088,0.061960749,155958.828,327.964264,1.550443763,1.140416033
16.007,0.124842674,-0.088,0.06820365,155845.438,327.818329,1.549316511,1.139908579
16.007,0.125247359,-0.088,0.074449964,155724.406,327.682587,1.548113288,1.13943657
16.007,0.125651032,-0.088,0.079132922,155592.516,327.559418,1.546802121,1.139008279
16.007,0.126053318,-0.088,0.085385561,155453.938,327.441681,1.545424466,1.138598878
16.007,0.126455396,-0.088,0.091637351,155292.016,327.332428,1.543814741,1.138218977
16.007,0.126857221,-0.088,0.096331731,155125.875,327.226227,1.542163072,1.137849689
16.007,0.12725921,-0.088,0.102587037,154942.422,327.127075,1.540339299,1.137504912
16.007,0.127661288,-0.088,0.108844995,154759.969,327.029297,1.538525467,1.137164912
16.007,0.12806356,-0.088,0.11353755,154586.453,326.939545,1.536800481,1.136852822
16.007,0.128465906,-0.088,0.119792938,154415.141,326.851379,1.535097406,1.136546246
16.007,0.128868476,-0.088,0.126050547,154256.797,326.769104,1.53352325,1.136260154
16.007,0.12927103,-0.088,0.130741715,154117.406,326.695496,1.532137513,1.136004201
16.007,0.129673392,-0.088,0.13699457,153979.203,326.62207,1.530763586,1.135748879
16.007,0.130075768,-0.088,0.143248066,153860.422,326.559448,1.529582741,1.135531127
16.007,0.130477816,-0.088,0.147934526,153757.625,326.505829,1.528560798,1.13534468
16.007,0.130879357,-0.088,0.154189587,153655.328,326.452332,1.527543827,1.135158657
16.007,0.131280631,-0.088,0.16044037,153567.125,326.406158,1.526666968,1.134998098
16.007,0.131681368,-0.088,0.16512455,153502.281,326.372253,1.52602233,1.134880202
16.007,0.13208136,-0.088,0.171372131,153438.25,326.338684,1.525385775,1.134763474
16.007,0.132480741,-0.088,0.177625909,153375.656,326.305786,1.524763505,1.134649079
16.007,0.13287966,-0.088,0.182309404,153331.844,326.283051,1.524327954,1.134570023
16.007,0.133277595,-0.088,0.188554123,153295,326.264038,1.523961674,1.13450391
16.007,0.133673683,-0.088,0.194798872,153258.453,326.245178,1.523598347,1.134438329
16.007,0.134070158,-0.088,0.199483007,153221.219,326.226532,1.52322819,1.134373492
16.007,0.134465948,-0.088,0.205734253,153193.688,326.213531,1.522954494,1.134328284
16.007,0.134860963,-0.088,0.211977541,153171.453,326.202972,1.522733448,1.134291568
16.007,0.135254055,-0.088,0.216657579,153153.203,326.192657,1.522552018,1.1342557
16.007,0.135645941,-0.088,0.22290045,153132.953,326.182281,1.522350706,1.13421962
16.007,0.136037722,-0.088,0.227592692,153114.328,326.172791,1.522165548,1.134186621
16.007,0.136429444,-0.088,0.233835131,153099.672,326.165588,1.522019847,1.134161574
16.007,0.136818409,-0.088,0.238513619,153087.094,326.158691,1.521894804,1.134137592
16.007,0.137206748,-0.088,0.244755,153076.297,326.151947,1.521787468,1.134114141
16.007,0.137593761,-0.088,0.251001507,153067.344,326.145355,1.521698462,1.134091219
16.007,0.13797994,-0.088,0.255689055,153058.469,326.138794,1.521610233,1.134068405
16.007,0.138366699,-0.088,0.26193288,153045,326.131836,1.521476333,1.13404421
16.007,0.138750613,-0.088,0.266611695,153032.922,326.125031,1.521356261,1.134020547
16.007,0.139133528,-0.088,0.272852749,153022.938,326.118408,1.521257006,1.133997517
16.007,0.139516085,-0.088,0.27753672,153014.984,326.111938,1.521177933,1.133975019
16.007,0.139896914,-0.088,0.283779055,153009.172,326.105682,1.521120153,1.133953266
16.007,0.140276909,-0.088,0.288468003,153002.313,326.099487,1.521051966,1.133931724
16.007,0.140656993,-0.088,0.294710934,152991.078,326.093231,1.520940274,1.13390997
16.007,0.14103514,-0.088,0.299390733,152981.156,326.087128,1.520841636,1.133888749
16.007,0.141413122,-0.088,0.304075211,152972.656,326.081085,1.520757134,1.133867736
16.007,0.141789421,-0.088,0.310317874,152965.719,326.075195,1.520688171,1.133847255
16.007,0.142164573,-0.088,0.31499818,152960.234,326.069397,1.520633643,1.133827093
16.007,0.142539516,-0.088,0.32124871,152954.203,326.064697,1.520573686,1.13381075
16.007,0.142913699,-0.088,0.325933993,152946.969,326.061432,1.520501771,1.133799397
16.007,0.14328599,-0.088,0.332177699,152940.156,326.058228,1.52043404,1.133788256
16.007,0.143657804,-0.088,0.336859226,152933.891,326.055054,1.520371757,1.133777219
16.007,0.144028872,-0.088,0.341540068,152929.078,326.051819,1.52032391,1.13376597
16.007,0.144398302,-0.088,0.347784609,152924.031,326.048676,1.520273736,1.133755041
16.007,0.144767269,-0.088,0.352474183,152919.094,326.046722,1.520224655,1.133748247
16.007,0.145136088,-0.088,0.3587192,152914.172,326.046356,1.520175724,1.133746974
16.007,0.14550294,-0.088,0.363401204,152909.391,326.045959,1.520128194,1.133745593
16.007,0.145869285,-0.088,0.368083358,152904.703,326.045593,1.520081589,1.133744321
16.007,0.146234602,-0.088,0.374327928,152900.125,326.045227,1.520036077,1.133743048
16.007,0.14659898,-0.088,0.379015058,152895.641,326.044861,1.5199915,1.133741775
