Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.120085582,-0.088,8.67023E-06,133504.484,330.22 ,1.326897688,1.148256721
16,0.120087989,-0.088,0.000101432,134014.047,330.32 ,1.331962222,1.148589075
16,0.120094106,-0.088,0.000159901,135258.375,330.53 ,1.344329566,1.149305461
16,0.120101929,-0.088,0.000308788,136630.641,330.71 ,1.357968484,1.149957328
16,0.120111942,-0.088,0.000402721,137906.344,330.85 ,1.370647663,1.150438669
16,0.120124549,-0.088,0.000641069,139098.813,330.96 ,1.382499583,1.150812197
16,0.120140672,-0.088,0.000791554,140213.875,331.05 ,1.393582156,1.151109852
16,0.120160878,-0.088,0.001173357,141281.719,331.12 ,1.40419543,1.151356993
16,0.120186716,-0.088,0.00141426,142315.125,331.17 ,1.414466426,1.151560312
16,0.120219097,-0.088,0.002025998,143328.781,331.22 ,1.424541127,1.15172511
16,0.120260492,-0.088,0.002411955,144328.938,331.26 ,1.434481663,1.15184555
16,0.120312363,-0.088,0.003391651,145320.281,331.28 ,1.444334596,1.151918981
16,0.120378658,-0.088,0.004009672,146301.5,331.28 ,1.454086906,1.151930866
16,0.12046174,-0.088,0.005579165,147276.156,331.27 ,1.463773988,1.151873882
16,0.120567963,-0.088,0.006569298,148262.031,331.22 ,1.473572574,1.151722349
16,0.120701082,-0.088,0.009083129,149287.75,331.15 ,1.48376717,1.151458121
16,0.12087132,-0.088,0.010668919,150407.578,331.02 ,1.494897112,1.151027717
16,0.121137291,-0.088,0.014695693,151914.844,330.79 ,1.50987779,1.150208823
16,0.121452183,-0.088,0.020209637,153478.984,330.48 ,1.525423738,1.149130687
16,0.121770814,-0.088,0.023182698,154681.469,330.15 ,1.537375206,1.147979971
16,0.12212725,-0.088,0.029969256,155610.25,329.78 ,1.546606337,1.146727169
16,0.122533575,-0.088,0.033821888,156241.5,329.42 ,1.552880315,1.145470336
16,0.122994974,-0.088,0.042600863,156604.813,329.09 ,1.556491274,1.144324499
16,0.123521857,-0.088,0.04759261,156743.25,328.82 ,1.557867195,1.143372004
16,0.124120072,-0.088,0.058973752,156703.125,328.59 ,1.557468394,1.142574864
16,0.124803111,-0.088,0.065442383,156537.625,328.38 ,1.555823494,1.141844896
16,0.125578403,-0.088,0.080183998,156314.563,328.18 ,1.553606486,1.141133392
16,0.126463085,-0.088,0.088565566,156072.563,327.97 ,1.551201254,1.140402572
16,0.127466887,-0.088,0.107664168,155758.375,327.74 ,1.548078548,1.139611055
16,0.128612578,-0.088,0.118525386,155318.219,327.49 ,1.543703848,1.138732736
16,0.129913718,-0.088,0.143270329,154811.078,327.22 ,1.538663387,1.137805287
16,0.131399766,-0.088,0.157338396,154339.672,326.97 ,1.533978094,1.13694055
16,0.133060247,-0.088,0.189399645,153964.094,326.77 ,1.530245234,1.136248675
16,0.134792238,-0.088,0.206119359,153730.781,326.65 ,1.527926342,1.135811373
16,0.136547774,-0.088,0.239564851,153613.25,326.57 ,1.526758205,1.135560197
16,0.138303161,-0.088,0.256283879,153540.953,326.52 ,1.526039647,1.135362612
16,0.140352011,-0.088,0.289729416,153459.875,326.45 ,1.525233814,1.135128309
16,0.142398596,-0.088,0.323171765,153374.844,326.38 ,1.524388693,1.134904405
16,0.144153684,-0.088,0.339893579,153312.375,326.35 ,1.523767816,1.134767727
16,0.145908684,-0.088,0.373337746,153271.188,326.33 ,1.523358459,1.134704483
16,0.147663623,-0.088,0.390058488,153256.219,326.33 ,1.523209683,1.134711274
16,0.149418235,-0.088,0.423502177,153261.844,326.35 ,1.523265589,1.134766454
16,0.151172698,-0.088,0.440222561,153275.75,326.37 ,1.523403801,1.134847633
16,0.152927101,-0.088,0.473664165,153292.219,326.40 ,1.523567486,1.134952369
16,0.154681295,-0.088,0.490387172,153306.719,326.44 ,1.523711601,1.135092441
16,0.156435505,-0.088,0.523832202,153315.891,326.49 ,1.523802761,1.135276868
16,0.158189207,-0.088,0.540551722,153323.391,326.56 ,1.523877303,1.135507778
16,0.159943551,-0.088,0.573996723,153330.813,326.64 ,1.52395107,1.135789091
16,0.16169861,-0.088,0.590716839,153335.75,326.74 ,1.524000139,1.13614341
16,0.163452446,-0.088,0.624161005,153340.406,326.87 ,1.524046415,1.136594615
16,0.165205747,-0.088,0.640881419,153349.094,327.04 ,1.524132765,1.137178568
16,0.166959465,-0.088,0.674325228,153373.484,327.26 ,1.524375176,1.137958837
16,0.168713123,-0.088,0.691045761,153432.188,327.59 ,1.524958634,1.139078779
16,0.170759961,-0.088,0.724489272,153559.141,328.14 ,1.526220417,1.140994273
16,0.17280367,-0.088,0.757931232,153740.469,328.84 ,1.528022631,1.143445439
16,0.174554646,-0.088,0.774651885,153935.219,329.67 ,1.529958246,1.14631438
16,0.176306933,-0.088,0.808096528,154139.563,330.75 ,1.531989216,1.15006599
16,0.178030789,-0.088,0.824814677,154308.469,332.03 ,1.533667969,1.154548104
16,0.179675177,-0.088,0.856726646,154312.703,333.36 ,1.53371005,1.15915267
16,0.181127816,-0.088,0.870510817,153963.188,334.42 ,1.53023623,1.162845602
16,0.182382137,-0.088,0.89440465,153212.391,335.13 ,1.522774077,1.165327646
16,0.183471426,-0.088,0.90474242,152201.828,335.57 ,1.512730117,1.166841384
16,0.184411705,-0.088,0.922620654,151064.75,335.80 ,1.501428728,1.167647757
16,0.185228929,-0.088,0.930373728,149940.75,335.92 ,1.49025732,1.168064474
16,0.185932621,-0.088,0.943757415,148887.781,335.97 ,1.479791888,1.16823171
16,0.186544359,-0.088,0.949541926,147913.531,335.98 ,1.470108842,1.168262483
16,0.187072799,-0.088,0.959600985,147010.875,335.96 ,1.461137367,1.168200937
16,0.187531248,-0.088,0.96393007,146175.25,335.93 ,1.452832111,1.168093975
16,0.187926739,-0.088,0.971429944,145413.578,335.89 ,1.445261872,1.167966529
16,0.188271701,-0.088,0.974733114,144725.406,335.86 ,1.438422148,1.16783781
16,0.188568443,-0.088,0.980346382,144112.906,335.82 ,1.432334526,1.167714929
16,0.188830525,-0.088,0.982772946,143549.063,335.79 ,1.426730505,1.167597351
16,0.189089179,-0.088,0.987287223,142950.188,335.75 ,1.420778301,1.167470013
16,0.189309061,-0.088,0.990633368,142389.969,335.72 ,1.415210299,1.167350421
16,0.189451694,-0.088,0.991966844,141954.141,335.69 ,1.410878615,1.167256934
16,0.189564601,-0.088,0.994103134,141528.531,335.66 ,1.406648488,1.167165038
16,0.189655632,-0.088,0.994954586,141095.375,335.64 ,1.402343362,1.167070274
16,0.189727753,-0.088,0.996317923,140643.5,335.61 ,1.397852188,1.166969467
16,0.189785868,-0.088,0.996861696,140166.594,335.58 ,1.393112231,1.166860272
16,0.189831883,-0.088,0.997731864,139658.844,335.54 ,1.388065717,1.166740149
16,0.189868987,-0.088,0.998079062,139119.656,335.50 ,1.382706741,1.166607292
16,0.189898387,-0.088,0.998634934,138545.422,335.46 ,1.376999443,1.166458945
16,0.189922065,-0.088,0.998856068,137938.563,335.41 ,1.370967887,1.16629351
16,0.18994081,-0.088,0.999211013,137292.234,335.36 ,1.36454404,1.166104942
16,0.18995592,-0.088,0.999352574,136605.063,335.29 ,1.357714264,1.165886449
16,0.189967901,-0.088,0.999578834,135862.219,335.22 ,1.350331157,1.165620631
16,0.189977497,-0.088,0.999668837,135072.859,335.12 ,1.342485728,1.165291247
16,0.189985126,-0.088,0.999813914,134239.188,335.00 ,1.334199893,1.164868482
16,0.189991146,-0.088,0.999871552,133483.641,334.87 ,1.32669053,1.164416853
16,0.189993545,-0.088,0.999963403,133170.906,334.81 ,1.323582265,1.16420908
