Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30
20000,14.76,100592.859,100830.742,287.586,287.773,159070.688,160015.469,335.568,335.317,1.581331812,1.166844005,1.165213554,0.846734576
20000,14.786,100591.953,100828.695,287.586,287.772,159037.156,159936.625,335.466,335.235,1.581012708,1.166489328,1.164932655,0.847778158
20000,14.887,100591.492,100823.711,287.585,287.768,158892.453,159631.609,334.995,334.793,1.579581432,1.164855608,1.163412888,0.853857903
20000,14.981,100590.883,100819.047,287.585,287.765,158645.391,159285.141,334.556,334.366,1.577134888,1.163329103,1.161941167,0.858502085
20000,15.06,100590.75,100815.563,287.585,287.762,158401.531,158954.219,334.126,333.947,1.574712695,1.161833893,1.160497216,0.863109949
20000,15.137,100590.609,100812.266,287.585,287.759,158123.516,158604.297,333.718,333.552,1.571951075,1.160415182,1.159136639,0.866902251
20000,15.382,100590.297,100802.438,287.584,287.751,156879.141,157267.016,332.446,332.288,1.559585225,1.155996161,1.154776178,0.874753702
20000,15.573,100590.953,100796.063,287.584,287.745,155578.734,155966.563,331.349,331.181,1.546647381,1.152181623,1.150953101,0.879027463
20000,15.746,100590.5,100789.648,287.584,287.74,154237.016,154640.891,330.323,330.152,1.533315929,1.14861397,1.147396956,0.881251368
20000,15.963,100589.992,100782.031,287.583,287.734,152218.844,152654.391,328.829,328.671,1.513260325,1.143422942,1.142273767,0.883166017
20000,15.995,100589.813,100780.836,287.583,287.733,151877.156,152317.984,328.587,328.432,1.509866173,1.142581446,1.141447105,0.883223552
20000,16.027,100589.844,100779.875,287.583,287.732,151494.547,151940.219,328.342,328.192,1.506062053,1.141729518,1.140616963,0.882673694
20000,16.081,100589.648,100777.992,287.583,287.731,150817.313,151270.281,327.865,327.725,1.499332347,1.140070866,1.138997883,0.882613781
20000,16.129,100589.523,100776.414,287.583,287.73,150094.188,150550.641,327.401,327.271,1.49214534,1.138457419,1.137423974,0.881514493
20000,16.258,100589.352,100772.398,287.583,287.726,143762.469,144329.969,324.049,323.944,1.429201661,1.126801654,1.125876702,0.853376164
20000,16.289,100589.359,100771.484,287.583,287.726,135901.531,137024.219,320.352,320.342,1.351052759,1.113946235,1.113357847,0.791919094
20000,16.3,100589.539,100771.344,287.583,287.725,128520.82,131155,318.464,318.532,1.277675803,1.107381173,1.107070988,0.677319333
