Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
15.995,0.114235923,-0.165716499,0.000381419,56.7377853,0.594751477,151725.859,1.508362269
15.995,0.114736296,-0.165751398,0.009822806,49.8394089,1.86379766,156001.188,1.550864879
15.995,0.115293391,-0.165790245,0.01712548,46.5781059,2.65353322,157164.344,1.562428238
15.995,0.115800105,-0.16582559,0.024706332,44.473423,3.20983338,157913.656,1.569877423
15.995,0.116274565,-0.165858656,0.030833125,43.154686,3.65966797,158411.656,1.574828223
15.995,0.116740607,-0.165891171,0.037031323,42.5766106,4.04872084,158602.25,1.576722988
15.995,0.117196351,-0.165922955,0.043230191,42.0514641,4.40796041,158756.672,1.578258153
15.995,0.117649458,-0.165954545,0.0479085,41.8979797,4.64082861,158686.313,1.577558689
15.995,0.118100926,-0.165986031,0.054150827,41.8115997,4.85158539,158576.953,1.576471501
15.995,0.118550465,-0.166017383,0.060393445,41.7225952,5.06252956,158470.422,1.575412437
15.995,0.118998416,-0.166048631,0.066642635,41.6428299,5.26199245,158341.688,1.574132646
15.995,0.119446948,-0.166079894,0.072895758,41.6026878,5.41935492,158123.703,1.571965577
15.995,0.11989294,-0.166110992,0.07758309,41.5627556,5.57269907,157905.219,1.569793548
15.995,0.120340705,-0.166142225,0.083826371,41.5177193,5.72665119,157694.281,1.567696536
15.995,0.120787449,-0.166173369,0.09008567,41.4731255,5.85924101,157486.047,1.565626405
15.995,0.121234819,-0.166204572,0.096340463,41.4319611,5.95217085,157270.109,1.563479687
15.995,0.121681891,-0.166235745,0.101030037,41.384697,6.04381275,157062.719,1.561417947
15.995,0.122128427,-0.166266888,0.107283458,41.3301582,6.13461018,156865.5,1.559457321
15.995,0.122575775,-0.166298077,0.113541976,41.2709503,6.21240377,156668.859,1.557502441
15.995,0.123023421,-0.166329294,0.119795486,41.2070045,6.27259779,156469.656,1.555522091
15.995,0.12347047,-0.166360468,0.124484584,41.1365662,6.33161449,156277.703,1.553613816
15.995,0.123916022,-0.166391537,0.13072969,41.0588913,6.38896608,156093.609,1.55178367
15.995,0.124364644,-0.166422829,0.136987805,40.9763832,6.4337554,155918.844,1.550046267
15.995,0.124811247,-0.166453972,0.143238962,40.889267,6.46048069,155756.391,1.548431262
15.995,0.125258088,-0.166485131,0.149488971,40.7977028,6.48609352,155596.938,1.546846082
15.995,0.125703156,-0.16651617,0.154175565,40.6998672,6.51012802,155443.656,1.545322249
15.995,0.126148909,-0.166547269,0.160428688,40.6000099,6.52715731,155303.078,1.543924712
15.995,0.126594052,-0.166578308,0.166667596,40.4977188,6.53742409,155188.484,1.542785491
15.995,0.127037644,-0.166609243,0.172914013,40.3968124,6.5443902,155073.422,1.541641618
15.995,0.127479807,-0.166640073,0.177597001,40.2925758,6.55076551,154960.484,1.54051886
15.995,0.127922028,-0.166670918,0.183845952,40.1876793,6.55457592,154855.719,1.539477353
15.995,0.128362983,-0.16670166,0.1900924,40.0894356,6.55216217,154783.141,1.538755828
15.995,0.128802434,-0.166732311,0.194772631,39.9917488,6.54852104,154714.875,1.538077171
15.995,0.129240349,-0.166762859,0.201016709,39.8934364,6.54415131,154647.219,1.537404578
15.995,0.129676595,-0.166793272,0.207261354,39.7945862,6.5389905,154580.688,1.536743169
15.995,0.130112082,-0.16682364,0.21193485,39.700695,6.53250599,154533.141,1.536270487
15.995,0.130545855,-0.16685389,0.218177348,39.6097298,6.52548885,154495.125,1.535892556
15.995,0.130977929,-0.166884035,0.224419639,39.5186272,6.51814556,154457.656,1.535520063
15.995,0.131408468,-0.166914046,0.229098767,39.4273911,6.51047993,154420.781,1.535153475
15.995,0.131837085,-0.166943938,0.235343009,39.3368645,6.50137424,154385.75,1.534805219
15.995,0.132264897,-0.16697377,0.241586283,39.2494812,6.48743343,154355.297,1.534502474
15.995,0.132690609,-0.167003453,0.246265396,39.1623116,6.4727726,154325.563,1.534206878
15.995,0.133114874,-0.167033046,0.252495915,39.0748749,6.45785999,154296.25,1.533915467
15.995,0.133537471,-0.167062521,0.25717476,38.9871674,6.44268894,154267.391,1.533628569
15.995,0.133958593,-0.167091891,0.263421416,38.9004707,6.42530775,154237.078,1.533327216
15.995,0.134378463,-0.167121172,0.268101603,38.8156853,6.40427542,154202.719,1.532985641
15.995,0.134796724,-0.167150334,0.274344712,38.7302513,6.38284779,154168.563,1.532646083
15.995,0.135214046,-0.167179435,0.280587614,38.6439323,6.36105824,154134.766,1.532310095
15.995,0.13562873,-0.167208359,0.285267442,38.557106,6.33902025,154101.391,1.531978302
15.995,0.136042565,-0.167237222,0.291511893,38.4719582,6.31472683,154067.625,1.531642622
15.995,0.136455163,-0.167265996,0.296178848,38.3901215,6.2872386,154032.203,1.531290479
15.995,0.136866331,-0.167294666,0.300858796,38.3074188,6.25936794,153997.047,1.53094098
15.995,0.137276083,-0.167323247,0.307102501,38.2237816,6.23116493,153962.25,1.53059505
15.995,0.13768439,-0.167351708,0.311782658,38.1392403,6.2026763,153927.766,1.530252232
15.995,0.138091326,-0.167380095,0.318027735,38.0555038,6.17324209,153894.656,1.529923074
15.995,0.138497174,-0.167408392,0.322708875,37.9760971,6.14191818,153864.25,1.529620797
