Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
15.995,0.12021777,-0.088,-0.001158241,141655.391,330.855316,1.408248063,1.150468964
15.995,0.120588817,-0.088,0.006380495,147319.672,330.92514,1.464558752,1.15071176
15.995,0.121070914,-0.088,0.013873442,150576.797,330.617249,1.496939024,1.149641144
15.995,0.121519648,-0.088,0.019943968,152747.797,330.209747,1.518521729,1.148224154
15.995,0.121949181,-0.088,0.026101362,154228.922,329.790558,1.533246134,1.146766527
15.995,0.122368,-0.088,0.032301791,155120.891,329.399994,1.542113524,1.145408435
15.995,0.122781128,-0.088,0.038528964,155624.953,329.063263,1.547124589,1.144237535
15.995,0.123191565,-0.088,0.0447703,155878.547,328.78949,1.54964566,1.143285556
15.995,0.123600595,-0.088,0.051021386,155982.891,328.567657,1.550682982,1.142514185
15.995,0.124008864,-0.088,0.055708043,155994.25,328.383942,1.550795906,1.141875361
15.995,0.124416403,-0.088,0.061957128,155938.688,328.227448,1.550243544,1.141331191
15.995,0.124823026,-0.088,0.068204932,155849.188,328.089508,1.549353791,1.140851539
15.995,0.125228196,-0.088,0.072889343,155746.047,327.962799,1.548328429,1.140410939
15.995,0.125632301,-0.088,0.079134621,155642.063,327.850983,1.547294686,1.140022126
15.995,0.126034588,-0.088,0.085383005,155540.922,327.745209,1.546289206,1.139654322
15.995,0.126435906,-0.088,0.090063751,155442.531,327.649658,1.545311065,1.139322067
15.995,0.126835808,-0.088,0.09631554,155340.828,327.55658,1.544299999,1.138998411
15.995,0.127235219,-0.088,0.102565959,155211.828,327.468842,1.543017562,1.138693323
15.995,0.127633885,-0.088,0.107254885,155081.531,327.381897,1.541722232,1.138390993
15.995,0.128032357,-0.088,0.113509849,154929.313,327.299133,1.540208977,1.138103202
15.995,0.128430694,-0.088,0.119762897,154772.172,327.217407,1.538646781,1.137819019
15.995,0.128828958,-0.088,0.124456294,154616.547,327.137939,1.537099656,1.137542689
15.995,0.129227236,-0.088,0.13071169,154462.422,327.063049,1.535567443,1.137282277
15.995,0.129625395,-0.088,0.13696453,154309.578,326.988342,1.534047965,1.137022501
15.995,0.130023628,-0.088,0.141655877,154165.172,326.918274,1.532612372,1.136778857
15.995,0.130421773,-0.088,0.147907898,154031.422,326.854492,1.531282715,1.13655707
15.995,0.130819649,-0.088,0.154163823,153898.297,326.790771,1.52995927,1.136335496
15.995,0.13121742,-0.088,0.158853129,153772.906,326.730499,1.528712712,1.136125915
15.995,0.131614983,-0.088,0.165103272,153668.828,326.679962,1.527678035,1.135950185
15.995,0.132012144,-0.088,0.169789582,153566.531,326.630127,1.526661063,1.135776896
15.995,0.132408887,-0.088,0.176045299,153464.875,326.580475,1.525650464,1.135604243
15.995,0.132805452,-0.088,0.18229492,153379.172,326.539185,1.524798459,1.135460667
15.995,0.133201495,-0.088,0.186978638,153304.375,326.503632,1.524054874,1.13533704
15.995,0.133596838,-0.088,0.193225488,153229.688,326.46814,1.523312384,1.135213625
15.995,0.133990228,-0.088,0.199473843,153154.125,326.432892,1.522561184,1.135091059
15.995,0.134385556,-0.088,0.204165727,153091.656,326.403992,1.521940157,1.134990566
15.995,0.134780496,-0.088,0.210410699,153043.031,326.380981,1.521456758,1.134910551
15.995,0.135173097,-0.088,0.215092465,152992.984,326.35791,1.520959223,1.134830327
15.995,0.135564297,-0.088,0.221337438,152943.438,326.33493,1.520466668,1.13475042
15.995,0.135956302,-0.088,0.227592692,152896.25,326.31308,1.519997554,1.134674442
15.995,0.136347845,-0.088,0.232275233,152861.422,326.297363,1.519651317,1.13461979
15.995,0.136737689,-0.088,0.238517851,152829.906,326.282806,1.519338004,1.134569171
15.995,0.137126684,-0.088,0.243197829,152799.875,326.268372,1.519039455,1.134518981
15.995,0.137514547,-0.088,0.249440506,152771.297,326.25412,1.518755351,1.134469423
15.995,0.137901485,-0.088,0.254131526,152744.25,326.240204,1.518486467,1.134421033
15.995,0.138288915,-0.088,0.260378748,152720.172,326.228638,1.518247099,1.134380815
15.995,0.138674438,-0.088,0.265057743,152698.172,326.217773,1.518028389,1.134343035
15.995,0.139058262,-0.088,0.271299869,152678.031,326.207153,1.51782816,1.134306106
15.995,0.139442593,-0.088,0.275984079,152659.531,326.196686,1.517644244,1.13426971
15.995,0.139824852,-0.088,0.282226563,152642.906,326.186462,1.517478969,1.134234158
15.995,0.140206099,-0.088,0.286914647,152627.031,326.176422,1.51732115,1.134199247
15.995,0.140587807,-0.088,0.293159932,152609.047,326.166595,1.517142364,1.134165076
15.995,0.140967309,-0.088,0.297839731,152591.938,326.156921,1.516972278,1.134131437
15.995,0.141347259,-0.088,0.304087549,152576.063,326.147339,1.516814458,1.134098118
15.995,0.141725272,-0.088,0.308767676,152561.563,326.137939,1.516670309,1.134065432
15.995,0.142102182,-0.088,0.315010279,152548.359,326.128662,1.516539043,1.134033173
15.995,0.14247869,-0.088,0.319698095,152535.234,326.119812,1.516408562,1.134002399
15.995,0.142854497,-0.088,0.325947195,152521.109,326.111877,1.516268141,1.133974807
15.995,0.143228367,-0.088,0.330628932,152510.406,326.104095,1.516161738,1.133947747
15.995,0.143603712,-0.088,0.335310221,152496.703,326.096283,1.516025512,1.133920583
15.995,0.143976137,-0.088,0.341554523,152481.969,326.08844,1.515879035,1.133893311
15.995,0.144347668,-0.088,0.346236289,152469.797,326.080688,1.515758029,1.133866355
15.995,0.144718245,-0.088,0.352488697,152458.5,326.074036,1.515645722,1.133843224
15.995,0.145089298,-0.088,0.357171297,152448.672,326.06958,1.515548018,1.13382773
15.995,0.145458311,-0.088,0.361853272,152439.016,326.065247,1.515452024,1.133812663
15.995,0.145826772,-0.088,0.368098706,152429.453,326.060883,1.515356955,1.133797488
15.995,0.146194324,-0.088,0.372780889,152419.984,326.056549,1.51526282,1.133782418
15.995,0.146560907,-0.088,0.379030615,152410.594,326.052246,1.51516947,1.133767455
15.995,0.146926656,-0.088,0.383716047,152403.031,326.048889,1.515094284,1.133755782
15.995,0.147291765,-0.088,0.388398945,152399.625,326.047821,1.515060424,1.133752068
15.995,0.147655874,-0.088,0.394644767,152396.406,326.046844,1.515028422,1.133748671
15.995,0.148019016,-0.088,0.399327427,152393.219,326.045898,1.514996739,1.133745381
15.995,0.148381233,-0.088,0.404014826,152390.063,326.044922,1.514965364,1.133741988
15.995,0.148742497,-0.088,0.408697963,152386.906,326.043976,1.514933979,1.133738698
15.995,0.149102852,-0.088,0.414946258,152384.547,326.04364,1.514910528,1.13373753
15.995,0.149462551,-0.088,0.419629961,152384.875,326.04538,1.514913788,1.13374358
15.995,0.149821267,-0.088,0.424313068,152385.453,326.047302,1.514919535,1.133750263
15.995,0.150179029,-0.088,0.430563778,152386.078,326.049225,1.514925748,1.13375695
15.995,0.150535852,-0.088,0.435247421,152386.719,326.051147,1.51493212,1.133763633
15.995,0.150891736,-0.088,0.439931273,152387.406,326.053101,1.51493895,1.133770428
15.995,0.151246727,-0.088,0.444616139,152388.156,326.055267,1.514946406,1.13377796
15.995,0.151601076,-0.088,0.450868845,152389.234,326.059662,1.514957123,1.133793242
15.995,0.151954532,-0.088,0.455552608,152390.453,326.064545,1.514969241,1.133810222
15.995,0.152307093,-0.088,0.460236579,152391.766,326.069427,1.514982294,1.133827198
15.995,0.152658701,-0.088,0.464920729,152393.188,326.07431,1.514996431,1.133844177
15.995,0.15300943,-0.088,0.47116816,152394.688,326.079163,1.515011343,1.133861052
15.995,0.153359294,-0.088,0.475857407,152396.297,326.084045,1.515027339,1.133878028
15.995,0.153708473,-0.088,0.480543047,152397.172,326.090576,1.515036037,1.133900738
15.995,0.154056832,-0.088,0.485227525,152397.656,326.098206,1.515040849,1.13392727
15.995,0.154404357,-0.088,0.489911675,152398.469,326.105865,1.515048931,1.133953902
15.995,0.154751033,-0.088,0.494596153,152399.641,326.113525,1.515060583,1.133980538
15.995,0.155096844,-0.088,0.500849485,152401.109,326.121155,1.515075177,1.134007069
15.995,0.155441821,-0.088,0.505534112,152402.906,326.128815,1.515093041,1.134033705
15.995,0.155786008,-0.088,0.510219157,152404.328,326.137268,1.515107178,1.134063098
15.995,0.156129539,-0.088,0.514904678,152404.297,326.148041,1.51510687,1.134100559
15.995,0.156472221,-0.088,0.519590437,152405.047,326.159058,1.515114326,1.134138868
15.995,0.156814143,-0.088,0.524276197,152406.719,326.170074,1.515130948,1.134177173
15.995,0.15715526,-0.088,0.528961062,152409.344,326.181183,1.515157044,1.134215802
15.995,0.157495603,-0.088,0.535210848,152412.891,326.192322,1.515192306,1.134254535
15.995,0.157835156,-0.088,0.539896965,152417.188,326.203583,1.515235024,1.134293693
15.995,0.158173978,-0.088,0.544583321,152417.641,326.217407,1.515239527,1.134341762
15.995,0.158512026,-0.088,0.549269199,152417.016,326.232574,1.515233314,1.134394502
15.995,0.158849344,-0.088,0.553954959,152417.969,326.247833,1.515242788,1.134447561
15.995,0.159185931,-0.088,0.558641016,152420.531,326.263214,1.515268258,1.134501045
15.995,0.159521744,-0.088,0.563327372,152424.656,326.278656,1.515309266,1.134554741
15.995,0.159856796,-0.088,0.568013906,152430.359,326.29422,1.515365962,1.134608861
15.995,0.160191104,-0.088,0.572700262,152435.5,326.310791,1.51541707,1.134666482
15.995,0.1605248,-0.088,0.577386558,152433.641,326.331299,1.515398589,1.134737794
15.995,0.160857722,-0.088,0.582073569,152432.094,326.352295,1.51538321,1.134810802
15.995,0.161189958,-0.088,0.5867607,152431.875,326.373322,1.515381033,1.134883919
15.995,0.161521524,-0.088,0.591447711,152432.969,326.394409,1.515391909,1.134957244
15.995,0.16185239,-0.088,0.596134782,152435.391,326.415527,1.515415987,1.135030676
15.995,0.16218257,-0.088,0.600820959,152439.094,326.436707,1.515452799,1.135104325
15.995,0.162512094,-0.088,0.605509698,152442.141,326.461121,1.515483091,1.135189218
15.995,0.162841037,-0.088,0.610197186,152443.297,326.490326,1.515494583,1.135290772
15.995,0.16316928,-0.088,0.616448939,152444.859,326.519562,1.515510111,1.135392433
15.995,0.163496837,-0.088,0.621136427,152446.891,326.548737,1.515530312,1.135493882
15.995,0.163823739,-0.088,0.624259949,152449.375,326.57785,1.515555007,1.135595115
15.995,0.16414994,-0.088,0.628947079,152452.281,326.606934,1.515583896,1.135696248
15.995,0.164475501,-0.088,0.633635998,152455.641,326.636017,1.515617299,1.135797377
15.995,0.164800584,-0.088,0.63832581,152459.578,326.672546,1.515656438,1.135924397
15.995,0.165125057,-0.088,0.643013954,152463.766,326.71402,1.515698073,1.136068613
15.995,0.165448859,-0.088,0.647701859,152468.031,326.755432,1.515740473,1.136212613
15.995,0.165772006,-0.088,0.652390182,152472.328,326.796722,1.515783191,1.136356189
15.995,0.166094497,-0.088,0.657078922,152476.703,326.837921,1.515826684,1.136499449
15.995,0.166416317,-0.088,0.661767721,152481.141,326.879028,1.515870804,1.136642388
15.995,0.166737482,-0.088,0.666457415,152485.594,326.920502,1.515915073,1.136786604
15.995,0.167058364,-0.088,0.671148777,152488.594,326.974487,1.515944897,1.136974324
15.995,0.167378694,-0.088,0.675837755,152491.031,327.034058,1.515969124,1.137181468
15.995,0.167698354,-0.088,0.680527329,152493.703,327.093536,1.515995687,1.137388288
15.995,0.168016821,-0.088,0.685216725,152496.516,327.152832,1.516023652,1.137594475
15.995,0.168335691,-0.088,0.689906299,152499.609,327.212189,1.516054401,1.137800875
15.995,0.168653071,-0.088,0.694595933,152502.906,327.271332,1.516087178,1.13800653
15.995,0.168970689,-0.088,0.699288368,152506.719,327.331207,1.516125084,1.138214731
15.995,0.169287309,-0.088,0.702418268,152514.047,327.405945,1.516197935,1.138474614
15.995,0.16960448,-0.088,0.707105815,152524.875,327.487274,1.51630558,1.138757416
15.995,0.169919699,-0.088,0.7117939,152538.906,327.568878,1.516445067,1.139041174
15.995,0.170234844,-0.088,0.716481864,152556.25,327.651184,1.51661749,1.139327373
15.995,0.170548648,-0.088,0.721170068,152576.656,327.733856,1.516820354,1.139614845
15.995,0.170861647,-0.088,0.725858867,152600.281,327.817047,1.517055218,1.139904122
15.995,0.171173349,-0.088,0.7305516,152626.234,327.901123,1.517313227,1.140196475
15.995,0.171485513,-0.088,0.735250235,152641.953,328.003418,1.517469495,1.140552181
15.995,0.171797588,-0.088,0.738373339,152656.875,328.114807,1.51761784,1.14093951
15.995,0.172108248,-0.088,0.743062198,152677.656,328.226227,1.517824432,1.141326946
15.995,0.172419325,-0.088,0.747751832,152704.469,328.339386,1.518090989,1.141720429
15.995,0.172727928,-0.088,0.752442181,152737.469,328.452545,1.518419054,1.142113911
15.995,0.173036247,-0.088,0.757131755,152774.188,328.566498,1.518784091,1.142510155
15.995,0.173342481,-0.088,0.761821985,152816.156,328.680695,1.519201311,1.142907248
