Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30,,
20000,16.274,100622.7,100792.2,287.595,287.734,128497.0,130781.6,317.701,317.746,1.2770,1.1047,1.1043,0.6938,,
20000,16.184,100623.2,100795.1,287.595,287.736,146390.3,146907.9,325.413,325.272,1.4548,1.1315,1.1305,0.8667,,
20000,16.022,100623.7,100800.1,287.595,287.740,150099.9,150595.7,327.605,327.440,1.4917,1.1391,1.1380,0.8773,,
20000,16.011,100623.7,100800.4,287.595,287.740,150262.0,150756.3,327.715,327.549,1.4933,1.1395,1.1383,0.8774,,
20000,16.000,100623.8,100800.8,287.595,287.741,150391.4,150884.1,327.806,327.638,1.4946,1.1398,1.1387,0.8775,,
20000,15.967,100623.9,100801.8,287.596,287.741,150809.3,151297.3,328.096,327.925,1.4987,1.1408,1.1397,0.8776,,
20000,15.517,100625.2,100817.0,287.596,287.753,154862.3,155307.8,331.079,330.901,1.5390,1.1512,1.1499,0.8742,,
20000,14.966,100628.0,100839.3,287.594,287.769,157975.0,158487.4,333.889,333.774,1.5699,1.1610,1.1599,0.8603,,
20000,14.821,100628.7,100845.6,287.595,287.774,158535.9,159105.2,334.523,334.429,1.5755,1.1632,1.1621,0.8554,,
20000,14.791,100628.8,100846.9,287.595,287.775,158642.6,159227.4,334.655,334.565,1.5765,1.1636,1.1626,0.8543,,
20000,14.779,100628.8,100847.4,287.595,287.775,158678.9,159269.6,334.703,334.614,1.5769,1.1638,1.1628,0.8538,,
20000,14.775,100628.8,100847.6,287.595,287.776,158694.3,159287.4,334.722,334.634,1.5770,1.1639,1.1628,0.8537,,
20000,14.742,100629.0,100849.1,287.595,287.777,158798.2,159410.0,334.862,334.777,1.5781,1.1644,1.1633,0.8524,,
20000,14.709,100629.1,100850.6,287.595,287.778,158899.4,159532.1,335.004,334.923,1.5791,1.1648,1.1638,0.8511,,
