Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.1139,-0.1657,0,89.996,-1.646,149825,1.489
16,0.1139,-0.1657,0.00003947,88.927,-1.934,148177,1.4726
16,0.1139,-0.1657,0.000088338,87.388,-1.858,146807,1.459
16,0.1139,-0.1657,0.00014876,85.683,-1.811,145657,1.4475
16,0.1139,-0.1657,0.00022389,83.856,-1.755,144773,1.4388
16,0.114,-0.1657,0.00031665,81.973,-1.676,144176,1.4328
16,0.114,-0.1657,0.00043172,80.055,-1.566,143835,1.4294
16,0.114,-0.1657,0.00057404,78.082,-1.423,143717,1.4283
16,0.114,-0.1657,0.00075043,76.007,-1.241,143793,1.429
16,0.114,-0.1657,0.00096884,73.779,-1.015,144056,1.4316
16,0.114,-0.1657,0.0012395,71.374,-0.748,144517,1.4362
16,0.114,-0.1657,0.0015744,68.803,-0.443,145189,1.4429
16,0.1141,-0.1657,0.0019893,66.121,-0.108,146078,1.4517
16,0.1141,-0.1657,0.0025032,63.418,0.246,147163,1.4625
16,0.1142,-0.1657,0.0031395,60.794,0.61,148396,1.4748
16,0.1142,-0.1657,0.0039276,58.336,0.975,149709,1.4878
16,0.1143,-0.1657,0.0049037,56.1,1.334,151036,1.501
16,0.1144,-0.1657,0.0061124,54.119,1.686,152323,1.5138
16,0.1145,-0.1657,0.0076096,52.386,2.033,153529,1.5258
16,0.1146,-0.1657,0.0094637,50.842,2.379,154624,1.5367
16,0.1148,-0.1658,0.011761,49.406,2.722,155587,1.5462
16,0.115,-0.1658,0.014605,47.984,3.06,156396,1.5543
16,0.1153,-0.1658,0.018128,46.485,3.387,157043,1.5607
16,0.1154,-0.1658,0.019807,45.873,3.515,157237,1.5626
16,0.1156,-0.1658,0.022492,44.893,3.713,157547,1.5657
16,0.1161,-0.1658,0.027898,43.321,4.046,157944,1.5696
16,0.1166,-0.1659,0.034592,41.968,4.388,158232,1.5725
16,0.1172,-0.1659,0.042883,41.019,4.732,158361,1.5738
16,0.118,-0.166,0.053153,40.527,5.072,158330,1.5735
