Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.1201,-0.088,0,129876,329.83,1.2907,1.1468
16,0.1201,-0.088,0.000043157,130039,329.92,1.2923,1.1472
16,0.1201,-0.088,0.00009356,130537,330.05,1.2973,1.1476
16,0.1201,-0.088,0.00015259,131325,330.18,1.3051,1.1481
16,0.1201,-0.088,0.00022165,132301,330.31,1.3148,1.1485
16,0.1201,-0.088,0.00030231,133330,330.43,1.325,1.1489
16,0.1201,-0.088,0.00039683,134334,330.52,1.335,1.1493
16,0.1201,-0.088,0.00050733,135281,330.59,1.3444,1.1495
16,0.1201,-0.088,0.00063648,136169,330.63,1.3532,1.1496
16,0.1201,-0.088,0.00078748,137008,330.65,1.3616,1.1497
16,0.1201,-0.088,0.00096416,137812,330.66,1.3696,1.1498
16,0.1202,-0.088,0.0011709,138594,330.67,1.3773,1.1498
16,0.1202,-0.088,0.0014127,139362,330.67,1.385,1.1498
16,0.1202,-0.088,0.0016954,140119,330.66,1.3925,1.1497
16,0.1202,-0.088,0.0020261,140869,330.65,1.4,1.1497
16,0.1202,-0.088,0.0024129,141609,330.63,1.4073,1.1496
16,0.1203,-0.088,0.0028653,142338,330.61,1.4146,1.1496
16,0.1203,-0.088,0.0033945,143054,330.58,1.4217,1.1495
16,0.1204,-0.088,0.0040134,143755,330.55,1.4286,1.1494
16,0.1204,-0.088,0.0047375,144442,330.51,1.4355,1.1492
16,0.1205,-0.088,0.0055842,145115,330.47,1.4422,1.1491
16,0.1205,-0.088,0.0065748,145778,330.41,1.4487,1.1489
16,0.1206,-0.088,0.0077333,146436,330.35,1.4553,1.1487
16,0.1207,-0.088,0.0090883,147094,330.27,1.4618,1.1484
16,0.1208,-0.088,0.010674,147761,330.19,1.4685,1.1481
16,0.121,-0.088,0.012528,148447,330.08,1.4753,1.1477
16,0.1211,-0.088,0.014696,149152,329.95,1.4823,1.1473
16,0.1213,-0.088,0.017234,149886,329.81,1.4896,1.1468
16,0.1215,-0.088,0.020202,150638,329.64,1.497,1.1462
