Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30,,
20000,16.175,100627.3,100803.9,287.583,287.726,127957.0,129737.1,318.426,318.356,1.2716,1.1072,1.1065,0.6675,,
20000,16.158,100627.3,100804.4,287.583,287.726,134077.3,135093.8,320.303,320.174,1.3324,1.1138,1.1128,0.7578,,
20000,16.082,100627.5,100806.6,287.583,287.728,141900.9,142529.5,324.118,323.960,1.4102,1.1270,1.1259,0.8194,,
20000,16.035,100627.8,100808.2,287.583,287.730,143417.5,144025.6,324.926,324.767,1.4252,1.1299,1.1287,0.8277,,
20000,16.000,100627.9,100809.3,287.583,287.731,144147.1,144751.5,325.353,325.190,1.4325,1.1313,1.1302,0.8307,,
20000,15.847,100628.4,100814.1,287.584,287.735,146229.4,146818.6,326.721,326.540,1.4532,1.1361,1.1349,0.8356,,
20000,15.198,100630.9,100837.1,287.584,287.753,151436.1,151925.4,330.720,330.526,1.5049,1.1500,1.1486,0.8333,,
20000,14.973,100632.1,100846.2,287.584,287.760,152651.4,153132.6,331.826,331.650,1.5169,1.1538,1.1525,0.8289,,
20000,14.846,100632.7,100851.6,287.584,287.764,153237.8,153722.8,332.404,332.242,1.5227,1.1558,1.1546,0.8260,,
20000,14.778,100633.0,100854.6,287.584,287.767,153520.8,154009.4,332.704,332.549,1.5256,1.1569,1.1556,0.8242,,
20000,14.707,100633.1,100857.5,287.584,287.769,153801.1,154296.2,333.009,332.863,1.5283,1.1580,1.1567,0.8222,,
20000,14.368,100634.6,100873.4,287.586,287.783,154804.5,155371.4,334.361,334.242,1.5383,1.1626,1.1614,0.8111,,
20000,14.125,100635.6,100885.5,287.587,287.794,155139.5,155798.2,335.211,335.067,1.5416,1.1656,1.1643,0.8014,,
