Corrected_mass_flow(kg/s),r_21(m),x_21(m),Span,alpha(deg),gamma(deg),pt_AA_21(Pa),ptr_AA_15_21
16,0.1139,-0.1657,0,89.996,-1.714,142672,1.4178
16,0.1139,-0.1657,0.00003947,87.313,-1.91,140613,1.3974
16,0.1139,-0.1657,0.000088338,84.514,-1.825,139256,1.3839
16,0.1139,-0.1657,0.00014876,81.921,-1.782,138344,1.3748
16,0.1139,-0.1657,0.00022389,79.72,-1.738,137829,1.3697
16,0.114,-0.1657,0.00031665,77.927,-1.68,137584,1.3673
16,0.114,-0.1657,0.00043172,76.436,-1.607,137490,1.3663
16,0.114,-0.1657,0.00057404,75.132,-1.518,137482,1.3662
16,0.114,-0.1657,0.00075043,73.906,-1.41,137534,1.3668
16,0.114,-0.1657,0.00096884,72.683,-1.281,137639,1.3678
16,0.114,-0.1657,0.0012395,71.419,-1.127,137800,1.3694
16,0.114,-0.1657,0.0015744,70.081,-0.944,138025,1.3716
16,0.1141,-0.1657,0.0019893,68.639,-0.73,138320,1.3746
16,0.1141,-0.1657,0.0025032,67.074,-0.48,138698,1.3783
16,0.1142,-0.1657,0.0031395,65.363,-0.192,139173,1.383
16,0.1142,-0.1657,0.0039276,63.501,0.134,139764,1.3889
16,0.1143,-0.1657,0.0049037,61.488,0.496,140491,1.3961
16,0.1144,-0.1657,0.0061124,59.342,0.887,141372,1.4049
16,0.1145,-0.1657,0.0076096,57.109,1.3,142414,1.4153
16,0.1146,-0.1657,0.0094637,54.865,1.727,143603,1.4271
16,0.1148,-0.1658,0.011761,52.728,2.167,144896,1.4399
16,0.115,-0.1658,0.014605,50.752,2.618,146229,1.4532
16,0.1153,-0.1658,0.018128,48.929,3.083,147522,1.466
16,0.1154,-0.1658,0.019807,48.268,3.271,147977,1.4705
16,0.1156,-0.1658,0.022492,47.211,3.562,148706,1.4778
16,0.1161,-0.1658,0.027898,45.519,4.046,149729,1.4879
16,0.1166,-0.1659,0.034592,43.792,4.52,150545,1.4961
16,0.1172,-0.1659,0.042883,42.044,4.967,151113,1.5017
16,0.118,-0.166,0.053153,40.395,5.37,151406,1.5046
16,0.1189,-0.166,0.065872,39.024,5.678,151372,1.5043
16,0.1189,-0.166,0.065981,39.015,5.679,151369,1.5042
16,0.1199,-0.1661,0.078392,38.028,5.876,150997,1.5005
16,0.1209,-0.1662,0.09134,37.381,6.001,150402,1.4946
16,0.1219,-0.1663,0.10473,36.98,6.07,149763,1.4883
16,0.1229,-0.1663,0.11858,36.713,6.095,149178,1.4825
16,0.124,-0.1664,0.13291,36.499,6.09,148679,1.4775
16,0.1252,-0.1665,0.14772,36.303,6.066,148272,1.4735
16,0.1263,-0.1666,0.16305,36.117,6.034,147959,1.4704
16,0.1275,-0.1666,0.1789,35.941,6.005,147734,1.4681
16,0.1288,-0.1667,0.1953,35.773,5.981,147584,1.4666
16,0.1301,-0.1668,0.21227,35.611,5.963,147489,1.4657
16,0.1314,-0.1669,0.22982,35.452,5.947,147427,1.4651
16,0.1328,-0.167,0.24797,35.291,5.928,147379,1.4646
16,0.1342,-0.1671,0.26676,35.122,5.898,147336,1.4642
16,0.1357,-0.1672,0.28619,34.943,5.855,147296,1.4638
16,0.1372,-0.1673,0.3063,34.749,5.797,147264,1.4635
16,0.1388,-0.1674,0.32711,34.538,5.726,147247,1.4633
16,0.1405,-0.1675,0.34864,34.305,5.644,147248,1.4633
16,0.1421,-0.1677,0.37092,34.049,5.551,147266,1.4635
16,0.1439,-0.1678,0.39398,33.769,5.446,147299,1.4638
