Corrected_mass_flow(kg/s),r_30(m),x_30(m),Span,pt_AA_30(Pa),Tt_AA_30(K),ptr_AA_15_30,Ttr_AA_15_30
16,0.1201,-0.088,0,122467,329.97,1.217,1.1474
16,0.1201,-0.088,0.000043157,122760,330.23,1.2199,1.1483
16,0.1201,-0.088,0.00009356,123383,330.31,1.2261,1.1486
16,0.1201,-0.088,0.00015259,124109,330.38,1.2333,1.1488
16,0.1201,-0.088,0.00022165,124732,330.42,1.2395,1.149
16,0.1201,-0.088,0.00030231,125220,330.44,1.2444,1.149
16,0.1201,-0.088,0.00039683,125629,330.46,1.2484,1.1491
16,0.1201,-0.088,0.00050733,126002,330.46,1.2522,1.1491
16,0.1201,-0.088,0.00063648,126364,330.47,1.2558,1.1491
16,0.1201,-0.088,0.00078748,126730,330.47,1.2594,1.1491
16,0.1201,-0.088,0.00096416,127107,330.47,1.2631,1.1491
16,0.1202,-0.088,0.0011709,127505,330.47,1.2671,1.1491
16,0.1202,-0.088,0.0014127,127930,330.47,1.2713,1.1491
16,0.1202,-0.088,0.0016954,128390,330.47,1.2759,1.1491
16,0.1202,-0.088,0.0020261,128892,330.46,1.2809,1.1491
16,0.1202,-0.088,0.0024129,129442,330.45,1.2863,1.1491
16,0.1203,-0.088,0.0028653,130044,330.44,1.2923,1.149
16,0.1203,-0.088,0.0033945,130693,330.42,1.2988,1.1489
16,0.1204,-0.088,0.0040134,131382,330.39,1.3056,1.1489
16,0.1204,-0.088,0.0047375,132104,330.36,1.3128,1.1487
16,0.1205,-0.088,0.0055842,132852,330.32,1.3202,1.1486
16,0.1205,-0.088,0.0065748,133625,330.26,1.3279,1.1484
16,0.1206,-0.088,0.0077333,134422,330.2,1.3358,1.1482
16,0.1207,-0.088,0.0090883,135244,330.12,1.344,1.1479
16,0.1208,-0.088,0.010674,136093,330.02,1.3524,1.1475
16,0.121,-0.088,0.012528,136972,329.89,1.3612,1.1471
16,0.1211,-0.088,0.014696,137876,329.75,1.3702,1.1466
16,0.1213,-0.088,0.017234,138805,329.58,1.3794,1.146
16,0.1215,-0.088,0.020202,139735,329.38,1.3886,1.1454
16,0.1217,-0.088,0.023142,140630,329.17,1.3975,1.1446
16,0.1219,-0.088,0.026349,141487,328.93,1.406,1.1438
16,0.1222,-0.088,0.029847,142309,328.67,1.4142,1.1429
16,0.1224,-0.088,0.033664,143094,328.39,1.422,1.1419
16,0.1227,-0.088,0.037828,143835,328.08,1.4294,1.1408
16,0.123,-0.088,0.04237,144521,327.75,1.4362,1.1397
16,0.1234,-0.088,0.047326,145138,327.4,1.4423,1.1385
16,0.1235,-0.088,0.048829,145287,327.3,1.4438,1.1381
16,0.1238,-0.088,0.052733,145673,327.04,1.4476,1.1372
16,0.1242,-0.088,0.058631,146114,326.66,1.452,1.1359
16,0.1246,-0.088,0.065067,146460,326.27,1.4555,1.1345
16,0.1251,-0.088,0.072088,146714,325.88,1.458,1.1332
16,0.1257,-0.088,0.079748,146882,325.5,1.4597,1.1318
16,0.1262,-0.088,0.088105,146964,325.13,1.4605,1.1306
16,0.1269,-0.088,0.097223,146955,324.77,1.4604,1.1293
16,0.1276,-0.088,0.10717,146853,324.45,1.4594,1.1282
16,0.1283,-0.088,0.11802,146663,324.15,1.4575,1.1272
16,0.1292,-0.088,0.12986,146403,323.9,1.4549,1.1263
16,0.1301,-0.088,0.14277,146101,323.68,1.4519,1.1255
16,0.131,-0.088,0.15686,145791,323.51,1.4488,1.1249
16,0.1321,-0.088,0.17223,145501,323.38,1.4459,1.1245
16,0.1333,-0.088,0.18899,145255,323.3,1.4435,1.1242
16,0.1345,-0.088,0.20575,145061,323.25,1.4416,1.124
16,0.1356,-0.088,0.22252,144924,323.24,1.4402,1.124
16,0.1368,-0.088,0.23928,144843,323.26,1.4394,1.1241
16,0.138,-0.088,0.25603,144808,323.3,1.439,1.1242
16,0.1392,-0.088,0.27279,144811,323.35,1.4391,1.1244
16,0.1403,-0.088,0.28955,144843,323.41,1.4394,1.1246
16,0.1415,-0.088,0.3063,144891,323.47,1.4399,1.1248
16,0.1427,-0.088,0.32306,144949,323.53,1.4404,1.125
16,0.1438,-0.088,0.33981,145011,323.58,1.4411,1.1252
16,0.145,-0.088,0.35656,145073,323.64,1.4417,1.1254
16,0.1462,-0.088,0.37331,145135,323.69,1.4423,1.1255
16,0.1474,-0.088,0.39006,145196,323.73,1.4429,1.1257
16,0.1485,-0.088,0.4068,145256,323.77,1.4435,1.1258
16,0.1497,-0.088,0.42355,145315,323.82,1.4441,1.126
16,0.1509,-0.088,0.4403,145371,323.85,1.4446,1.1261
16,0.152,-0.088,0.45704,145423,323.89,1.4452,1.1262
16,0.1532,-0.088,0.47379,145467,323.93,1.4456,1.1264
16,0.1544,-0.088,0.49053,145505,323.96,1.446,1.1265
16,0.1555,-0.088,0.50728,145534,323.99,1.4463,1.1266
16,0.1567,-0.088,0.52403,145556,324.02,1.4465,1.1267
16,0.1579,-0.088,0.54077,145571,324.05,1.4466,1.1268
16,0.1591,-0.088,0.55752,145580,324.08,1.4467,1.1269
16,0.1602,-0.088,0.57393,145580,324.11,1.4467,1.127
16,0.1602,-0.088,0.57427,145580,324.11,1.4467,1.127
16,0.1614,-0.088,0.59102,145574,324.13,1.4467,1.1271
