Corrected_speed(RPM),Corrected_mass_flow(kg/s),pt_AA_15(Pa),pt_MA_15(Pa),Tt_AA_15(K),Tt_MA_15(K),pt_AA_30(Pa),pt_MA_30(Pa),Tt_AA_30(K),Tt_MA_30(K),ptr_AA_15_30,Ttr_AA_15_30,Ttr_MA_15_30,Isentropic_Efficiency_15_30,,
20000,16.221,100627.7,100803.1,287.584,287.726,127873.0,130464.6,318.305,318.163,1.2708,1.1068,1.1058,0.6698,,
20000,16.207,100627.4,100803.2,287.583,287.726,134143.6,135500.7,319.908,319.713,1.3331,1.1124,1.1112,0.7700,,
20000,16.148,100627.7,100805.0,287.584,287.727,142029.6,142729.6,323.496,323.263,1.4114,1.1249,1.1235,0.8378,,
20000,16.012,100628.2,100809.2,287.584,287.730,146209.2,146837.0,325.833,325.601,1.4530,1.1330,1.1316,0.8559,,
20000,16.003,100628.2,100809.5,287.584,287.731,146353.9,146980.7,325.934,325.702,1.4544,1.1334,1.1320,0.8560,,
20000,15.988,100628.3,100809.9,287.584,287.731,146566.8,147191.1,326.073,325.838,1.4565,1.1338,1.1324,0.8564,,
20000,15.737,100629.0,100817.8,287.585,287.739,149297.2,149869.0,327.995,327.732,1.4836,1.1405,1.1390,0.8584,,
20000,15.425,100630.2,100828.7,287.585,287.747,151959.9,152479.7,329.984,329.718,1.5101,1.1474,1.1459,0.8568,,
20000,15.133,100631.9,100840.2,287.585,287.755,153887.6,154387.7,331.568,331.326,1.5292,1.1529,1.1514,0.8521,,
20000,14.767,100633.7,100855.5,287.585,287.768,155709.6,156227.1,333.298,333.106,1.5473,1.1590,1.1576,0.8431,,
20000,14.465,100634.8,100869.1,287.586,287.780,156823.2,157412.3,334.614,334.445,1.5583,1.1635,1.1622,0.8333,,
20000,14.067,100636.3,100888.9,287.588,287.797,157706.3,158517.4,336.284,336.051,1.5671,1.1693,1.1677,0.8168,,
20000,13.894,100637.3,100898.4,287.588,287.805,157712.3,158719.6,336.998,336.652,1.5671,1.1718,1.1697,0.8070,,
